key_id,innings_no,team,bowler,non_striker,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,batter,runs_batter,over,n_ball
psl0001,1,Islamabad United,Akbar-ur-Rehman,SW Billings,0,0,0,,,,,,Babar Azam,0.0,8.0,1.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,SW Billings,0,0,1,,,,,,Babar Azam,1.0,8.0,2.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,1,,,,,,SW Billings,1.0,8.0,3.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,SW Billings,0,0,1,,,,,,Babar Azam,1.0,8.0,4.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,0,,,,,,SW Billings,0.0,8.0,5.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,1,,,,,,SW Billings,1.0,8.0,6.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Babar Azam,0,0,0,,bowled,SW Billings,,,SW Billings,0.0,9.0,1.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,9.0,2.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,1,,,,,,Babar Azam,1.0,9.0,3.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Babar Azam,0,0,0,,,,,,Misbah-ul-Haq,0.0,9.0,4.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,9.0,5.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,1,,,,,,Babar Azam,1.0,9.0,6.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Misbah-ul-Haq,0,0,1,,,,,,Babar Azam,1.0,10.0,1.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,10.0,2.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Misbah-ul-Haq,0,0,1,,,,,,Babar Azam,1.0,10.0,3.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,0,,,,,,Misbah-ul-Haq,0.0,10.0,4.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,0,,,,,,Misbah-ul-Haq,0.0,10.0,5.0
psl0001,1,Islamabad United,Akbar-ur-Rehman,Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,10.0,6.0
psl0001,1,Islamabad United,Zulfiqar Babar,Babar Azam,0,0,0,,,,,,Misbah-ul-Haq,0.0,11.0,1.0
psl0001,1,Islamabad United,Zulfiqar Babar,Babar Azam,0,0,4,,,,,,Misbah-ul-Haq,4.0,11.0,2.0
psl0001,1,Islamabad United,Zulfiqar Babar,Babar Azam,0,0,2,,,,,,Misbah-ul-Haq,2.0,11.0,3.0
psl0001,1,Islamabad United,Zulfiqar Babar,Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,11.0,4.0
psl0001,1,Islamabad United,Zulfiqar Babar,Misbah-ul-Haq,0,0,2,,,,,,Babar Azam,2.0,11.0,5.0
psl0001,1,Islamabad United,Zulfiqar Babar,Misbah-ul-Haq,0,0,4,,,,,,Babar Azam,4.0,11.0,6.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,12.0,1.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,1,,,,,,Babar Azam,1.0,12.0,2.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Babar Azam,0,0,1,,,,,,Misbah-ul-Haq,1.0,12.0,3.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,0,,,,,,Babar Azam,0.0,12.0,4.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,0,Mohammad Nabi,caught,Babar Azam,,,Babar Azam,0.0,12.0,5.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Imran Khalid,0,0,1,,,,,,Misbah-ul-Haq,1.0,12.0,6.0
psl0001,1,Islamabad United,Mohammad Nabi,Imran Khalid,0,0,1,,,,,,Misbah-ul-Haq,1.0,13.0,1.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,2,,,,,,Imran Khalid,2.0,13.0,2.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,0,,,,,,Imran Khalid,0.0,13.0,3.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,0,,,,,,Imran Khalid,0.0,13.0,4.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,2,,,,,,Imran Khalid,2.0,13.0,5.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,0,,,,,,Imran Khalid,0.0,13.0,6.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Imran Khalid,0,0,1,,,,,,Misbah-ul-Haq,1.0,14.0,1.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,0,Mohammad Nabi,caught,Imran Khalid,,,Imran Khalid,0.0,14.0,2.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),AD Russell,0,0,0,,,,,,Misbah-ul-Haq,0.0,14.0,3.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),AD Russell,0,0,1,,,,,,Misbah-ul-Haq,1.0,14.0,4.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,0,,,,,,AD Russell,0.0,14.0,5.0
psl0001,1,Islamabad United,Mohammad Nawaz (3),Misbah-ul-Haq,0,0,0,,,,,,AD Russell,0.0,14.0,6.0
psl0001,1,Islamabad United,Mohammad Nabi,AD Russell,0,0,3,,,,,,Misbah-ul-Haq,3.0,15.0,1.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,0,,,,,,AD Russell,0.0,15.0,2.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,6,,,,,,AD Russell,6.0,15.0,3.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,1,0,1,,,,wides,1.0,AD Russell,0.0,15.0,4.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,0,,,,,,AD Russell,0.0,15.0,4.0
psl0001,1,Islamabad United,Mohammad Nabi,Misbah-ul-Haq,0,0,1,,,,,,AD Russell,1.0,15.0,5.0
psl0001,1,Islamabad United,Mohammad Nabi,AD Russell,0,0,2,,,,,,Misbah-ul-Haq,2.0,15.0,6.0
psl0001,1,Islamabad United,Zulfiqar Babar,Misbah-ul-Haq,0,0,0,,,,,,AD Russell,0.0,16.0,1.0
psl0001,1,Islamabad United,Zulfiqar Babar,Misbah-ul-Haq,0,0,1,,,,,,AD Russell,1.0,16.0,2.0
psl0001,1,Islamabad United,Zulfiqar Babar,AD Russell,0,0,1,,,,,,Misbah-ul-Haq,1.0,16.0,3.0
psl0001,1,Islamabad United,Zulfiqar Babar,Misbah-ul-Haq,0,0,1,,,,,,AD Russell,1.0,16.0,4.0
psl0001,1,Islamabad United,Zulfiqar Babar,AD Russell,0,0,0,,,,,,Misbah-ul-Haq,0.0,16.0,5.0
psl0001,1,Islamabad United,Zulfiqar Babar,AD Russell,0,0,6,,,,,,Misbah-ul-Haq,6.0,16.0,6.0
psl0001,1,Islamabad United,Umar Gul,Misbah-ul-Haq,0,0,2,,,,,,AD Russell,2.0,17.0,1.0
psl0001,1,Islamabad United,Umar Gul,Misbah-ul-Haq,0,0,4,,,,,,AD Russell,4.0,17.0,2.0
psl0001,1,Islamabad United,Umar Gul,Misbah-ul-Haq,0,0,4,,,,,,AD Russell,4.0,17.0,3.0
psl0001,1,Islamabad United,Umar Gul,Misbah-ul-Haq,0,0,6,,,,,,AD Russell,6.0,17.0,4.0
psl0001,1,Islamabad United,Umar Gul,Misbah-ul-Haq,0,0,4,,,,,,AD Russell,4.0,17.0,5.0
psl0001,1,Islamabad United,Umar Gul,Misbah-ul-Haq,0,0,0,,,,,,AD Russell,0.0,17.0,6.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,0,0,4,,,,,,Misbah-ul-Haq,4.0,18.0,1.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,0,0,4,,,,,,Misbah-ul-Haq,4.0,18.0,2.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,0,0,0,,,,,,Misbah-ul-Haq,0.0,18.0,3.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,1,0,1,,,,wides,1.0,Misbah-ul-Haq,0.0,18.0,4.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,0,0,4,,,,,,Misbah-ul-Haq,4.0,18.0,4.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,1,0,1,,,,wides,1.0,Misbah-ul-Haq,0.0,18.0,5.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,0,0,0,Umar Gul,caught,Misbah-ul-Haq,,,Misbah-ul-Haq,0.0,18.0,5.0
psl0001,1,Islamabad United,Anwar Ali,AD Russell,0,0,1,,,,,,S Badree,1.0,18.0,6.0
psl0001,1,Islamabad United,Umar Gul,AD Russell,0,0,1,,,,,,S Badree,1.0,19.0,1.0
psl0001,1,Islamabad United,Umar Gul,S Badree,0,0,0,,,,,,AD Russell,0.0,19.0,2.0
psl0001,1,Islamabad United,Umar Gul,S Badree,0,0,2,,,,,,AD Russell,2.0,19.0,3.0
psl0001,1,Islamabad United,Umar Gul,S Badree,0,0,0,,,,,,AD Russell,0.0,19.0,4.0
psl0001,1,Islamabad United,Umar Gul,S Badree,0,0,0,,,,,,AD Russell,0.0,19.0,5.0
psl0001,1,Islamabad United,Umar Gul,S Badree,0,0,4,,,,,,AD Russell,4.0,19.0,6.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,0,,,,,,LJ Wright,0.0,0.0,1.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,0,,,,,,LJ Wright,0.0,0.0,2.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,0,,,,,,LJ Wright,0.0,0.0,3.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,2,,,,,,LJ Wright,2.0,0.0,4.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,0,,,,,,LJ Wright,0.0,0.0,5.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,4,,,,,,LJ Wright,4.0,0.0,6.0
psl0001,2,Quetta Gladiators,S Badree,LJ Wright,0,0,1,,,,,,Ahmed Shehzad,1.0,1.0,1.0
psl0001,2,Quetta Gladiators,S Badree,Ahmed Shehzad,0,0,0,,,,,,LJ Wright,0.0,1.0,2.0
psl0001,2,Quetta Gladiators,S Badree,Ahmed Shehzad,0,0,4,,,,,,LJ Wright,4.0,1.0,3.0
psl0001,2,Quetta Gladiators,S Badree,Ahmed Shehzad,0,0,1,,,,,,LJ Wright,1.0,1.0,4.0
psl0001,2,Quetta Gladiators,S Badree,LJ Wright,0,0,4,,,,,,Ahmed Shehzad,4.0,1.0,5.0
psl0001,2,Quetta Gladiators,S Badree,LJ Wright,0,0,4,,,,,,Ahmed Shehzad,4.0,1.0,6.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,6,,,,,,LJ Wright,6.0,2.0,1.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,6,,,,,,LJ Wright,6.0,2.0,2.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Ahmed Shehzad,0,0,1,,,,,,LJ Wright,1.0,2.0,3.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,LJ Wright,0,0,0,,,,,,Ahmed Shehzad,0.0,2.0,4.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,LJ Wright,0,0,2,,,,,,Ahmed Shehzad,2.0,2.0,5.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,LJ Wright,0,0,0,,,,,,Ahmed Shehzad,0.0,2.0,6.0
psl0001,2,Quetta Gladiators,AD Russell,Ahmed Shehzad,0,0,4,,,,,,LJ Wright,4.0,3.0,1.0
psl0001,2,Quetta Gladiators,AD Russell,Ahmed Shehzad,0,0,4,,,,,,LJ Wright,4.0,3.0,2.0
psl0001,2,Quetta Gladiators,AD Russell,Ahmed Shehzad,0,0,2,,,,,,LJ Wright,2.0,3.0,3.0
psl0001,2,Quetta Gladiators,AD Russell,Ahmed Shehzad,0,0,4,,,,,,LJ Wright,4.0,3.0,4.0
psl0001,2,Quetta Gladiators,AD Russell,Ahmed Shehzad,0,0,4,,,,,,LJ Wright,4.0,3.0,5.0
psl0001,2,Quetta Gladiators,AD Russell,Ahmed Shehzad,0,0,0,,,,,,LJ Wright,0.0,3.0,6.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,,,,,Ahmed Shehzad,0.0,4.0,1.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,,,,,Ahmed Shehzad,0.0,4.0,2.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,caught and bowled,Ahmed Shehzad,,,Ahmed Shehzad,0.0,4.0,3.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,,,,,KP Pietersen,0.0,4.0,4.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,1,,,,,,KP Pietersen,1.0,4.0,5.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,0,,,,,,LJ Wright,0.0,4.0,6.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,0,0,1,,,,,,KP Pietersen,1.0,5.0,1.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,0,0,0,,,,,,LJ Wright,0.0,5.0,2.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,1,0,1,,,,wides,1.0,LJ Wright,0.0,5.0,3.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,0,0,0,,,,,,LJ Wright,0.0,5.0,3.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,0,0,0,,,,,,LJ Wright,0.0,5.0,4.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,1,0,1,,,,legbyes,1.0,LJ Wright,0.0,5.0,5.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,0,0,1,,,,,,KP Pietersen,1.0,5.0,6.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,1,,,,,,KP Pietersen,1.0,6.0,1.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,1,,,,,,LJ Wright,1.0,6.0,2.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,1,,,,,,KP Pietersen,1.0,6.0,3.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,0,,,,,,LJ Wright,0.0,6.0,4.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,1,,,,,,LJ Wright,1.0,6.0,5.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,,,,,KP Pietersen,0.0,6.0,6.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,1,0,1,,,,legbyes,1.0,LJ Wright,0.0,7.0,1.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,1,0,1,,,,wides,1.0,KP Pietersen,0.0,7.0,2.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,0,0,2,,,,,,KP Pietersen,2.0,7.0,2.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,0,0,0,,,,,,KP Pietersen,0.0,7.0,3.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,0,0,1,,,,,,KP Pietersen,1.0,7.0,4.0
psl0001,2,Quetta Gladiators,Rumman Raees,KP Pietersen,0,0,1,,,,,,LJ Wright,1.0,7.0,5.0
psl0001,2,Quetta Gladiators,Rumman Raees,LJ Wright,0,0,0,,,,,,KP Pietersen,0.0,7.0,6.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,4,,,,,,LJ Wright,4.0,8.0,1.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,0,,,,,,LJ Wright,0.0,8.0,2.0
psl0001,2,Quetta Gladiators,Imran Khalid,KP Pietersen,0,0,1,,,,,,LJ Wright,1.0,8.0,3.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,lbw,KP Pietersen,,,KP Pietersen,0.0,8.0,4.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,0,,,,,,Mohammad Nawaz (3),0.0,8.0,5.0
psl0001,2,Quetta Gladiators,Imran Khalid,LJ Wright,0,0,1,,,,,,Mohammad Nawaz (3),1.0,8.0,6.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,LJ Wright,0,0,1,,,,,,Mohammad Nawaz (3),1.0,9.0,1.0
psl0001,2,Quetta Gladiators,Mohammad Irfan,Mohammad Nawaz (3),0,0,1,,,,,,LJ Wright,1.0,9.0,2.0
