key,team
wbb0104,Sydney Sixers
wbb0104,Perth Scorchers
wbb0105,Sydney Sixers
wbb0105,Sydney Thunder
wbb0106,Brisbane Heat
wbb0106,Perth Scorchers
wbb0107,Melbourne Renegades
wbb0107,Adelaide Strikers
wbb0108,Hobart Hurricanes
wbb0108,Melbourne Stars
wbb0109,Sydney Thunder
wbb0109,Brisbane Heat
wbb0110,Adelaide Strikers
wbb0110,Melbourne Renegades
wbb0111,Hobart Hurricanes
wbb0111,Melbourne Stars
wbb0112,Hobart Hurricanes
wbb0112,Sydney Sixers
wbb0113,Adelaide Strikers
wbb0113,Sydney Thunder
wbb0114,Melbourne Stars
wbb0114,Perth Scorchers
wbb0115,Melbourne Renegades
wbb0115,Brisbane Heat
wbb0116,Sydney Sixers
wbb0116,Hobart Hurricanes
wbb0117,Sydney Thunder
wbb0117,Adelaide Strikers
wbb0118,Melbourne Stars
wbb0118,Perth Scorchers
wbb0119,Hobart Hurricanes
wbb0119,Perth Scorchers
wbb0120,Brisbane Heat
wbb0120,Melbourne Stars
wbb0121,Melbourne Stars
wbb0121,Adelaide Strikers
wbb0122,Sydney Thunder
wbb0122,Hobart Hurricanes
wbb0123,Perth Scorchers
wbb0123,Melbourne Renegades
wbb0124,Sydney Sixers
wbb0124,Brisbane Heat
wbb0125,Perth Scorchers
wbb0125,Melbourne Renegades
wbb0126,Sydney Sixers
wbb0126,Brisbane Heat
wbb0127,Adelaide Strikers
wbb0127,Melbourne Stars
wbb0128,Sydney Thunder
wbb0128,Hobart Hurricanes
wbb0129,Perth Scorchers
wbb0129,Brisbane Heat
wbb0130,Sydney Sixers
wbb0130,Melbourne Renegades
wbb0131,Sydney Sixers
wbb0131,Adelaide Strikers
wbb0132,Melbourne Renegades
wbb0132,Melbourne Stars
wbb0133,Perth Scorchers
wbb0133,Sydney Thunder
wbb0134,Hobart Hurricanes
wbb0134,Brisbane Heat
wbb0135,Perth Scorchers
wbb0135,Sydney Thunder
wbb0136,Adelaide Strikers
wbb0136,Sydney Sixers
wbb0137,Hobart Hurricanes
wbb0137,Brisbane Heat
wbb0138,Melbourne Stars
wbb0138,Melbourne Renegades
wbb0139,Sydney Thunder
wbb0139,Sydney Sixers
wbb0140,Melbourne Renegades
wbb0140,Hobart Hurricanes
wbb0141,Brisbane Heat
wbb0141,Adelaide Strikers
wbb0142,Sydney Thunder
wbb0142,Melbourne Stars
wbb0143,Brisbane Heat
wbb0143,Melbourne Renegades
wbb0144,Sydney Thunder
wbb0144,Melbourne Stars
wbb0145,Adelaide Strikers
wbb0145,Hobart Hurricanes
wbb0146,Sydney Thunder
wbb0146,Melbourne Renegades
wbb0147,Adelaide Strikers
wbb0147,Hobart Hurricanes
wbb0148,Brisbane Heat
wbb0148,Melbourne Stars
wbb0149,Brisbane Heat
wbb0149,Sydney Thunder
wbb0150,Melbourne Renegades
wbb0150,Hobart Hurricanes
wbb0151,Adelaide Strikers
wbb0151,Perth Scorchers
