key,toss_winner,toss_decision,decision,winner
wbb0161,,,field,Adelaide Strikers
wbb0162,,,bat,Brisbane Heat
wbb0163,,,field,Hobart Hurricanes
wbb0164,,,bat,Adelaide Strikers
wbb0165,,,field,Melbourne Renegades
wbb0166,,,field,Melbourne Renegades
wbb0167,,,field,Perth Scorchers
wbb0168,,,bat,Melbourne Stars
wbb0169,,,field,Hobart Hurricanes
wbb0170,,,field,Brisbane Heat
wbb0171,,,field,Sydney Thunder
wbb0172,,,field,Adelaide Strikers
wbb0173,,,field,Perth Scorchers
wbb0174,,,field,Adelaide Strikers
wbb0175,,,field,Perth Scorchers
wbb0176,,,field,Sydney Sixers
wbb0177,,,bat,Adelaide Strikers
wbb0178,,,field,Sydney Thunder
wbb0179,,,bat,Sydney Sixers
wbb0180,,,field,Adelaide Strikers
wbb0181,,,field,Melbourne Renegades
wbb0182,,,field,Melbourne Renegades
wbb0183,,,field,Sydney Thunder
wbb0184,,,field,Melbourne Stars
wbb0185,,,field,Sydney Thunder
wbb0186,,,field,Brisbane Heat
wbb0187,,,field,Hobart Hurricanes
wbb0188,,,field,Sydney Thunder
wbb0189,,,field,Melbourne Stars
wbb0190,,,field,Sydney Thunder
wbb0191,,,field,Melbourne Renegades
wbb0192,,,field,Brisbane Heat
wbb0193,,,field,Perth Scorchers
wbb0194,,,field,Hobart Hurricanes
wbb0195,,,field,Melbourne Stars
wbb0196,,,field,Hobart Hurricanes
wbb0197,,,field,Perth Scorchers
wbb0198,,,field,Sydney Thunder
wbb0199,,,field,Melbourne Stars
wbb0200,,,field,Melbourne Renegades
wbb0201,,,field,Hobart Hurricanes
wbb0202,,,bat,Sydney Sixers
wbb0203,,,field,Melbourne Renegades
wbb0204,,,field,Brisbane Heat
wbb0205,,,field,Hobart Hurricanes
wbb0206,,,field,Adelaide Strikers
wbb0207,,,field,Sydney Thunder
wbb0208,,,field,Brisbane Heat
wbb0209,,,field,Adelaide Strikers
wbb0210,,,field,Brisbane Heat
wbb0211,,,field,Brisbane Heat
wbb0212,,,field,Adelaide Strikers
wbb0213,,,field,Melbourne Renegades
wbb0214,,,field,Sydney Sixers
wbb0215,,,field,Melbourne Stars
wbb0216,,,field,Hobart Hurricanes
wbb0217,,,field,Perth Scorchers
wbb0218,,,field,Adelaide Strikers
wbb0219,,,field,Melbourne Stars
wbb0220,,,field,Sydney Sixers
wbb0221,,,field,Brisbane Heat
wbb0222,,,field,Perth Scorchers
wbb0223,,,field,Melbourne Stars
wbb0224,,,field,Hobart Hurricanes
wbb0225,,,bat,Sydney Sixers
wbb0226,,,field,Perth Scorchers
wbb0227,,,field,Melbourne Stars
wbb0228,,,bat,Sydney Sixers
wbb0229,,,field,Sydney Thunder
wbb0230,,,bat,Perth Scorchers
wbb0231,,,field,Brisbane Heat
wbb0232,,,bat,Adelaide Strikers
wbb0233,,,field,Hobart Hurricanes
wbb0234,,,field,Melbourne Renegades
wbb0235,,,field,Melbourne Stars
wbb0236,,,bat,Sydney Thunder
wbb0237,,,bat,Sydney Sixers
wbb0238,,,field,Melbourne Stars
wbb0239,,,bat,Sydney Sixers
wbb0240,,,field,Adelaide Strikers
wbb0241,,,field,Perth Scorchers
wbb0242,,,field,Melbourne Renegades
wbb0243,,,bat,Perth Scorchers
wbb0244,,,bat,Hobart Hurricanes
wbb0245,,,field,Sydney Sixers
wbb0246,,,field,Sydney Thunder
wbb0247,,,field,Perth Scorchers
wbb0248,,,bat,Sydney Sixers
wbb0249,,,field,Hobart Hurricanes
wbb0250,,,field,Sydney Thunder
wbb0251,,,field,Hobart Hurricanes
wbb0252,,,bat,Adelaide Strikers
wbb0253,,,field,Brisbane Heat
wbb0254,,,field,Melbourne Renegades
wbb0255,,,field,Perth Scorchers
wbb0256,,,field,Sydney Thunder
wbb0257,,,field,Brisbane Heat
wbb0258,,,field,Melbourne Renegades
wbb0259,,,field,Sydney Sixers
wbb0260,,,field,Perth Scorchers
wbb0261,,,field,Sydney Thunder
wbb0262,,,field,Melbourne Stars
wbb0263,,,field,Brisbane Heat
