key,player_of_match
wtc0001,SW Bates
wtc0002,S Mandhana
wtc0003,DN Wyatt
wtc0004,JI Rodrigues
wtc0005,H Kaur
wtc0006,S Luus
wtc0007,S Ecclestone
wtc0008,AC Jayangani
wtc0009,S Mandhana
wtc0010,P Vastrakar
wtc0011,H Kaur
wtc0012,JI Rodrigues
wtc0013,DJS Dottin
