key,toss_winner,toss_decision,decision,winner
wtc0001,,,field,Supernovas
wtc0002,,,field,Supernovas
wtc0003,,,field,Velocity
wtc0004,,,field,Velocity
wtc0005,,,field,Supernovas
wtc0006,,,field,Velocity
wtc0007,,,bat,Velocity
wtc0008,,,bat,Supernovas
wtc0009,,,field,Supernovas
wtc0010,,,bat,Supernovas
wtc0011,,,field,Velocity
