key_id,city,date,gender,match_type,match_type_number,neutral_venue,overs,player_of_match,venue
odis0066,London,2004-09-25,male,ODI,2182.0,,50,IDR Bradshaw,Kennington Oval
odis0067,Multan,2004-09-30,male,ODI,2183.0,,50,Abdul Razzaq,Multan Cricket Stadium
odis0068,Peshawar,2004-10-03,male,ODI,2184.0,,50,Younis Khan,Arbab Niaz Stadium
odis0069,Karachi,2004-10-06,male,ODI,2185.0,,50,Shoaib Malik,National Stadium
odis0070,Rawalpindi,2004-10-09,male,ODI,2186.0,,50,MF Maharoof,Rawalpindi Cricket Stadium
odis0071,Lahore,2004-10-16,male,ODI,2188.0,,50,KC Sangakkara,Gaddafi Stadium
odis0072,Chattogram,2004-11-02,male,ODI,2189.0,,50,CL Cairns,MA Aziz Stadium
odis0073,Harare,2004-11-28,male,ODI,2193.0,,50,IR Bell,Harare Sports Club
odis0074,Harare,2004-12-01,male,ODI,2194.0,,50,KP Pietersen,Harare Sports Club
odis0075,Melbourne,2004-12-05,male,ODI,2196.0,,50,HJH Marshall,Docklands Stadium
odis0076,Bulawayo,2004-12-05,male,ODI,2197.0,,50,GO Jones,Queens Sports Club
odis0077,Sydney,2004-12-08,male,ODI,2198.0,,50,GB Hogg,Sydney Cricket Ground
odis0078,Chattogram,2004-12-23,male,ODI,2199.0,,50,M Kaif,MA Aziz Stadium
odis0079,Dhaka,2004-12-27,male,ODI,2202.0,,50,V Sehwag,Bangabandhu National Stadium
odis0080,Brisbane,2005-01-19,male,ODI,2206.0,,50,Kamran Akmal,"Brisbane Cricket Ground, Woolloongabba"
odis0081,Brisbane,2005-01-21,male,ODI,2208.0,,50,,"Brisbane Cricket Ground, Woolloongabba"
odis0082,,2005-01-23,male,ODI,2209.0,,50,MJ Clarke,Sydney Cricket Ground
odis0083,Chattogram,2005-01-24,male,ODI,2210.0,,50,BG Rogers,MA Aziz Stadium
odis0084,,2005-01-26,male,ODI,2212.0,,50,B Lee,Adelaide Oval
odis0085,Perth,2005-01-30,male,ODI,2215.0,,50,Abdul Razzaq,W.A.C.A. Ground
odis0086,Johannesburg,2005-01-30,male,ODI,2216.0,,50,MP Vaughan,The Wanderers Stadium
odis0087,Dhaka,2005-01-31,male,ODI,2217.0,,50,Mohammad Rafique,Bangabandhu National Stadium
odis0088,Perth,2005-02-01,male,ODI,2218.0,,50,Mohammad Yousuf,W.A.C.A. Ground
odis0089,Bloemfontein,2005-02-02,male,ODI,2219.0,,50,KP Pietersen,Mangaung Oval
odis0090,,2005-02-04,male,ODI,2220.0,,50,A Symonds,Melbourne Cricket Ground
odis0091,Port Elizabeth,2005-02-04,male,ODI,2221.0,,50,GC Smith,St George's Park
odis0092,Cape Town,2005-02-06,male,ODI,2223.0,,50,HH Gibbs,Newlands
odis0093,East London,2005-02-09,male,ODI,2224.0,,50,JM Kemp,Buffalo Park
odis0094,Durban,2005-02-11,male,ODI,2225.0,,50,,Kingsmead
odis0095,Centurion,2005-02-13,male,ODI,2226.0,,50,KP Pietersen,SuperSport Park
odis0096,Johannesburg,2005-02-25,male,ODI,2229.0,,50,MV Boucher,The Wanderers Stadium
odis0097,Auckland,2005-02-26,male,ODI,2230.0,,50,MJ Clarke,Eden Park
odis0098,Durban,2005-02-27,male,ODI,2231.0,,50,GC Smith,Kingsmead
odis0099,Wellington,2005-03-01,male,ODI,2232.0,,50,AC Gilchrist,Basin Reserve
odis0100,Port Elizabeth,2005-03-02,male,ODI,2233.0,,50,JM Kemp,St George's Park
odis0101,Visakhapatnam,2005-04-05,male,ODI,2236.0,,50,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
odis0102,Ahmedabad,2005-04-12,male,ODI,2238.0,,50,Inzamam-ul-Haq,"Sardar Patel (Gujarat) Stadium, Motera"
odis0103,Kanpur,2005-04-15,male,ODI,2239.0,,50,Shahid Afridi,Green Park
odis0104,Delhi,2005-04-17,male,ODI,2240.0,,50,Shoaib Malik,Arun Jaitley Stadium
odis0105,Jamaica,2005-05-08,male,ODI,2242.0,,50,HH Dippenaar,"Sabina Park, Kingston"
odis0106,Trinidad,2005-05-15,male,ODI,2245.0,,50,HH Dippenaar,"Queen's Park Oval, Port of Spain"
odis0107,St Vincent,2005-05-18,male,ODI,2246.0,,50,Abdul Razzaq,"Arnos Vale Ground, Kingstown"
odis0108,St Lucia,2005-05-22,male,ODI,2248.0,,50,Shahid Afridi,"Daren Sammy National Cricket Stadium, Gros Islet"
odis0109,London,2005-06-16,male,ODI,2249.0,,50,ME Trescothick,Kennington Oval
odis0110,Cardiff,2005-06-18,male,ODI,2250.0,,50,Mohammad Ashraful,Sophia Gardens
odis0111,Chester-le-Street,2005-06-23,male,ODI,2253.0,,50,A Symonds,Riverside Ground
odis0112,Manchester,2005-06-25,male,ODI,2254.0,,50,A Symonds,Old Trafford
odis0113,Leeds,2005-06-26,male,ODI,2255.0,,50,AJ Strauss,Headingley
odis0114,Birmingham,2005-06-28,male,ODI,2256.0,,50,,Edgbaston
odis0115,Canterbury,2005-06-30,male,ODI,2257.0,,50,Shahriar Nafees,St Lawrence Ground
odis0116,London,2005-07-02,male,ODI,2258.0,,50,GO Jones,Lord's
odis0117,London,2005-07-12,male,ODI,2261.0,,50,AC Gilchrist,Kennington Oval
odis0118,,2005-07-31,male,ODI,2263.0,,50,R Dravid,Rangiri Dambulla International Stadium
odis0119,,2005-08-02,male,ODI,2264.0,,50,MF Maharoof,Rangiri Dambulla International Stadium
odis0120,Colombo,2005-08-06,male,ODI,2266.0,,50,OAC Banks,"R.Premadasa Stadium, Khettarama"
odis0121,Centurion,2005-08-17,male,ODI,2269.0,,50,AG Prince,SuperSport Park
odis0122,Durban,2005-08-21,male,ODI,2271.0,,50,Shoaib Akhtar,Kingsmead
odis0123,,2005-08-29,male,ODI,2274.0,,50,IK Pathan,Harare Sports Club
odis0124,,2005-08-31,male,ODI,2276.0,,50,AM Blignaut,Harare Sports Club
odis0125,Colombo,2005-08-31,male,ODI,2275.0,,50,DPMD Jayawardene,Sinhalese Sports Club Ground
odis0126,,2005-09-04,male,ODI,2280.0,,50,Yuvraj Singh,Harare Sports Club
odis0127,,2005-09-06,male,ODI,2281.0,,50,NJ Astle,Harare Sports Club
odis0128,Melbourne,2005-10-07,male,ODI,2283.0,,50,AC Gilchrist,Docklands Stadium
odis0129,Melbourne,2005-10-09,male,ODI,2284.0,,50,SR Watson,Docklands Stadium
odis0130,Nagpur,2005-10-25,male,ODI,2286.0,,50,R Dravid,Vidarbha C.A. Ground
odis0131,Cape Town,2005-10-28,male,ODI,2288.0,,50,L Vincent,Newlands
odis0132,Chandigarh,2005-10-28,male,ODI,2287.0,,50,IK Pathan,"Punjab Cricket Association IS Bindra Stadium, Mohali"
odis0133,Port Elizabeth,2005-10-30,male,ODI,2289.0,,50,HH Gibbs,St George's Park
odis0134,Pune,2005-11-03,male,ODI,2291.0,,50,AB Agarkar,Nehru Stadium
odis0135,Durban,2005-11-04,male,ODI,2292.0,,50,,Kingsmead
odis0136,Ahmedabad,2005-11-06,male,ODI,2294.0,,50,TM Dilshan,"Sardar Patel (Gujarat) Stadium, Motera"
odis0137,Centurion,2005-11-06,male,ODI,2293.0,,50,AJ Hall,SuperSport Park
odis0138,Rajkot,2005-11-09,male,ODI,2295.0,,50,RP Singh,Madhavrao Scindia Cricket Ground
odis0139,Vadodara,2005-11-12,male,ODI,2296.0,,50,IK Pathan,Reliance Stadium
odis0140,Hyderabad,2005-11-16,male,ODI,2297.0,,50,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal"
odis0141,Mumbai,2005-11-28,male,ODI,2300.0,,50,R Dravid,Wankhede Stadium
odis0142,Auckland,2005-12-03,male,ODI,2301.0,,50,B Lee,Eden Park
odis0143,Lahore,2005-12-10,male,ODI,2304.0,,50,AJ Strauss,Gaddafi Stadium
odis0144,Karachi,2005-12-15,male,ODI,2306.0,,50,Kamran Akmal,National Stadium
odis0145,,2005-12-21,male,ODI,2308.0,,50,JM Anderson,Rawalpindi Cricket Stadium
odis0146,Queenstown,2005-12-31,male,ODI,2309.0,,50,PG Fulton,John Davies Oval
odis0147,Christchurch,2006-01-03,male,ODI,,,50,WU Tharanga,Jade Stadium
odis0148,Wellington,2006-01-06,male,ODI,,,50,JS Patel,Westpac Stadium
odis0149,Brisbane,2006-01-15,male,ODI,,,50,SM Pollock,"Brisbane Cricket Ground, Woolloongabba"
odis0150,Brisbane,2006-01-17,male,ODI,,1.0,50,KC Sangakkara,"Brisbane Cricket Ground, Woolloongabba"
odis0151,Melbourne,2006-01-20,male,ODI,,,50,B Lee,Docklands Stadium
odis0152,,2006-01-22,male,ODI,,,50,ST Jayasuriya,Sydney Cricket Ground
odis0153,,2006-01-24,male,ODI,,1.0,50,HH Dippenaar,Adelaide Oval
odis0154,,2006-01-26,male,ODI,,,50,A Symonds,Adelaide Oval
odis0155,Perth,2006-01-29,male,ODI,,,50,AC Gilchrist,Western Australia Cricket Association Ground
odis0156,Perth,2006-01-31,male,ODI,,1.0,50,GC Smith,Western Australia Cricket Association Ground
odis0157,Melbourne,2006-02-03,male,ODI,,,50,MEK Hussey,Docklands Stadium
odis0158,,2006-02-05,male,ODI,,,50,AC Gilchrist,Sydney Cricket Ground
odis0159,Peshawar,2006-02-06,male,ODI,,,50,Salman Butt,Arbab Niaz Stadium
odis0160,Hobart,2006-02-07,male,ODI,,1.0,50,HMCM Bandara,Bellerive Oval
odis0161,,2006-02-10,male,ODI,,,50,KC Sangakkara,Adelaide Oval
odis0162,,2006-02-11,male,ODI,,,50,IK Pathan,Rawalpindi Cricket Stadium
odis0163,,2006-02-12,male,ODI,,,50,A Symonds,Sydney Cricket Ground
odis0164,Lahore,2006-02-13,male,ODI,,,50,MS Dhoni,Gaddafi Stadium
odis0165,Brisbane,2006-02-14,male,ODI,,,50,AC Gilchrist,"Brisbane Cricket Ground, Woolloongabba"
odis0166,,2006-02-16,male,ODI,,,50,RP Singh,Multan Cricket Stadium
odis0167,Wellington,2006-02-18,male,ODI,,,50,NJ Astle,Westpac Stadium
odis0168,Karachi,2006-02-19,male,ODI,,,50,Yuvraj Singh,National Stadium
odis0169,Bogra,2006-02-20,male,ODI,,,50,PDRL Perera,Shaheed Chandu Stadium
odis0170,,2006-02-22,male,ODI,,,50,DL Vettori,Queenstown Events Centre
odis0171,Bogra,2006-02-22,male,ODI,,,50,Aftab Ahmed,Shaheed Chandu Stadium
odis0172,Christchurch,2006-02-25,male,ODI,,,50,NJ Astle,Jade Stadium
odis0173,,2006-02-25,male,ODI,,,50,KC Sangakkara,Chittagong Divisional Stadium
odis0174,Centurion,2006-02-26,male,ODI,,,50,GC Smith,SuperSport Park
odis0175,Napier,2006-03-01,male,ODI,,,50,L Vincent,McLean Park
odis0176,Cape Town,2006-03-03,male,ODI,,,50,M Ntini,Newlands
odis0177,Auckland,2006-03-04,male,ODI,,,50,DR Smith,Eden Park
odis0178,Port Elizabeth,2006-03-05,male,ODI,,,50,B Lee,St George's Park
odis0179,Durban,2006-03-10,male,ODI,,,50,HH Dippenaar,Kingsmead
odis0180,Johannesburg,2006-03-12,male,ODI,,,50,HH Gibbs,New Wanderers Stadium
odis0181,Colombo,2006-03-17,male,ODI,,,50,,R Premadasa Stadium
odis0182,Colombo,2006-03-19,male,ODI,,,50,Abdul Razzaq,R Premadasa Stadium
odis0183,Colombo,2006-03-22,male,ODI,,,50,Shahid Afridi,Sinhalese Sports Club Ground
odis0184,Delhi,2006-03-28,male,ODI,,,50,Harbhajan Singh,Feroz Shah Kotla
odis0185,Faridabad,2006-03-31,male,ODI,,,50,SK Raina,Nahar Singh Stadium
odis0186,Margao,2006-04-03,male,ODI,,,50,Yuvraj Singh,"Nehru Stadium, Fatorda"
odis0187,Jamshedpur,2006-04-12,male,ODI,,,50,AJ Strauss,Keenan Stadium
odis0188,Indore,2006-04-15,male,ODI,,,50,S Sreesanth,Maharani Usharaje Trust Cricket Ground
odis0189,Abu Dhabi,2006-04-18,male,ODI,,1.0,50,Younis Khan,Sheikh Zayed Stadium
odis0190,Abu Dhabi,2006-04-19,male,ODI,,1.0,50,R Dravid,Sheikh Zayed Stadium
odis0191,,2006-04-23,male,ODI,,,50,AC Gilchrist,Chittagong Divisional Stadium
odis0192,Fatullah,2006-04-26,male,ODI,,,50,A Symonds,Narayanganj Osmani Stadium
odis0193,Fatullah,2006-04-28,male,ODI,,,50,MJ Cosgrove,Narayanganj Osmani Stadium
