key_id,by_type,by_margin,eliminator,method,result,winner
odis0160,runs,76.0,,,,Sri Lanka
odis0161,runs,22.0,,,,Sri Lanka
odis0162,wickets,7.0,,,,India
odis0163,runs,167.0,,,,Australia
odis0164,wickets,5.0,,,,India
odis0165,wickets,9.0,,,,Australia
odis0166,wickets,5.0,,,,India
odis0167,runs,81.0,,,,New Zealand
odis0168,wickets,8.0,,,,India
odis0169,wickets,5.0,,,,Sri Lanka
odis0170,wickets,3.0,,,,New Zealand
odis0171,wickets,4.0,,,,Bangladesh
odis0172,runs,21.0,,,,New Zealand
odis0173,runs,78.0,,,,Sri Lanka
odis0174,wickets,6.0,,D/L,,South Africa
odis0175,runs,91.0,,,,New Zealand
odis0176,runs,196.0,,,,South Africa
odis0177,wickets,3.0,,,,West Indies
odis0178,runs,24.0,,,,Australia
odis0179,wickets,1.0,,,,Australia
odis0180,wickets,1.0,,,,South Africa
odis0181,,,,,no result,
odis0182,wickets,4.0,,,,Pakistan
odis0183,wickets,4.0,,,,Pakistan
odis0184,runs,39.0,,,,India
odis0185,wickets,4.0,,,,India
odis0186,runs,49.0,,,,India
odis0187,wickets,5.0,,,,England
odis0188,wickets,7.0,,,,India
odis0189,wickets,6.0,,,,Pakistan
odis0190,runs,51.0,,,,India
odis0191,wickets,4.0,,,,Australia
odis0192,runs,67.0,,,,Australia
odis0193,wickets,9.0,,,,Australia
odis0194,wickets,5.0,,,,West Indies
odis0195,runs,98.0,,,,West Indies
odis0196,wickets,10.0,,,,West Indies
odis0197,,,,,no result,
odis0198,runs,104.0,,,,West Indies
odis0199,runs,1.0,,,,West Indies
odis0200,wickets,4.0,,,,West Indies
odis0201,wickets,6.0,,,,West Indies
odis0202,runs,19.0,,,,West Indies
odis0203,runs,38.0,,,,England
odis0204,runs,20.0,,,,Sri Lanka
odis0205,runs,46.0,,,,Sri Lanka
odis0206,wickets,8.0,,,,Sri Lanka
odis0207,runs,33.0,,,,Sri Lanka
odis0208,wickets,8.0,,,,Sri Lanka
odis0209,wickets,8.0,,,,Bangladesh
odis0210,wickets,6.0,,,,Bangladesh
odis0211,wickets,2.0,,,,Bangladesh
odis0212,wickets,6.0,,,,Bangladesh
odis0213,,,,,no result,
odis0214,,,,,no result,
odis0215,wickets,7.0,,D/L,,Pakistan
odis0216,wickets,2.0,,,,Pakistan
odis0217,wickets,8.0,,,,England
odis0218,wickets,3.0,,,,England
odis0219,runs,29.0,,D/L,,West Indies
odis0220,wickets,5.0,,,,South Africa
odis0221,,,,,no result,
odis0222,wickets,6.0,,,,South Africa
odis0223,wickets,3.0,,,,West Indies
odis0224,runs,171.0,,,,South Africa
odis0225,runs,16.0,,,,India
odis0226,runs,18.0,,,,Australia
odis0227,runs,127.0,,,,Australia
odis0228,runs,37.0,,,,Sri Lanka
odis0229,wickets,9.0,,,,West Indies
odis0230,runs,144.0,,,,Sri Lanka
odis0231,wickets,10.0,,,,West Indies
odis0232,runs,101.0,,,,Bangladesh
odis0233,wickets,9.0,,,,Sri Lanka
