key_id,decision,winner
odis0256,field,Bangladesh
odis0257,field,South Africa
odis0258,field,Zimbabwe
odis0259,field,Pakistan
odis0260,field,Bangladesh
odis0261,field,Bangladesh
odis0262,field,Pakistan
odis0263,bat,Pakistan
odis0264,field,Pakistan
odis0265,bat,New Zealand
odis0266,field,New Zealand
odis0267,bat,Sri Lanka
odis0268,bat,England
odis0269,bat,Australia
odis0270,bat,New Zealand
odis0271,bat,England
odis0272,bat,New Zealand
odis0273,field,Pakistan
odis0274,bat,New Zealand
odis0275,bat,Pakistan
odis0276,bat,England
odis0277,field,West Indies
odis0278,bat,Australia
odis0279,bat,New Zealand
odis0280,field,West Indies
odis0281,field,Bermuda
odis0282,bat,England
odis0283,bat,Scotland
odis0284,field,Netherlands
odis0285,field,Pakistan
odis0286,bat,New Zealand
odis0287,bat,Kenya
odis0288,bat,England
odis0289,bat,Pakistan
odis0290,field,India
odis0291,bat,Pakistan
odis0292,bat,Australia
odis0293,field,India
odis0294,field,South Africa
odis0295,bat,England
odis0296,bat,Sri Lanka
odis0297,bat,Pakistan
odis0298,field,New Zealand
odis0299,field,India
odis0300,field,New Zealand
odis0301,bat,Australia
odis0302,bat,New Zealand
odis0303,field,Pakistan
odis0304,field,Scotland
odis0305,field,Zimbabwe
odis0306,bat,Sri Lanka
odis0307,field,New Zealand
odis0308,field,Netherlands
odis0309,field,Ireland
odis0310,bat,India
odis0311,field,Canada
odis0312,bat,Australia
odis0313,field,West Indies
odis0314,field,Bermuda
odis0315,field,Kenya
odis0316,field,South Africa
odis0317,field,Zimbabwe
odis0318,field,Bangladesh
odis0319,field,Canada
odis0320,field,Netherlands
odis0321,bat,Ireland
odis0322,field,India
odis0323,bat,Kenya
odis0324,field,South Africa
odis0325,field,Bangladesh
odis0326,field,West Indies
odis0327,bat,Sri Lanka
odis0328,field,New Zealand
odis0329,bat,England
odis0330,field,Australia
odis0331,field,West Indies
odis0332,field,New Zealand
odis0333,field,South Africa
odis0334,field,England
odis0335,field,South Africa
odis0336,bat,England
odis0337,bat,New Zealand
odis0338,field,West Indies
odis0339,field,England
odis0340,bat,New Zealand
odis0341,field,Australia
odis0342,field,New Zealand
odis0343,bat,Ireland
odis0344,bat,Sri Lanka
odis0345,bat,England
odis0346,field,Sri Lanka
odis0347,field,Bangladesh
odis0348,bat,Australia
odis0349,field,England
odis0350,bat,Sri Lanka
odis0351,bat,South Africa
odis0352,bat,Australia
odis0353,bat,Bangladesh
odis0354,bat,India
odis0355,bat,Asia XI
odis0356,bat,Asia XI
odis0357,bat,Asia XI
odis0358,field,India
odis0359,field,Ireland
odis0360,field,South Africa
odis0361,field,India
odis0362,field,India
odis0363,field,West Indies
odis0364,field,England
odis0365,bat,West Indies
odis0366,bat,Scotland
odis0367,bat,Ireland
odis0368,field,Bangladesh
odis0369,field,Sri Lanka
odis0370,field,Bangladesh
odis0371,field,India
odis0372,field,India
odis0373,bat,Zimbabwe
odis0374,bat,India
odis0375,field,South Africa
odis0376,bat,South Africa
odis0377,field,India
odis0378,bat,India
odis0379,field,England
odis0380,bat,England
odis0381,bat,India
odis0382,bat,Australia
odis0383,bat,Sri Lanka
odis0384,field,India
odis0385,bat,England
odis0386,bat,Australia
odis0387,bat,India
odis0388,bat,Sri Lanka
odis0389,bat,India
odis0390,bat,Sri Lanka
odis0391,bat,Australia
odis0392,bat,Australia
odis0393,bat,South Africa
odis0394,field,Kenya
odis0395,bat,Pakistan
odis0396,bat,Canada
odis0397,bat,South Africa
odis0398,field,Kenya
odis0399,bat,Pakistan
odis0400,bat,Bermuda
odis0401,bat,Bermuda
odis0402,bat,South Africa
odis0403,bat,Pakistan
odis0404,bat,India
odis0405,field,Pakistan
odis0406,bat,Pakistan
odis0407,field,India
odis0408,field,South Africa
odis0409,field,West Indies
odis0410,bat,South Africa
odis0411,field,Zimbabwe
odis0412,bat,New Zealand
odis0413,field,West Indies
odis0414,bat,New Zealand
odis0415,bat,New Zealand
odis0416,field,New Zealand
odis0417,field,New Zealand
odis0418,bat,New Zealand
odis0419,field,New Zealand
odis0420,field,South Africa
odis0421,field,Zimbabwe
odis0422,bat,Zimbabwe
odis0423,bat,South Africa
odis0424,bat,Pakistan
odis0425,bat,West Indies
odis0426,bat,Zimbabwe
odis0427,bat,West Indies
odis0428,bat,Zimbabwe
odis0429,field,South Africa
odis0430,bat,India
odis0431,bat,India
odis0432,bat,Australia
odis0433,bat,England
odis0434,bat,Australia
odis0435,field,New Zealand
odis0436,field,England
odis0437,bat,Australia
odis0438,bat,Australia
odis0439,bat,Sri Lanka
odis0440,field,New Zealand
odis0441,bat,South Africa
odis0442,bat,Pakistan
odis0443,bat,Ireland
odis0444,field,Sri Lanka
odis0445,field,New Zealand
odis0446,bat,Australia
odis0447,field,India
odis0448,bat,Sri Lanka
odis0449,bat,Australia
odis0450,bat,India
odis0451,bat,Bangladesh
odis0452,bat,Bangladesh
odis0453,bat,Bangladesh
odis0454,bat,Pakistan
odis0455,field,West Indies
odis0456,bat,Bangladesh
odis0457,field,West Indies
odis0458,bat,Pakistan
odis0459,field,West Indies
odis0460,bat,Bangladesh
odis0461,bat,Pakistan
odis0462,bat,Sri Lanka
odis0463,bat,India
odis0464,field,Bangladesh
odis0465,bat,India
odis0466,bat,Bangladesh
odis0467,bat,Pakistan
odis0468,field,New Zealand
odis0469,field,New Zealand
odis0470,field,England
odis0471,bat,Pakistan
odis0472,bat,Bangladesh
odis0473,field,West Indies
odis0474,bat,India
odis0475,field,Bangladesh
odis0476,field,New Zealand
odis0477,bat,Pakistan
odis0478,bat,Sri Lanka
odis0479,bat,Australia
odis0480,bat,Bangladesh
odis0481,field,England
odis0482,field,Pakistan
odis0483,field,Canada
odis0484,field,Australia
odis0485,bat,Sri Lanka
odis0486,bat,India
odis0487,bat,Sri Lanka
odis0488,bat,Bangladesh
odis0489,field,West Indies
odis0490,field,India
odis0491,bat,Australia
odis0492,bat,Netherlands
odis0493,field,Ireland
odis0494,field,Scotland
odis0495,bat,India
odis0496,field,India
odis0497,bat,England
odis0498,bat,India
odis0499,field,Kenya
odis0500,bat,South Africa
odis0501,bat,India
odis0502,bat,Sri Lanka
odis0503,field,South Africa
odis0504,field,Bangladesh
odis0505,field,England
odis0506,bat,Bangladesh
odis0507,field,England
odis0508,bat,Australia
odis0509,bat,Zimbabwe
odis0510,bat,South Africa
odis0511,bat,South Africa
odis0512,bat,West Indies
odis0513,bat,Pakistan
odis0514,field,England
odis0515,bat,India
