key_id,teams
odis0159,India
odis0160,South Africa
odis0160,Sri Lanka
odis0161,Australia
odis0161,Sri Lanka
odis0162,Pakistan
odis0162,India
odis0163,Australia
odis0163,Sri Lanka
odis0164,Pakistan
odis0164,India
odis0165,Australia
odis0165,Sri Lanka
odis0166,Pakistan
odis0166,India
odis0167,New Zealand
odis0167,West Indies
odis0168,Pakistan
odis0168,India
odis0169,Bangladesh
odis0169,Sri Lanka
odis0170,New Zealand
odis0170,West Indies
odis0171,Bangladesh
odis0171,Sri Lanka
odis0172,New Zealand
odis0172,West Indies
odis0173,Bangladesh
odis0173,Sri Lanka
odis0174,South Africa
odis0174,Australia
odis0175,New Zealand
odis0175,West Indies
odis0176,South Africa
odis0176,Australia
odis0177,New Zealand
odis0177,West Indies
odis0178,South Africa
odis0178,Australia
odis0179,South Africa
odis0179,Australia
odis0180,South Africa
odis0180,Australia
odis0181,Sri Lanka
odis0181,Pakistan
odis0182,Sri Lanka
odis0182,Pakistan
odis0183,Sri Lanka
odis0183,Pakistan
odis0184,India
odis0184,England
odis0185,India
odis0185,England
odis0186,India
odis0186,England
odis0187,India
odis0187,England
odis0188,India
odis0188,England
odis0189,India
odis0189,Pakistan
odis0190,India
odis0190,Pakistan
odis0191,Bangladesh
odis0191,Australia
odis0192,Bangladesh
odis0192,Australia
odis0193,Bangladesh
odis0193,Australia
odis0194,West Indies
odis0194,Zimbabwe
odis0195,West Indies
odis0195,Zimbabwe
odis0196,West Indies
odis0196,Zimbabwe
odis0197,West Indies
odis0197,Zimbabwe
odis0198,West Indies
odis0198,Zimbabwe
odis0199,West Indies
odis0199,India
odis0200,West Indies
odis0200,India
odis0201,West Indies
odis0201,India
odis0202,West Indies
odis0202,India
odis0203,Ireland
odis0203,England
odis0204,England
odis0204,Sri Lanka
odis0205,England
odis0205,Sri Lanka
odis0206,England
odis0206,Sri Lanka
odis0207,England
odis0207,Sri Lanka
odis0208,England
odis0208,Sri Lanka
odis0209,Zimbabwe
odis0209,Bangladesh
odis0210,Kenya
odis0210,Bangladesh
odis0211,Kenya
odis0211,Bangladesh
odis0212,Kenya
odis0212,Bangladesh
odis0213,Sri Lanka
odis0213,India
odis0214,England
odis0214,Pakistan
odis0215,England
odis0215,Pakistan
odis0216,England
odis0216,Pakistan
odis0217,England
odis0217,Pakistan
odis0218,England
odis0218,Pakistan
odis0219,India
odis0219,West Indies
odis0220,South Africa
odis0220,Zimbabwe
odis0221,Australia
odis0221,India
odis0222,South Africa
odis0222,Zimbabwe
odis0223,Australia
odis0223,West Indies
odis0224,South Africa
odis0224,Zimbabwe
odis0225,India
odis0225,West Indies
odis0226,Australia
odis0226,India
odis0227,Australia
odis0227,West Indies
odis0228,Bangladesh
odis0228,Sri Lanka
odis0229,West Indies
odis0229,Zimbabwe
odis0230,Sri Lanka
odis0230,Zimbabwe
odis0231,Bangladesh
odis0231,West Indies
odis0232,Bangladesh
odis0232,Zimbabwe
odis0233,Sri Lanka
odis0233,West Indies
odis0234,India
odis0234,England
odis0235,New Zealand
odis0235,South Africa
odis0236,Pakistan
odis0236,Sri Lanka
odis0237,Australia
odis0237,West Indies
odis0238,New Zealand
odis0238,Sri Lanka
odis0239,Australia
odis0239,England
odis0240,South Africa
odis0240,Sri Lanka
odis0241,New Zealand
odis0241,Pakistan
odis0242,India
odis0242,West Indies
odis0243,Pakistan
