decision,winner,key
bat,Guyana Amazon Warriors,cpl00156
field,Trinbago Knight Riders,cpl00157
field,St Kitts and Nevis Patriots,cpl00158
field,Jamaica Tallawahs,cpl00159
field,St Lucia Stars,cpl00160
bat,Jamaica Tallawahs,cpl00161
field,St Kitts and Nevis Patriots,cpl00162
bat,Barbados Tridents,cpl00163
field,Guyana Amazon Warriors,cpl00164
field,Jamaica Tallawahs,cpl00165
field,Guyana Amazon Warriors,cpl00166
field,St Kitts and Nevis Patriots,cpl00167
field,St Lucia Stars,cpl00168
field,St Kitts and Nevis Patriots,cpl00169
field,St Kitts and Nevis Patriots,cpl00170
field,Guyana Amazon Warriors,cpl00171
field,Barbados Tridents,cpl00172
field,Jamaica Tallawahs,cpl00173
field,Guyana Amazon Warriors,cpl00174
field,Guyana Amazon Warriors,cpl00175
field,St Kitts and Nevis Patriots,cpl00176
field,St Kitts and Nevis Patriots,cpl00177
field,Trinbago Knight Riders,cpl00178
field,St Kitts and Nevis Patriots,cpl00179
field,St Lucia Zouks,cpl00180
field,Jamaica Tallawahs,cpl00181
field,Guyana Amazon Warriors,cpl00182
bat,St Lucia Zouks,cpl00183
field,Barbados Tridents,cpl00184
field,St Kitts and Nevis Patriots,cpl00185
field,St Kitts and Nevis Patriots,cpl00186
field,St Lucia Zouks,cpl00187
field,Jamaica Tallawahs,cpl00188
field,Guyana Amazon Warriors,cpl00189
field,Jamaica Tallawahs,cpl00190
field,St Kitts and Nevis Patriots,cpl00191
field,St Kitts and Nevis Patriots,cpl00192
field,Jamaica Tallawahs,cpl00193
field,Jamaica Tallawahs,cpl00194
field,St Lucia Zouks,cpl00195
field,Trinbago Knight Riders,cpl00196
field,Guyana Amazon Warriors,cpl00197
field,Barbados Tridents,cpl00198
field,St Kitts and Nevis Patriots,cpl00199
bat,St Lucia Zouks,cpl00200
bat,Barbados Tridents,cpl00201
field,St Lucia Zouks,cpl00202
bat,St Kitts and Nevis Patriots,cpl00203
bat,Barbados Tridents,cpl00204
field,Trinbago Knight Riders,cpl00205
bat,Trinbago Knight Riders,cpl00206
bat,Guyana Amazon Warriors,cpl00207
field,Guyana Amazon Warriors,cpl00208
bat,Guyana Amazon Warriors,cpl00209
field,Trinbago Knight Riders,cpl00210
field,Trinbago Knight Riders,cpl00211
bat,Barbados Tridents,cpl00212
field,Trinbago Knight Riders,cpl00213
field,St Kitts and Nevis Patriots,cpl00214
field,Jamaica Tallawahs,cpl00215
field,Guyana Amazon Warriors,cpl00216
bat,Barbados Tridents,cpl00217
field,Trinbago Knight Riders,cpl00218
field,Jamaica Tallawahs,cpl00219
field,St Kitts and Nevis Patriots,cpl00220
field,Barbados Tridents,cpl00221
bat,St Lucia Zouks,cpl00222
field,St Kitts and Nevis Patriots,cpl00223
field,Jamaica Tallawahs,cpl00224
field,Trinbago Knight Riders,cpl00225
field,Jamaica Tallawahs,cpl00226
field,St Lucia Zouks,cpl00227
field,Trinbago Knight Riders,cpl00228
field,Trinbago Knight Riders,cpl00229
bat,Jamaica Tallawahs,cpl00230
field,Barbados Tridents,cpl00231
field,Guyana Amazon Warriors,cpl00232
bat,Barbados Tridents,cpl00233
field,Jamaica Tallawahs,cpl00234
field,St Kitts and Nevis Patriots,cpl00235
field,Guyana Amazon Warriors,cpl00236
field,Jamaica Tallawahs,cpl00237
field,Guyana Amazon Warriors,cpl00238
field,St Lucia Zouks,cpl00239
bat,Jamaica Tallawahs,cpl00240
bat,St Kitts and Nevis Patriots,cpl00241
bat,St Lucia Zouks,cpl00242
field,Trinbago Knight Riders,cpl00243
field,St Lucia Zouks,cpl00244
field,Trinbago Knight Riders,cpl00245
field,Trinbago Knight Riders,cpl00246
field,Barbados Royals,cpl00247
field,St Lucia Kings,cpl00248
bat,Barbados Royals,cpl00249
bat,Guyana Amazon Warriors,cpl00250
bat,Barbados Royals,cpl00251
bat,Guyana Amazon Warriors,cpl00252
field,Trinbago Knight Riders,cpl00253
bat,Barbados Royals,cpl00254
field,St Lucia Kings,cpl00255
field,Guyana Amazon Warriors,cpl00256
field,St Kitts and Nevis Patriots,cpl00257
field,Guyana Amazon Warriors,cpl00258
field,St Kitts and Nevis Patriots,cpl00259
field,St Kitts and Nevis Patriots,cpl00260
bat,Barbados Royals,cpl00261
bat,St Kitts and Nevis Patriots,cpl00262
field,Trinbago Knight Riders,cpl00263
field,Jamaica Tallawahs,cpl00264
field,Guyana Amazon Warriors,cpl00265
field,St Kitts and Nevis Patriots,cpl00266
bat,Guyana Amazon Warriors,cpl00267
field,Trinbago Knight Riders,cpl00268
bat,Jamaica Tallawahs,cpl00269
field,Barbados Royals,cpl00270
bat,Guyana Amazon Warriors,cpl00271
field,St Kitts and Nevis Patriots,cpl00272
field,Trinbago Knight Riders,cpl00273
field,Barbados Royals,cpl00274
bat,Guyana Amazon Warriors,cpl00275
bat,St Lucia Kings,cpl00276
field,St Kitts and Nevis Patriots,cpl00277
bat,St Lucia Kings,cpl00278
field,St Kitts and Nevis Patriots,cpl00279
field,Barbados Royals,cpl00280
field,Trinbago Knight Riders,cpl00281
field,Jamaica Tallawahs,cpl00282
field,St Lucia Kings,cpl00283
field,Trinbago Knight Riders,cpl00284
field,St Lucia Kings,cpl00285
bat,Guyana Amazon Warriors,cpl00286
field,Barbados Royals,cpl00287
field,Trinbago Knight Riders,cpl00288
field,Guyana Amazon Warriors,cpl00289
field,St Kitts and Nevis Patriots,cpl00290
field,Barbados Royals,cpl00291
field,Barbados Royals,cpl00292
field,St Kitts and Nevis Patriots,cpl00293
field,Guyana Amazon Warriors,cpl00294
field,Jamaica Tallawahs,cpl00295
field,St Kitts and Nevis Patriots,cpl00296
bat,Jamaica Tallawahs,cpl00297
field,Guyana Amazon Warriors,cpl00298
field,Trinbago Knight Riders,cpl00299
field,St Kitts and Nevis Patriots,cpl00300
field,Jamaica Tallawahs,cpl00301
bat,St Kitts and Nevis Patriots,cpl00302
bat,St Lucia Kings,cpl00303
field,Trinbago Knight Riders,cpl00304
field,Guyana Amazon Warriors,cpl00305
field,Guyana Amazon Warriors,cpl00306
field,St Lucia Kings,cpl00307
field,Guyana Amazon Warriors,cpl00308
bat,Barbados Royals,cpl00309
field,St Lucia Kings,cpl00310
bat,St Lucia Kings,cpl00311
field,St Kitts and Nevis Patriots,cpl00312
field,St Lucia Kings,cpl00313
field,Jamaica Tallawahs,cpl00314
field,St Kitts and Nevis Patriots,cpl00315
field,Barbados Royals,cpl00316
field,Trinbago Knight Riders,cpl00317
field,Jamaica Tallawahs,cpl00318
field,Trinbago Knight Riders,cpl00319
field,Barbados Royals,cpl00320
field,Barbados Royals,cpl00321
field,Barbados Royals,cpl00322
field,St Kitts and Nevis Patriots,cpl00323
bat,St Kitts and Nevis Patriots,cpl00324
field,Jamaica Tallawahs,cpl00325
field,Guyana Amazon Warriors,cpl00326
field,Barbados Royals,cpl00327
field,Trinbago Knight Riders,cpl00328
field,St Kitts and Nevis Patriots,cpl00329
bat,Guyana Amazon Warriors,cpl00330
field,Trinbago Knight Riders,cpl00331
field,Guyana Amazon Warriors,cpl00332
bat,Guyana Amazon Warriors,cpl00333
bat,Jamaica Tallawahs,cpl00334
field,Guyana Amazon Warriors,cpl00335
field,St Lucia Kings,cpl00336
field,Barbados Royals,cpl00337
field,Jamaica Tallawahs,cpl00338
field,Trinbago Knight Riders,cpl00339
field,Jamaica Tallawahs,cpl00340
field,Guyana Amazon Warriors,cpl00341
field,St Kitts and Nevis Patriots,cpl00342
field,Guyana Amazon Warriors,cpl00343
field,St Kitts and Nevis Patriots,cpl00344
field,Barbados Royals,cpl00345
field,St Lucia Kings,cpl00346
field,St Lucia Kings,cpl00347
bat,Guyana Amazon Warriors,cpl00348
field,Trinbago Knight Riders,cpl00349
field,Barbados Royals,cpl00350
field,Guyana Amazon Warriors,cpl00351
field,Antigua and Barbuda Falcons,cpl00352
field,Trinbago Knight Riders,cpl00353
field,Barbados Royals,cpl00354
field,St Lucia Kings,cpl00355
field,Trinbago Knight Riders,cpl00356
field,Guyana Amazon Warriors,cpl00357
field,Antigua and Barbuda Falcons,cpl00358
field,Barbados Royals,cpl00359
field,Trinbago Knight Riders,cpl00360
field,Antigua and Barbuda Falcons,cpl00361
field,St Kitts and Nevis Patriots,cpl00362
bat,Barbados Royals,cpl00363
field,Antigua and Barbuda Falcons,cpl00364
field,Trinbago Knight Riders,cpl00365
field,Barbados Royals,cpl00366
field,Trinbago Knight Riders,cpl00367
field,Barbados Royals,cpl00368
