winner,by.runs,key,by.wickets,method,result,eliminator
Guyana Amazon Warriors,,cpl00216,3.0,,,
St Lucia Zouks,,cpl00217,7.0,D/L,,
Trinbago Knight Riders,,cpl00218,7.0,,,
Guyana Amazon Warriors,14.0,cpl00219,,,,
St Lucia Zouks,10.0,cpl00220,,,,
Trinbago Knight Riders,19.0,cpl00221,,,,
St Lucia Zouks,10.0,cpl00222,,,,
St Kitts and Nevis Patriots,,cpl00223,6.0,,,
Jamaica Tallawahs,,cpl00224,5.0,,,
Trinbago Knight Riders,,cpl00225,6.0,D/L,,
Barbados Tridents,36.0,cpl00226,,,,
St Lucia Zouks,,cpl00227,6.0,,,
Trinbago Knight Riders,,cpl00228,7.0,,,
Trinbago Knight Riders,,cpl00229,2.0,,,
Jamaica Tallawahs,37.0,cpl00230,,,,
St Lucia Zouks,3.0,cpl00231,,,,
Guyana Amazon Warriors,,cpl00232,7.0,,,
Guyana Amazon Warriors,,cpl00233,8.0,,,
Trinbago Knight Riders,19.0,cpl00234,,,,
Trinbago Knight Riders,59.0,cpl00235,,,,
Guyana Amazon Warriors,,cpl00236,7.0,,,
,,cpl00237,,,no result,
Guyana Amazon Warriors,,cpl00238,6.0,,,
Trinbago Knight Riders,23.0,cpl00239,,,,
Barbados Tridents,,cpl00240,7.0,,,
Trinbago Knight Riders,,cpl00241,9.0,,,
St Lucia Zouks,11.0,cpl00242,,,,
Trinbago Knight Riders,,cpl00243,9.0,,,
St Lucia Zouks,,cpl00244,10.0,,,
Trinbago Knight Riders,,cpl00245,8.0,,,
Guyana Amazon Warriors,9.0,cpl00246,,,,
St Kitts and Nevis Patriots,21.0,cpl00247,,,,
Jamaica Tallawahs,120.0,cpl00248,,,,
Trinbago Knight Riders,,cpl00249,6.0,,,
St Kitts and Nevis Patriots,,cpl00250,8.0,,,
Barbados Royals,15.0,cpl00251,,,,
St Kitts and Nevis Patriots,,cpl00252,6.0,,,
St Lucia Kings,5.0,cpl00253,,,,
Jamaica Tallawahs,,cpl00254,6.0,,,
Trinbago Knight Riders,27.0,cpl00255,,,,
,,cpl00256,,,tie,Guyana Amazon Warriors
St Kitts and Nevis Patriots,,cpl00257,6.0,,,
St Lucia Kings,51.0,cpl00258,,,,
St Kitts and Nevis Patriots,,cpl00259,2.0,,,
St Lucia Kings,100.0,cpl00260,,,,
Guyana Amazon Warriors,,cpl00261,9.0,,,
St Lucia Kings,,cpl00262,6.0,,,
Trinbago Knight Riders,,cpl00263,7.0,,,
Trinbago Knight Riders,75.0,cpl00264,,,,
Barbados Royals,45.0,cpl00265,,,,
Jamaica Tallawahs,22.0,cpl00266,,,,
Guyana Amazon Warriors,17.0,cpl00267,,,,
Trinbago Knight Riders,,cpl00268,6.0,,,
Jamaica Tallawahs,55.0,cpl00269,,,,
St Lucia Kings,14.0,cpl00270,,D/L,,
Guyana Amazon Warriors,46.0,cpl00271,,,,
St Kitts and Nevis Patriots,,cpl00272,8.0,,,
Trinbago Knight Riders,,cpl00273,4.0,,,
Barbados Royals,,cpl00274,8.0,,,
Guyana Amazon Warriors,14.0,cpl00275,,,,
St Lucia Kings,21.0,cpl00276,,,,
St Kitts and Nevis Patriots,,cpl00277,7.0,,,
St Kitts and Nevis Patriots,,cpl00278,3.0,,,
Jamaica Tallawahs,47.0,cpl00279,,,,
Barbados Royals,,cpl00280,7.0,,,
Trinbago Knight Riders,,cpl00281,3.0,,,
Jamaica Tallawahs,,cpl00282,4.0,,,
Barbados Royals,11.0,cpl00283,,D/L,,
Barbados Royals,80.0,cpl00284,,D/L,,
St Lucia Kings,,cpl00285,2.0,,,
St Kitts and Nevis Patriots,,cpl00286,4.0,,,
Barbados Royals,,cpl00287,6.0,,,
Jamaica Tallawahs,34.0,cpl00288,,,,
Guyana Amazon Warriors,,cpl00289,6.0,,,
St Lucia Kings,61.0,cpl00290,,,,
Barbados Royals,,cpl00291,8.0,,,
Barbados Royals,,cpl00292,8.0,,,
St Kitts and Nevis Patriots,,cpl00293,8.0,D/L,,
Trinbago Knight Riders,26.0,cpl00294,,,,
Jamaica Tallawahs,6.0,cpl00295,,D/L,,
St Lucia Kings,49.0,cpl00296,,,,
Trinbago Knight Riders,,cpl00297,4.0,,,
Barbados Royals,29.0,cpl00298,,D/L,,
St Lucia Kings,1.0,cpl00299,,,,
Barbados Royals,36.0,cpl00300,,,,
Guyana Amazon Warriors,12.0,cpl00301,,,,
St Kitts and Nevis Patriots,7.0,cpl00302,,,,
Guyana Amazon Warriors,,cpl00303,6.0,,,
Guyana Amazon Warriors,37.0,cpl00304,,,,
Guyana Amazon Warriors,,cpl00305,5.0,,,
Barbados Royals,87.0,cpl00306,,,,
Jamaica Tallawahs,33.0,cpl00307,,,,
Jamaica Tallawahs,37.0,cpl00308,,,,
Jamaica Tallawahs,,cpl00309,8.0,,,
Jamaica Tallawahs,11.0,cpl00310,,,,
St Lucia Kings,54.0,cpl00311,,,,
,,cpl00312,,,no result,
,,cpl00313,,,no result,
Jamaica Tallawahs,,cpl00314,8.0,,,
Guyana Amazon Warriors,65.0,cpl00315,,,,
Barbados Royals,,cpl00316,6.0,,,
St Lucia Kings,54.0,cpl00317,,,,
Guyana Amazon Warriors,34.0,cpl00318,,,,
Trinbago Knight Riders,,cpl00319,6.0,,,
Trinbago Knight Riders,133.0,cpl00320,,,,
Barbados Royals,,cpl00321,6.0,,,
St Lucia Kings,90.0,cpl00322,,,,
Guyana Amazon Warriors,98.0,cpl00323,,,,
Barbados Royals,,cpl00324,8.0,,,
Trinbago Knight Riders,2.0,cpl00325,,,,
Guyana Amazon Warriors,,cpl00326,6.0,,,
Trinbago Knight Riders,42.0,cpl00327,,,,
Trinbago Knight Riders,,cpl00328,7.0,,,
St Kitts and Nevis Patriots,,cpl00329,4.0,,,
Guyana Amazon Warriors,3.0,cpl00330,,,,
Trinbago Knight Riders,,cpl00331,7.0,,,
Guyana Amazon Warriors,,cpl00332,7.0,,,
St Lucia Kings,,cpl00333,7.0,,,
Jamaica Tallawahs,59.0,cpl00334,,,,
Guyana Amazon Warriors,,cpl00335,6.0,,,
Jamaica Tallawahs,122.0,cpl00336,,,,
Guyana Amazon Warriors,88.0,cpl00337,,,,
Jamaica Tallawahs,,cpl00338,5.0,,,
Trinbago Knight Riders,,cpl00339,7.0,,,
Guyana Amazon Warriors,81.0,cpl00340,,,,
Guyana Amazon Warriors,,cpl00341,9.0,,,
St Kitts and Nevis Patriots,,cpl00342,1.0,,,
Guyana Amazon Warriors,,cpl00343,3.0,,,
Trinbago Knight Riders,44.0,cpl00344,,,,
Barbados Royals,,cpl00345,9.0,,,
St Lucia Kings,,cpl00346,5.0,,,
St Lucia Kings,,cpl00347,7.0,,,
Guyana Amazon Warriors,40.0,cpl00348,,,,
Antigua and Barbuda Falcons,6.0,cpl00349,,,,
Barbados Royals,,cpl00350,2.0,,,
Guyana Amazon Warriors,,cpl00351,6.0,,,
Antigua and Barbuda Falcons,,cpl00352,2.0,,,
Trinbago Knight Riders,,cpl00353,4.0,,,
Barbados Royals,10.0,cpl00354,,D/L,,
St Lucia Kings,,cpl00355,5.0,,,
Trinbago Knight Riders,,cpl00356,2.0,,,
Barbados Royals,32.0,cpl00357,,,,
St Lucia Kings,26.0,cpl00358,,,,
Barbados Royals,,cpl00359,9.0,,,
Trinbago Knight Riders,,cpl00360,5.0,,,
Antigua and Barbuda Falcons,,cpl00361,6.0,,,
Guyana Amazon Warriors,30.0,cpl00362,,,,
St Lucia Kings,,cpl00363,7.0,,,
Guyana Amazon Warriors,27.0,cpl00364,,,,
Trinbago Knight Riders,,cpl00365,7.0,,,
St Lucia Kings,13.0,cpl00366,,,,
St Lucia Kings,80.0,cpl00367,,,,
Guyana Amazon Warriors,47.0,cpl00368,,,,
