key,inning_no,batting_team,delivery_no,batter,bowler,non_striker,runs_batter,runs_extras,runs_non_boundary,runs_total,wicket_fielder,wicket_kind,wicket_player_out,extras_type,extras_run,over,ball
apl0001,1,Paktia Panthers,6.5,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,4,0,0,4,,,,,,6,5
apl0001,1,Paktia Panthers,6.6,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,0,0,0,0,,,,,,6,6
apl0001,1,Paktia Panthers,7.1,Ihsanullah,Rashid Khan,Mohammad Shahzad,0,0,0,0,,,,,,7,1
apl0001,1,Paktia Panthers,7.2,Ihsanullah,Rashid Khan,Mohammad Shahzad,1,0,0,1,,,,,,7,2
apl0001,1,Paktia Panthers,7.3,Mohammad Shahzad,Rashid Khan,Ihsanullah,6,0,0,6,,,,,,7,3
apl0001,1,Paktia Panthers,7.4,Mohammad Shahzad,Rashid Khan,Ihsanullah,1,0,0,1,,,,,,7,4
apl0001,1,Paktia Panthers,7.5,Ihsanullah,Rashid Khan,Mohammad Shahzad,1,0,0,1,,,,,,7,5
apl0001,1,Paktia Panthers,7.6,Mohammad Shahzad,Rashid Khan,Ihsanullah,0,0,0,0,,,,,,7,6
apl0001,1,Paktia Panthers,8.1,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,0,1,0,1,,,,wides,1.0,8,1
apl0001,1,Paktia Panthers,8.2,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,0,0,0,0,,,,,,8,1
apl0001,1,Paktia Panthers,8.3,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,0,1,0,1,,,,wides,1.0,8,2
apl0001,1,Paktia Panthers,8.4,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,0,4,0,4,,,,legbyes,4.0,8,2
apl0001,1,Paktia Panthers,8.5,Ihsanullah,Fareed Ahmad,Mohammad Shahzad,1,0,0,1,,,,,,8,3
apl0001,1,Paktia Panthers,8.6,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,6,0,0,6,,,,,,8,4
apl0001,1,Paktia Panthers,8.7,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,6,0,0,6,,,,,,8,5
apl0001,1,Paktia Panthers,8.8,Mohammad Shahzad,Fareed Ahmad,Ihsanullah,1,0,0,1,,,,,,8,6
apl0001,1,Paktia Panthers,9.1,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,0,5,0,5,,,,wides,5.0,9,1
apl0001,1,Paktia Panthers,9.2,Mohammad Shahzad,Zahir Shehzad,Ihsanullah,1,0,0,1,,,,,,9,1
apl0001,1,Paktia Panthers,9.3,Ihsanullah,Zahir Shehzad,Mohammad Shahzad,0,0,0,0,LJ Evans,caught,Ihsanullah,,,9,2
apl0001,1,Paktia Panthers,9.4,Mohammad Shahzad,Zahir Shehzad,CS Delport,6,0,0,6,,,,,,9,3
apl0001,1,Paktia Panthers,9.5,Mohammad Shahzad,Zahir Shehzad,CS Delport,0,0,0,0,,bowled,Mohammad Shahzad,,,9,4
apl0001,1,Paktia Panthers,9.6,Sikandar Raza,Zahir Shehzad,CS Delport,1,0,0,1,,,,,,9,5
