key,team
cpl0088,St Lucia Zouks
cpl0089,Trinbago Knight Riders
cpl0089,Jamaica Tallawahs
cpl0090,Trinbago Knight Riders
cpl0090,Guyana Amazon Warriors
cpl0091,Jamaica Tallawahs
cpl0091,Barbados Tridents
cpl0092,Barbados Tridents
cpl0092,St Kitts and Nevis Patriots
cpl0093,Guyana Amazon Warriors
cpl0093,Jamaica Tallawahs
cpl0094,Jamaica Tallawahs
cpl0094,St Kitts and Nevis Patriots
cpl0095,Barbados Tridents
cpl0095,Trinbago Knight Riders
cpl0096,Barbados Tridents
cpl0096,St Lucia Zouks
cpl0097,Jamaica Tallawahs
cpl0097,Trinbago Knight Riders
cpl0098,Jamaica Tallawahs
cpl0098,Barbados Tridents
cpl0099,St Lucia Zouks
cpl0099,St Kitts and Nevis Patriots
cpl0100,Guyana Amazon Warriors
cpl0100,St Lucia Zouks
cpl0101,St Lucia Zouks
cpl0101,Trinbago Knight Riders
cpl0102,Barbados Tridents
cpl0102,Guyana Amazon Warriors
cpl0103,St Kitts and Nevis Patriots
cpl0103,Trinbago Knight Riders
cpl0104,Barbados Tridents
cpl0104,Guyana Amazon Warriors
cpl0105,St Lucia Zouks
cpl0105,Jamaica Tallawahs
cpl0106,St Lucia Zouks
cpl0106,Jamaica Tallawahs
cpl0107,St Kitts and Nevis Patriots
cpl0107,Trinbago Knight Riders
cpl0108,St Lucia Zouks
cpl0108,Trinbago Knight Riders
cpl0109,Jamaica Tallawahs
cpl0109,Trinbago Knight Riders
cpl0110,Guyana Amazon Warriors
cpl0110,Jamaica Tallawahs
cpl0111,St Lucia Stars
cpl0111,Trinbago Knight Riders
cpl0112,Barbados Tridents
cpl0112,Jamaica Tallawahs
cpl0113,Guyana Amazon Warriors
cpl0113,St Kitts and Nevis Patriots
cpl0114,Jamaica Tallawahs
cpl0114,Barbados Tridents
cpl0115,St Kitts and Nevis Patriots
cpl0115,Guyana Amazon Warriors
cpl0116,St Lucia Stars
cpl0116,Trinbago Knight Riders
cpl0117,Trinbago Knight Riders
cpl0117,Jamaica Tallawahs
cpl0118,Barbados Tridents
cpl0118,St Lucia Stars
cpl0119,Guyana Amazon Warriors
cpl0119,Trinbago Knight Riders
cpl0120,Barbados Tridents
cpl0120,Trinbago Knight Riders
cpl0121,St Kitts and Nevis Patriots
cpl0121,St Lucia Stars
cpl0122,St Lucia Stars
cpl0122,Guyana Amazon Warriors
cpl0123,St Kitts and Nevis Patriots
cpl0123,Trinbago Knight Riders
cpl0124,St Lucia Stars
cpl0124,Jamaica Tallawahs
cpl0125,Jamaica Tallawahs
cpl0125,Guyana Amazon Warriors
cpl0126,Barbados Tridents
cpl0126,St Kitts and Nevis Patriots
cpl0127,St Lucia Stars
cpl0127,St Kitts and Nevis Patriots
cpl0128,Guyana Amazon Warriors
cpl0128,Trinbago Knight Riders
cpl0129,Barbados Tridents
cpl0129,Guyana Amazon Warriors
cpl0130,St Kitts and Nevis Patriots
cpl0130,Jamaica Tallawahs
cpl0131,St Lucia Stars
cpl0131,Guyana Amazon Warriors
cpl0132,St Kitts and Nevis Patriots
cpl0132,Trinbago Knight Riders
cpl0133,St Lucia Stars
cpl0133,Jamaica Tallawahs
cpl0134,Trinbago Knight Riders
cpl0134,Jamaica Tallawahs
cpl0135,Guyana Amazon Warriors
cpl0135,Barbados Tridents
cpl0136,Jamaica Tallawahs
cpl0136,St Kitts and Nevis Patriots
cpl0137,Barbados Tridents
cpl0137,St Lucia Stars
cpl0138,Jamaica Tallawahs
cpl0138,Guyana Amazon Warriors
cpl0139,Barbados Tridents
cpl0139,Trinbago Knight Riders
cpl0140,Barbados Tridents
cpl0140,St Kitts and Nevis Patriots
cpl0141,St Kitts and Nevis Patriots
cpl0141,Trinbago Knight Riders
cpl0142,Jamaica Tallawahs
cpl0142,Guyana Amazon Warriors
cpl0143,Guyana Amazon Warriors
cpl0143,Trinbago Knight Riders
cpl0144,St Kitts and Nevis Patriots
cpl0144,Trinbago Knight Riders
cpl0145,Trinbago Knight Riders
cpl0145,St Lucia Stars
cpl0146,St Kitts and Nevis Patriots
cpl0146,Guyana Amazon Warriors
cpl0147,Trinbago Knight Riders
cpl0147,Jamaica Tallawahs
cpl0148,St Kitts and Nevis Patriots
cpl0148,Trinbago Knight Riders
cpl0149,Guyana Amazon Warriors
