key,date
cpl0246,2021-08-26
cpl0247,2021-08-27
cpl0248,2021-08-27
cpl0249,2021-08-28
cpl0250,2021-08-28
cpl0251,2021-08-29
cpl0252,2021-08-29
cpl0253,2021-08-31
cpl0254,2021-08-31
cpl0255,2021-09-01
cpl0256,2021-09-01
cpl0257,2021-09-02
cpl0258,2021-09-02
cpl0259,2021-09-04
cpl0260,2021-09-04
cpl0261,2021-09-05
cpl0262,2021-09-05
cpl0263,2021-09-07
cpl0264,2021-09-07
cpl0265,2021-09-08
cpl0266,2021-09-08
cpl0267,2021-09-09
cpl0268,2021-09-09
cpl0269,2021-09-11
cpl0270,2021-09-11
cpl0271,2021-09-11
cpl0272,2021-09-12
cpl0273,2021-09-12
cpl0274,2021-09-12
cpl0275,2021-09-14
cpl0276,2021-09-14
cpl0277,2021-09-15
cpl0278,2021-09-15
cpl0279,2022-08-31
cpl0280,2022-09-01
cpl0281,2022-09-01
cpl0282,2022-09-03
cpl0283,2022-09-04
cpl0284,2022-09-07
cpl0285,2022-09-07
cpl0286,2022-09-08
cpl0287,2022-09-08
cpl0288,2022-09-10
cpl0289,2022-09-10
cpl0290,2022-09-11
cpl0291,2022-09-11
cpl0292,2022-09-13
cpl0293,2022-09-14
cpl0294,2022-09-14
cpl0295,2022-09-15
cpl0296,2022-09-17
cpl0297,2022-09-17
cpl0298,2022-09-18
cpl0299,2022-09-18
cpl0300,2022-09-21
cpl0301,2022-09-21
cpl0302,2022-09-22
cpl0303,2022-09-22
cpl0304,2022-09-24
cpl0305,2022-09-25
cpl0306,2022-09-27
cpl0307,2022-09-27
cpl0308,2022-09-28
cpl0309,2022-09-30
