key,umpire
cpl0122,LS Reifer
cpl0123,N Duguid
cpl0123,L Rusere
cpl0124,LS Reifer
cpl0124,Zahid Bassarath
cpl0125,L Rusere
cpl0125,GO Brathwaite
cpl0126,JD Cloete
cpl0126,Zahid Bassarath
cpl0127,JD Cloete
cpl0127,LS Reifer
cpl0128,N Duguid
cpl0128,GO Brathwaite
cpl0129,N Duguid
cpl0129,L Rusere
cpl0130,LS Reifer
cpl0130,Zahid Bassarath
cpl0131,L Rusere
cpl0131,GO Brathwaite
cpl0132,JD Cloete
cpl0132,Zahid Bassarath
cpl0133,N Duguid
cpl0133,GO Brathwaite
cpl0134,N Duguid
cpl0134,L Rusere
cpl0135,JD Cloete
cpl0135,LS Reifer
cpl0136,L Rusere
cpl0136,GO Brathwaite
cpl0137,LS Reifer
cpl0137,Zahid Bassarath
cpl0138,N Duguid
cpl0138,GO Brathwaite
cpl0139,JD Cloete
cpl0139,Zahid Bassarath
cpl0140,JD Cloete
cpl0140,LS Reifer
cpl0141,JD Cloete
cpl0141,L Rusere
cpl0142,JD Cloete
cpl0142,GO Brathwaite
cpl0143,L Rusere
cpl0143,GO Brathwaite
cpl0144,L Rusere
cpl0144,GO Brathwaite
cpl0145,LS Reifer
cpl0145,JS Wilson
cpl0146,N Duguid
cpl0146,GO Brathwaite
cpl0147,LS Reifer
cpl0147,S George
cpl0148,JS Wilson
cpl0148,S George
cpl0149,N Duguid
cpl0149,L Rusere
cpl0150,L Rusere
cpl0150,GO Brathwaite
cpl0151,LS Reifer
cpl0151,JS Wilson
cpl0152,LS Reifer
cpl0152,S George
cpl0153,N Duguid
cpl0153,GO Brathwaite
cpl0154,N Duguid
cpl0154,L Rusere
cpl0155,Jermaine Lindo
cpl0155,S George
cpl0156,JS Wilson
cpl0156,SN Bandekar
cpl0157,L Rusere
cpl0157,GO Brathwaite
cpl0158,LS Reifer
cpl0158,S George
cpl0159,N Duguid
cpl0159,GO Brathwaite
cpl0160,N Duguid
cpl0160,L Rusere
cpl0161,PA Gustard
cpl0161,S George
cpl0162,LS Reifer
cpl0162,PA Gustard
cpl0163,L Rusere
cpl0163,GO Brathwaite
cpl0164,LS Reifer
cpl0164,S George
cpl0165,PA Gustard
cpl0165,S George
cpl0166,N Duguid
cpl0166,L Rusere
cpl0167,L Rusere
cpl0167,GO Brathwaite
cpl0168,LS Reifer
cpl0168,PA Gustard
cpl0169,N Duguid
cpl0169,GO Brathwaite
cpl0170,LS Reifer
cpl0170,S George
cpl0171,PA Gustard
cpl0171,S George
cpl0172,N Duguid
cpl0172,L Rusere
cpl0173,L Rusere
cpl0173,GO Brathwaite
cpl0174,LS Reifer
cpl0174,L Rusere
cpl0175,N Duguid
cpl0175,L Rusere
cpl0176,N Duguid
cpl0176,LS Reifer
cpl0177,LS Reifer
cpl0177,L Rusere
cpl0178,LS Reifer
cpl0178,Zahid Bassarath
cpl0179,N Duguid
cpl0179,GO Brathwaite
cpl0180,LS Reifer
cpl0180,S George
cpl0181,N Duguid
cpl0181,L Rusere
cpl0182,L Rusere
cpl0182,GO Brathwaite
cpl0183,Zahid Bassarath
cpl0183,S George
cpl0184,LS Reifer
cpl0184,Zahid Bassarath
cpl0185,LS Reifer
cpl0185,S George
cpl0186,N Duguid
cpl0186,GO Brathwaite
cpl0187,N Duguid
cpl0187,L Rusere
cpl0188,Zahid Bassarath
cpl0188,S George
cpl0189,LS Reifer
cpl0189,Zahid Bassarath
cpl0190,L Rusere
cpl0190,GO Brathwaite
cpl0191,LS Reifer
cpl0191,S George
cpl0192,N Duguid
cpl0192,GO Brathwaite
cpl0193,N Duguid
cpl0193,L Rusere
cpl0194,Zahid Bassarath
cpl0194,S George
cpl0195,LS Reifer
cpl0195,Zahid Bassarath
cpl0196,L Rusere
cpl0196,GO Brathwaite
cpl0197,N Duguid
cpl0197,GO Brathwaite
cpl0198,LS Reifer
cpl0198,S George
cpl0199,Zahid Bassarath
cpl0199,S George
cpl0200,N Duguid
cpl0200,L Rusere
cpl0201,LS Reifer
cpl0201,Zahid Bassarath
cpl0202,L Rusere
cpl0202,GO Brathwaite
cpl0203,N Duguid
cpl0203,GO Brathwaite
cpl0204,LS Reifer
cpl0204,S George
cpl0205,Zahid Bassarath
cpl0205,S George
cpl0206,N Duguid
cpl0206,L Rusere
cpl0207,L Rusere
cpl0207,GO Brathwaite
cpl0208,S George
cpl0208,GO Brathwaite
cpl0209,N Duguid
cpl0209,S George
cpl0210,N Duguid
cpl0210,GO Brathwaite
cpl0211,N Duguid
cpl0211,GO Brathwaite
cpl0212,N Duguid
cpl0212,GO Brathwaite
cpl0213,LS Reifer
cpl0213,DK Butler
cpl0214,N Duguid
cpl0214,Zahid Bassarath
cpl0215,LS Reifer
cpl0215,JS Wilson
cpl0216,Zahid Bassarath
cpl0216,GO Brathwaite
cpl0217,JS Wilson
cpl0217,DK Butler
cpl0218,N Duguid
cpl0218,GO Brathwaite
cpl0219,LS Reifer
cpl0219,DK Butler
cpl0220,N Duguid
cpl0220,Zahid Bassarath
cpl0221,LS Reifer
cpl0221,JS Wilson
cpl0222,JS Wilson
cpl0222,DK Butler
cpl0223,Zahid Bassarath
cpl0223,GO Brathwaite
cpl0224,LS Reifer
