key,toss_winner,toss_decision,decision,winner
cpl0141,,,field,Trinbago Knight Riders
cpl0142,,,field,Guyana Amazon Warriors
cpl0143,,,field,Trinbago Knight Riders
cpl0144,,,field,Trinbago Knight Riders
cpl0145,,,field,St Lucia Stars
cpl0146,,,field,Guyana Amazon Warriors
cpl0147,,,field,Jamaica Tallawahs
cpl0148,,,field,Trinbago Knight Riders
cpl0149,,,field,St Lucia Stars
cpl0150,,,field,Guyana Amazon Warriors
cpl0151,,,bat,St Lucia Stars
cpl0152,,,field,St Kitts and Nevis Patriots
cpl0153,,,field,Trinbago Knight Riders
cpl0154,,,field,Barbados Tridents
cpl0155,,,bat,Guyana Amazon Warriors
cpl0156,,,field,Trinbago Knight Riders
cpl0157,,,field,St Kitts and Nevis Patriots
cpl0158,,,field,Jamaica Tallawahs
cpl0159,,,field,St Lucia Stars
cpl0160,,,bat,Jamaica Tallawahs
cpl0161,,,field,St Kitts and Nevis Patriots
cpl0162,,,bat,Barbados Tridents
cpl0163,,,field,Guyana Amazon Warriors
cpl0164,,,field,Jamaica Tallawahs
cpl0165,,,field,Guyana Amazon Warriors
cpl0166,,,field,St Kitts and Nevis Patriots
cpl0167,,,field,St Kitts and Nevis Patriots
cpl0168,,,field,St Lucia Stars
cpl0169,,,field,St Kitts and Nevis Patriots
cpl0170,,,field,Guyana Amazon Warriors
cpl0171,,,field,Barbados Tridents
cpl0172,,,field,Jamaica Tallawahs
cpl0173,,,field,Guyana Amazon Warriors
cpl0174,,,field,Guyana Amazon Warriors
cpl0175,,,field,St Kitts and Nevis Patriots
cpl0176,,,field,St Kitts and Nevis Patriots
cpl0177,,,field,Trinbago Knight Riders
cpl0178,,,field,St Kitts and Nevis Patriots
cpl0179,,,field,St Lucia Zouks
cpl0180,,,field,Jamaica Tallawahs
cpl0181,,,field,Guyana Amazon Warriors
cpl0182,,,field,Barbados Tridents
cpl0183,,,bat,St Lucia Zouks
cpl0184,,,field,St Kitts and Nevis Patriots
cpl0185,,,field,St Kitts and Nevis Patriots
cpl0186,,,field,St Lucia Zouks
cpl0187,,,field,Jamaica Tallawahs
cpl0188,,,field,Guyana Amazon Warriors
cpl0189,,,field,St Kitts and Nevis Patriots
cpl0190,,,field,Jamaica Tallawahs
cpl0191,,,field,St Kitts and Nevis Patriots
cpl0192,,,field,Jamaica Tallawahs
cpl0193,,,field,Jamaica Tallawahs
cpl0194,,,field,St Lucia Zouks
