key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
cpl0103,,runs,34.0,,,,,St Kitts and Nevis Patriots
cpl0104,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0105,,runs,63.0,,,,,St Lucia Zouks
cpl0106,,runs,17.0,,,,,St Lucia Zouks
cpl0107,,wickets,8.0,,,,,Trinbago Knight Riders
cpl0108,,wickets,5.0,,,,,Trinbago Knight Riders
cpl0109,,runs,19.0,,,D/L,,Jamaica Tallawahs
cpl0110,,wickets,9.0,,,,,Jamaica Tallawahs
cpl0111,,wickets,9.0,,,,,Trinbago Knight Riders
cpl0112,,runs,12.0,,,,,Barbados Tridents
cpl0113,,wickets,4.0,,,,,St Kitts and Nevis Patriots
cpl0114,,runs,12.0,,,,,Jamaica Tallawahs
cpl0115,,runs,4.0,,,,,St Kitts and Nevis Patriots
cpl0116,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0117,,wickets,4.0,,,,,Jamaica Tallawahs
cpl0118,,runs,21.0,,,D/L,,Barbados Tridents
cpl0119,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0120,,wickets,2.0,,,,,Trinbago Knight Riders
cpl0121,,runs,33.0,,,,,St Kitts and Nevis Patriots
cpl0122,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0123,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0124,,wickets,5.0,,,,,Jamaica Tallawahs
cpl0125,,runs,2.0,,,,,Jamaica Tallawahs
cpl0126,,runs,17.0,,,D/L,,St Kitts and Nevis Patriots
cpl0127,,,,,,,no result,
cpl0128,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0129,,wickets,4.0,,,,,Guyana Amazon Warriors
cpl0130,,runs,37.0,,,,,St Kitts and Nevis Patriots
cpl0131,,wickets,7.0,,,,,Guyana Amazon Warriors
cpl0132,,wickets,8.0,,,D/L,,Trinbago Knight Riders
cpl0133,,wickets,6.0,,,,,Jamaica Tallawahs
cpl0134,,runs,36.0,,,,,Trinbago Knight Riders
cpl0135,,runs,99.0,,,,,Guyana Amazon Warriors
cpl0136,,runs,41.0,,,,,Jamaica Tallawahs
cpl0137,,runs,29.0,,,,,Barbados Tridents
cpl0138,,wickets,9.0,,,,,Guyana Amazon Warriors
cpl0139,,runs,16.0,,,,,Barbados Tridents
cpl0140,,wickets,10.0,,,,,St Kitts and Nevis Patriots
cpl0141,,runs,38.0,,,,,St Kitts and Nevis Patriots
cpl0142,,wickets,5.0,,,,,Guyana Amazon Warriors
cpl0143,,wickets,6.0,,,,,Trinbago Knight Riders
cpl0144,,wickets,3.0,,,,,Trinbago Knight Riders
cpl0145,,runs,100.0,,,,,Trinbago Knight Riders
cpl0146,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0147,,wickets,4.0,,,,,Jamaica Tallawahs
cpl0148,,runs,42.0,,,,,St Kitts and Nevis Patriots
cpl0149,,runs,3.0,,,,,Guyana Amazon Warriors
cpl0150,,runs,30.0,,,,,Barbados Tridents
cpl0151,,wickets,6.0,,,,,Jamaica Tallawahs
cpl0152,,runs,47.0,,,,,Jamaica Tallawahs
cpl0153,,wickets,5.0,,,,,Trinbago Knight Riders
cpl0154,,runs,38.0,,,,,St Lucia Stars
cpl0155,,runs,71.0,,,,,Guyana Amazon Warriors
cpl0156,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0157,,wickets,7.0,,,,,St Kitts and Nevis Patriots
cpl0158,,runs,2.0,,,,,Barbados Tridents
cpl0159,,wickets,6.0,,,,,St Lucia Stars
cpl0160,,runs,21.0,,,,,Jamaica Tallawahs
cpl0161,,wickets,6.0,,,,,St Kitts and Nevis Patriots
cpl0162,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0163,,wickets,4.0,,,,,Guyana Amazon Warriors
cpl0164,,wickets,5.0,,,,,Jamaica Tallawahs
cpl0165,,wickets,8.0,,,,,Guyana Amazon Warriors
cpl0166,,runs,46.0,,,,,Trinbago Knight Riders
cpl0167,,wickets,7.0,,,D/L,,St Kitts and Nevis Patriots
cpl0168,,wickets,6.0,,,,,St Lucia Stars
cpl0169,,wickets,2.0,,,,,St Kitts and Nevis Patriots
cpl0170,,runs,67.0,,,,,Trinbago Knight Riders
cpl0171,,runs,9.0,,,,,Trinbago Knight Riders
cpl0172,,wickets,8.0,,,,,Jamaica Tallawahs
cpl0173,,wickets,6.0,,,,,Guyana Amazon Warriors
cpl0174,,wickets,2.0,,,,,Guyana Amazon Warriors
cpl0175,,wickets,2.0,,,,,St Kitts and Nevis Patriots
cpl0176,,runs,20.0,,,,,Trinbago Knight Riders
cpl0177,,wickets,8.0,,,,,Trinbago Knight Riders
cpl0178,,runs,11.0,,,,,Trinbago Knight Riders
cpl0179,,runs,13.0,,,,,Guyana Amazon Warriors
cpl0180,,runs,22.0,,,,,Trinbago Knight Riders
cpl0181,,wickets,8.0,,,,,Guyana Amazon Warriors
cpl0182,,runs,47.0,,,,,Guyana Amazon Warriors
cpl0183,,wickets,7.0,,,,,Trinbago Knight Riders
cpl0184,,wickets,4.0,,,,,St Kitts and Nevis Patriots
cpl0185,,runs,18.0,,,,,Barbados Tridents
cpl0186,,wickets,5.0,,,,,St Lucia Zouks
cpl0187,,runs,41.0,,,,,Trinbago Knight Riders
cpl0188,,wickets,7.0,,,,,Guyana Amazon Warriors
cpl0189,,wickets,6.0,,,,,St Kitts and Nevis Patriots
cpl0190,,wickets,4.0,,,,,Jamaica Tallawahs
cpl0191,,,,,St Kitts and Nevis Patriots,,tie,
cpl0192,,runs,81.0,,,,,Guyana Amazon Warriors
cpl0193,,runs,20.0,,,,,St Kitts and Nevis Patriots
cpl0194,,runs,71.0,,,,,Barbados Tridents
cpl0195,,,,,,,no result,
cpl0196,,runs,12.0,,,D/L,,Guyana Amazon Warriors
cpl0197,,runs,5.0,,,,,Jamaica Tallawahs
cpl0198,,runs,20.0,,,,,St Lucia Zouks
cpl0199,,wickets,8.0,,,,,Guyana Amazon Warriors
cpl0200,,runs,63.0,,,,,Barbados Tridents
cpl0201,,wickets,4.0,,,,,St Lucia Zouks
cpl0202,,runs,1.0,,,,,St Kitts and Nevis Patriots
cpl0203,,runs,24.0,,,,,Barbados Tridents
cpl0204,,runs,19.0,,,,,Guyana Amazon Warriors
cpl0205,,wickets,7.0,,,,,Barbados Tridents
cpl0206,,runs,77.0,,,,,Guyana Amazon Warriors
cpl0207,,wickets,7.0,,,,,Guyana Amazon Warriors
cpl0208,,wickets,6.0,,,,,Trinbago Knight Riders
cpl0209,,runs,30.0,,,,,Guyana Amazon Warriors
cpl0210,,runs,12.0,,,,,Barbados Tridents
cpl0211,,runs,27.0,,,,,Barbados Tridents
cpl0212,,runs,6.0,,,,,Barbados Tridents
cpl0213,,wickets,4.0,,,,,Trinbago Knight Riders
cpl0214,,wickets,3.0,,,,,Guyana Amazon Warriors
