key,player_of_match
cpl0245,SE Rutherford
cpl0246,OF Smith
cpl0247,I Udana
cpl0248,AD Russell
cpl0249,RA Reifer
cpl0250,DC Thomas
cpl0251,SE Rutherford
cpl0252,RL Chase
cpl0253,K Lewis
cpl0254,KA Pollard
cpl0255,SE Rutherford
cpl0256,R Shepherd
cpl0257,SS Cottrell
cpl0258,RL Chase
cpl0259,C Hemraj
cpl0260,F du Plessis
cpl0261,LMP Simmons
cpl0262,RL Chase
cpl0263,KR Mayers
cpl0264,Ali Khan
cpl0265,G Motie
cpl0266,AD Russell
cpl0267,K Lewis
cpl0268,K Pierre
cpl0269,E Lewis
cpl0270,N Pooran
cpl0271,D Wiese
cpl0272,KA Pollard
cpl0273,R Shepherd
cpl0274,KR Mayers
cpl0275,E Lewis
cpl0276,D Wiese
cpl0277,DC Drakes
cpl0127,KA Pollard
cpl0195,JL Carter
cpl0237,R Shepherd
cpl0278,DC Drakes
cpl0279,BA King
cpl0280,AJ Hosein
cpl0281,AJ Hosein
cpl0282,Mohammad Amir
cpl0283,KR Mayers
cpl0284,J Charles
cpl0285,DA Miller
cpl0286,C Bosch
cpl0287,Duan Jansen
cpl0288,H Klaasen
cpl0289,Imad Wasim
cpl0290,MW Forde
cpl0291,OC McCoy
cpl0292,KR Mayers
cpl0293,SP Narine
cpl0294,Rashid Khan
cpl0295,Imad Wasim
cpl0296,R Rampaul
cpl0297,D Wiese
cpl0298,RL Chase
cpl0299,JO Holder
cpl0300,Azam Khan
cpl0301,Azam Khan
cpl0302,SD Hope
cpl0303,SE Rutherford
cpl0304,Shakib Al Hasan
cpl0305,Shakib Al Hasan
cpl0306,RRS Cornwall
cpl0307,RRS Cornwall
cpl0308,SSJ Brooks
cpl0309,FA Allen
cpl0310,BA King
cpl0311,MW Forde
