key,team
t20s0145,Pakistan
t20s0146,West Indies
t20s0146,Sri Lanka
t20s0147,Australia
t20s0147,India
t20s0148,England
t20s0148,South Africa
t20s0149,New Zealand
t20s0149,Pakistan
t20s0150,Australia
t20s0150,Sri Lanka
t20s0151,West Indies
t20s0151,India
t20s0152,England
t20s0152,New Zealand
t20s0153,Pakistan
t20s0153,South Africa
t20s0154,West Indies
t20s0154,Australia
t20s0155,India
t20s0155,Sri Lanka
t20s0156,Australia
t20s0156,India
t20s0157,England
t20s0157,Sri Lanka
t20s0158,West Indies
t20s0158,New Zealand
t20s0159,Australia
t20s0159,Pakistan
t20s0160,Australia
t20s0160,New Zealand
t20s0161,Australia
t20s0161,England
t20s0162,West Indies
t20s0162,South Africa
t20s0163,West Indies
t20s0163,South Africa
t20s0164,New Zealand
t20s0164,Sri Lanka
t20s0165,New Zealand
t20s0165,Sri Lanka
t20s0166,Zimbabwe
t20s0166,India
t20s0167,Zimbabwe
t20s0167,India
t20s0168,Australia
t20s0168,Pakistan
t20s0169,Australia
t20s0169,Pakistan
t20s0170,England
t20s0170,Pakistan
t20s0171,England
t20s0171,Pakistan
t20s0172,South Africa
t20s0172,Zimbabwe
t20s0173,South Africa
t20s0173,Zimbabwe
t20s0174,Pakistan
t20s0174,South Africa
t20s0175,Pakistan
t20s0175,South Africa
t20s0176,Australia
t20s0176,Sri Lanka
t20s0177,New Zealand
t20s0177,Pakistan
t20s0178,New Zealand
t20s0178,Pakistan
t20s0179,New Zealand
t20s0179,Australia
t20s0180,New Zealand
t20s0180,Pakistan
t20s0181,South Africa
t20s0181,India
t20s0182,Australia
t20s0182,England
t20s0183,Australia
t20s0183,England
t20s0184,West Indies
t20s0184,Pakistan
t20s0185,West Indies
t20s0185,India
t20s0186,England
t20s0186,Sri Lanka
t20s0187,England
t20s0187,India
t20s0188,Sri Lanka
t20s0188,Australia
t20s0189,Sri Lanka
t20s0189,Australia
t20s0190,England
t20s0190,India
t20s0191,Zimbabwe
t20s0191,Pakistan
t20s0192,Zimbabwe
t20s0192,Pakistan
t20s0193,England
t20s0193,West Indies
t20s0194,England
t20s0194,West Indies
t20s0195,Bangladesh
t20s0195,West Indies
t20s0196,South Africa
t20s0196,Australia
t20s0197,Zimbabwe
t20s0197,New Zealand
t20s0198,South Africa
t20s0198,Australia
t20s0199,Zimbabwe
t20s0199,New Zealand
t20s0200,South Africa
t20s0200,England
t20s0201,India
t20s0201,England
t20s0202,Pakistan
t20s0202,Sri Lanka
t20s0203,Bangladesh
t20s0203,Pakistan
t20s0204,Australia
t20s0204,India
t20s0205,Australia
t20s0205,India
t20s0206,New Zealand
t20s0206,Zimbabwe
t20s0207,New Zealand
t20s0207,Zimbabwe
t20s0208,New Zealand
t20s0208,England
t20s0209,New Zealand
t20s0209,South Africa
t20s0210,New Zealand
t20s0210,England
t20s0211,New Zealand
t20s0211,South Africa
t20s0212,Kenya
t20s0212,Ireland
t20s0213,New Zealand
t20s0213,England
t20s0214,New Zealand
t20s0214,South Africa
t20s0215,Kenya
t20s0215,Ireland
t20s0216,England
t20s0216,Pakistan
t20s0217,Kenya
t20s0217,Ireland
t20s0218,England
t20s0218,Pakistan
t20s0219,England
t20s0219,Pakistan
t20s0220,Canada
t20s0220,Netherlands
t20s0221,Afghanistan
t20s0221,Netherlands
t20s0222,Ireland
t20s0222,Kenya
t20s0223,Afghanistan
t20s0223,Canada
t20s0224,Ireland
t20s0224,Scotland
t20s0225,Canada
t20s0225,Ireland
t20s0226,Canada
t20s0226,Scotland
t20s0227,Ireland
t20s0227,Netherlands
t20s0228,Afghanistan
t20s0228,Ireland
t20s0229,West Indies
t20s0229,Australia
t20s0230,South Africa
t20s0230,India
t20s0231,West Indies
t20s0231,Australia
t20s0232,Sri Lanka
t20s0232,Pakistan
t20s0233,Sri Lanka
t20s0233,Pakistan
t20s0234,England
t20s0234,West Indies
t20s0235,England
t20s0235,India
t20s0236,England
t20s0236,India
t20s0237,New Zealand
t20s0237,West Indies
t20s0238,New Zealand
t20s0238,West Indies
t20s0239,Ireland
t20s0239,Bangladesh
t20s0240,Netherlands
t20s0240,Bangladesh
t20s0241,Netherlands
t20s0241,Bangladesh
t20s0242,Sri Lanka
t20s0242,India
t20s0243,England
t20s0243,Pakistan
t20s0244,Australia
t20s0244,Pakistan
t20s0245,England
t20s0245,Pakistan
t20s0246,Australia
t20s0246,Pakistan
t20s0247,England
t20s0247,West Indies
t20s0248,England
t20s0248,South Africa
t20s0249,Australia
t20s0249,Pakistan
t20s0250,England
t20s0250,West Indies
t20s0251,England
t20s0251,South Africa
t20s0252,India
t20s0252,New Zealand
t20s0253,England
t20s0253,South Africa
t20s0254,England
t20s0254,West Indies
t20s0255,England
t20s0255,West Indies
t20s0256,England
t20s0256,West Indies
t20s0257,Sri Lanka
t20s0257,Zimbabwe
t20s0258,Afghanistan
t20s0258,India
t20s0259,Australia
t20s0259,Ireland
t20s0260,South Africa
t20s0260,Zimbabwe
t20s0261,Afghanistan
t20s0261,England
t20s0262,Bangladesh
t20s0262,New Zealand
t20s0263,Australia
t20s0263,West Indies
