key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
t20s1521,North Sound,,2021-06-30,female,T20,,20.0,SS Connell,"Sir Vivian Richards Stadium, North Sound, Antigua"
t20s1522,St George's,,2021-07-01,male,T20,,20.0,KA Pollard,"National Cricket Stadium, St George's, Grenada"
t20s1523,Coolidge,,2021-07-02,female,T20,,20.0,Kycia A Knight,"Coolidge Cricket Ground, Antigua"
t20s1524,St George's,,2021-07-03,male,T20,,20.0,AK Markram,"National Cricket Stadium, St George's, Grenada"
t20s1525,North Sound,,2021-07-04,female,T20,,20.0,SR Taylor,"Sir Vivian Richards Stadium, North Sound, Antigua"
t20s1526,Krefeld,,2021-07-08,female,T20,,20.0,A Doddaballapur,Bayer Uerdingen Cricket Ground
t20s1527,Krefeld,,2021-07-08,female,T20,,20.0,AM Healey,Bayer Uerdingen Cricket Ground
t20s1528,Marsa,,2021-07-08,male,T20,,20.0,B Niaz,Marsa Sports Club
t20s1529,Marsa,,2021-07-08,male,T20,,20.0,N Khanna,Marsa Sports Club
t20s1530,Krefeld,,2021-07-09,female,T20,,20.0,JE Ronalds,Bayer Uerdingen Cricket Ground
t20s1531,Marsa,,2021-07-09,male,T20,,20.0,Sheraz Sheikh,Marsa Sports Club
t20s1532,Gros Islet,,2021-07-09,male,T20,,20.0,OC McCoy,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
t20s1533,Northampton,,2021-07-09,female,T20,,20.0,NR Sciver,"County Ground, Northampton"
t20s1534,Marsa,,2021-07-10,male,T20,,20.0,,Marsa Sports Club
t20s1535,Marsa,,2021-07-10,male,T20,,20.0,Bilal Muhammad,Marsa Sports Club
t20s1536,Gros Islet,,2021-07-10,male,T20,,20.0,SO Hetmyer,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
t20s1537,Brighton,,2021-07-11,female,T20,,20.0,DB Sharma,"County Ground, Hove"
t20s1538,Gros Islet,,2021-07-12,male,T20,,20.0,CH Gayle,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
