key,player_of_match
t20s0235,SJ Taylor
t20s0236,SJ Taylor
t20s0237,CH Gayle
t20s0238,SP Narine
t20s0239,Elias Sunny
t20s0242,IK Pathan
t20s0243,A Shrubsole
t20s0244,Mohammad Hafeez
t20s0245,DN Wyatt
t20s0246,Saeed Ajmal
t20s0247,LA Marsh
t20s0248,DW Steyn
t20s0249,DA Warner
t20s0250,SJ Taylor
t20s0252,BB McCullum
t20s0253,JC Buttler
t20s0254,A Brindle
t20s0255,LS Greenway
t20s0256,DJS Dottin
t20s0257,BAW Mendis
t20s0258,V Kohli
t20s0259,SR Watson
t20s0260,JH Kallis
t20s0261,LJ Wright
t20s0262,BB McCullum
t20s0263,SR Watson
t20s0264,AB de Villiers
t20s0265,Harbhajan Singh
t20s0266,Nasir Jamshed
t20s0268,Imran Nazir
t20s0269,DJS Dottin
t20s0270,T Chetty
t20s0271,EA Osborne
t20s0272,LA Marsh
t20s0273,J Charles
t20s0274,TM Dilshan
t20s0275,CR Seneviratna
t20s0276,SFM Devine
t20s0277,SR Watson
t20s0278,Umar Gul
t20s0279,CM Edwards
t20s0280,JE Cameron
t20s0281,DPMD Jayawardene
t20s0282,LJ Wright
t20s0283,SJ McGlashan
t20s0284,SR Taylor
t20s0285,V Kohli
t20s0286,SR Watson
t20s0287,SJ Taylor
t20s0288,Nida Dar
t20s0289,SL Malinga
t20s0290,SP Narine
t20s0291,Yuvraj Singh
t20s0292,Raza Hasan
t20s0293,E Bisht
t20s0294,CM Edwards
t20s0295,DPMD Jayawardene
t20s0296,EA Perry
t20s0297,CH Gayle
t20s0298,JE Cameron
t20s0299,MN Samuels
t20s0300,M Raj
t20s0301,Salma Khatun
t20s0302,Nida Dar
t20s0304,PG Raut
t20s0305,MN Samuels
t20s0306,Yuvraj Singh
t20s0307,RK Kleinveldt
t20s0308,EJG Morgan
t20s0309,MJ Guptill
t20s0310,Mohammad Hafeez
t20s0311,H Davids
t20s0312,Yuvraj Singh
t20s0313,DJS Dottin
t20s0314,SF Daley
t20s0315,DA Warner
t20s0316,NLTC Perera
t20s0319,KA Pollard
t20s0321,LMP Simmons
t20s0323,S Badree
t20s0324,Mohammad Shahzad
t20s0325,Mohammad Hafeez
t20s0326,Mohammad Shahzad
t20s0329,Junaid Siddiqui
t20s0330,CO Obuya
t20s0331,MDKJ Perera
t20s0334,H Masakadza
t20s0335,Shakib Al Hasan
t20s0336,HD Rutherford
t20s0338,Sana Mir
t20s0339,SJ Taylor
t20s0341,Shahid Afridi
t20s0342,Umar Akmal
t20s0343,Sadia Yousuf
t20s0345,JP Duminy
t20s0346,DA Miller
t20s0347,TM Dilshan
t20s0348,Ahmed Shehzad
t20s0349,Ahmed Shehzad
t20s0350,SJ Taylor
t20s0351,LS Greenway
t20s0352,AJ Finch
t20s0353,KH Brunt
t20s0354,AD Hales
t20s0355,M Kapp
t20s0356,M du Preez
t20s0357,Hamid Hassan
t20s0358,Yuvraj Singh
t20s0360,HML Madushani
t20s0361,HASD Siriwardene
t20s0362,S Loubser
t20s0363,C Munro
t20s0364,DW Steyn
t20s0365,PW Borren
t20s0366,F du Plessis
t20s0367,Dawlat Zadran
t20s0368,A Bagai
t20s0369,RG Aga
t20s0370,Q de Kock
t20s0371,MDKJ Perera
t20s0372,Mohammad Hafeez
t20s0373,RML Taylor
t20s0374,Mudassar Bukhari
t20s0375,Samiullah Shenwari
t20s0376,SO Tikolo
t20s0377,W Barresi
t20s0378,DT Johnston
t20s0379,Mohammad Hafeez
t20s0380,Shahid Afridi
t20s0381,MDKJ Perera
t20s0382,L Ronchi
t20s0383,L Ronchi
t20s0384,IMHC Joyce
t20s0385,Nain Abidi
t20s0386,L Lee
t20s0387,Javeria Khan
t20s0388,CL White
t20s0389,HL Ferling
t20s0390,JR Hazlewood
t20s0391,RM Farrell
t20s0392,GJ Bailey
t20s0393,MDKJ Perera
t20s0394,NLTC Perera
t20s0395,EC Joyce
t20s0396,DJG Sammy
t20s0397,MN Samuels
t20s0398,K Santokie
t20s0399,BJ Hodge
t20s0400,CJ Jordan
t20s0401,MA Starc
t20s0402,SP Gauchan
t20s0403,Shakib Al Hasan
t20s0404,TLW Cooper
t20s0405,PR Stirling
t20s0406,Al-Amin Hossain
t20s0407,Mohammad Shahzad
t20s0408,EC Joyce
t20s0409,BRM Taylor
t20s0410,Nadeem Ahmed
t20s0411,JK Mukhiya
t20s0412,A Mishra
t20s0413,SJ Myburgh
t20s0414,E Chigumbura
t20s0415,CJ Anderson
t20s0416,MDKJ Perera
t20s0417,NJ Browne
t20s0418,A Mishra
t20s0419,Umar Akmal
t20s0420,KDU Prabodhani
t20s0421,DJS Dottin
t20s0422,AD Mathews
t20s0423,JP Duminy
t20s0424,SW Bates
t20s0425,DR Smith
t20s0426,A Shrubsole
t20s0427,SL Quintyne
t20s0428,SW Bates
t20s0429,AD Hales
t20s0430,Imran Tahir
t20s0431,SF Daley
t20s0432,R Ashwin
t20s0433,DJG Sammy
t20s0434,EJ Villani
t20s0435,CL Tryon
t20s0436,AB de Villiers
t20s0437,BB McCullum
t20s0438,A Shrubsole
t20s0439,H Kaur
t20s0440,R Ashwin
t20s0441,Ahmed Shehzad
t20s0442,M du Preez
t20s0443,Bismah Maroof
t20s0444,HMRKB Herath
t20s0445,Mudassar Bukhari
t20s0446,PG Raut
t20s0447,Rumana Ahmed
t20s0448,DJ Bravo
t20s0449,AJ Finch
t20s0450,Soniya Dabir
t20s0451,RH Priest
t20s0452,Panna Ghosh
t20s0453,Bismah Maroof
t20s0454,EA Osborne
t20s0455,AD Mathews
t20s0456,A Shrubsole
t20s0457,V Kohli
t20s0458,SJ Coyte
t20s0459,KC Sangakkara
t20s0460,NLTC Perera
