key,player_of_match
ntb0249,DJ Bell-Drummond
ntb0250,RE Levi
ntb0251,T Kohler-Cadmore
ntb0252,SR Hain
ntb0253,HD Rutherford
ntb0254,T van der Gugten
ntb0255,BL D'Oliveira
ntb0256,BA Raine
ntb0257,P Mustard
ntb0258,RE Levi
ntb0259,DJ Malan
ntb0260,CD Nash
ntb0261,PD Collingwood
ntb0262,JD Ryder
ntb0263,J Leach
ntb0264,Shahid Afridi
ntb0265,BAC Howell
ntb0266,LS Livingstone
ntb0267,JJ Cobb
ntb0268,JJ Roy
ntb0269,JDS Neesham
ntb0270,AHT Donald
ntb0271,AJ Tye
ntb0272,L Gregory
ntb0273,V Chopra
ntb0274,MH Wessels
ntb0275,BA Raine
ntb0276,SW Billings
ntb0277,JG Myburgh
ntb0278,OB Cox
ntb0279,EJG Morgan
ntb0280,J Clark
ntb0281,LRPL Taylor
ntb0282,CA Ingram
ntb0283,M Klinger
ntb0284,M Klinger
ntb0285,ZS Ansari
ntb0286,DL Lloyd
ntb0287,JJ Cobb
ntb0288,IR Bell
ntb0289,AD Russell
ntb0290,L Ronchi
ntb0291,MTC Waller
ntb0292,Azeem Rafiq
ntb0293,DJ Malan
ntb0294,C Rushworth
ntb0295,SD Parry
ntb0296,DA Cosker
ntb0297,HF Gurney
ntb0298,BB McCullum
ntb0299,Ashar Zaidi
ntb0300,LJ Evans
ntb0301,JD Ryder
ntb0302,JJ Cobb
ntb0303,HJH Marshall
ntb0304,K Rabada
ntb0306,RJ Gleeson
ntb0307,DR Briggs
ntb0308,Azeem Rafiq
ntb0309,RS Bopara
ntb0310,DP Sibley
ntb0311,M Klinger
ntb0312,WL Madsen
ntb0313,IA Cockbain
ntb0314,DL Lloyd
ntb0315,SA Northeast
ntb0316,AJ Finch
ntb0317,Imran Tahir
ntb0318,JC Buttler
ntb0319,JL Denly
ntb0320,MA Wallace
ntb0321,Ashar Zaidi
ntb0322,ML Pettini
ntb0323,KS Williamson
ntb0324,MH Wessels
ntb0325,AU Rashid
ntb0326,SG Borthwick
ntb0327,M Klinger
ntb0328,JDS Neesham
ntb0329,LA Dawson
ntb0330,CMW Read
ntb0331,DJ Bell-Drummond
ntb0332,KK Jennings
ntb0333,JK Fuller
ntb0334,ML Pettini
ntb0335,BTJ Wheal
ntb0336,RA Whiteley
ntb0337,SR Hain
ntb0338,M Klinger
ntb0339,AM Rossington
ntb0340,A Lyth
ntb0341,Mustafizur Rahman
ntb0342,GJ Bailey
ntb0343,HD Rutherford
ntb0344,CH Morris
ntb0345,CA Ingram
ntb0346,GP Smith
ntb0347,DJ Willey
ntb0348,GJ Bailey
ntb0349,S Mahmood
ntb0350,T Westley
ntb0352,Ashar Zaidi
ntb0353,JA Leaning
ntb0354,TP Alsop
ntb0354,LA Dawson
ntb0355,JMR Taylor
