key,toss_winner,toss_decision,decision,winner
ntb0193,,,field,Yorkshire
ntb0194,,,bat,Warwickshire
ntb0195,,,bat,Gloucestershire
ntb0196,,,field,Glamorgan
ntb0197,,,field,Hampshire
ntb0198,,,bat,Derbyshire
ntb0199,,,bat,Northamptonshire
ntb0200,,,field,Somerset
ntb0201,,,bat,Gloucestershire
ntb0202,,,field,Sussex
ntb0203,,,field,Kent
ntb0204,,,bat,Middlesex
ntb0205,,,bat,Somerset
ntb0206,,,bat,Worcestershire
ntb0207,,,field,Yorkshire
ntb0208,,,bat,Glamorgan
ntb0209,,,field,Leicestershire
ntb0210,,,field,Derbyshire
ntb0211,,,bat,Warwickshire
ntb0212,,,field,Worcestershire
ntb0213,,,field,Derbyshire
ntb0214,,,bat,Durham
ntb0215,,,field,Warwickshire
ntb0216,,,bat,Glamorgan
ntb0217,,,bat,Nottinghamshire
ntb0218,,,bat,Essex
ntb0219,,,field,Leicestershire
ntb0220,,,field,Somerset
ntb0221,,,field,Surrey
ntb0222,,,field,Northamptonshire
ntb0223,,,field,Kent
ntb0224,,,field,Derbyshire
ntb0225,,,bat,Worcestershire
ntb0226,,,field,Gloucestershire
ntb0227,,,bat,Lancashire
ntb0228,,,field,Sussex
ntb0229,,,bat,Surrey
ntb0230,,,field,Northamptonshire
ntb0231,,,bat,Glamorgan
ntb0232,,,bat,Middlesex
ntb0233,,,field,Durham
ntb0234,,,bat,Derbyshire
ntb0235,,,field,Warwickshire
ntb0236,,,field,Northamptonshire
ntb0237,,,bat,Middlesex
ntb0238,,,bat,Hampshire
ntb0239,,,bat,Warwickshire
ntb0240,,,field,Gloucestershire
ntb0241,,,field,Northamptonshire
ntb0242,,,field,Worcestershire
ntb0243,,,field,Lancashire
ntb0244,,,field,Northamptonshire
ntb0245,,,bat,Hampshire
ntb0246,,,field,Northamptonshire
ntb0247,,,field,Gloucestershire
ntb0248,,,field,Essex
ntb0249,,,bat,Somerset
ntb0250,,,field,Northamptonshire
ntb0251,,,field,Durham
ntb0252,,,field,Warwickshire
ntb0253,,,field,Derbyshire
ntb0254,,,bat,Surrey
ntb0255,,,field,Worcestershire
ntb0256,,,field,Yorkshire
ntb0257,,,field,Durham
ntb0258,,,field,Northamptonshire
ntb0259,,,field,Hampshire
ntb0260,,,field,Somerset
ntb0261,,,field,Nottinghamshire
ntb0262,,,field,Essex
ntb0263,,,bat,Yorkshire
ntb0264,,,field,Kent
ntb0265,,,bat,Middlesex
ntb0266,,,field,Yorkshire
ntb0267,,,bat,Worcestershire
ntb0268,,,bat,Surrey
ntb0269,,,field,Derbyshire
ntb0270,,,field,Glamorgan
ntb0271,,,field,Gloucestershire
ntb0272,,,field,Somerset
ntb0273,,,field,Warwickshire
ntb0274,,,field,Nottinghamshire
ntb0275,,,field,Leicestershire
ntb0276,,,field,Hampshire
ntb0277,,,bat,Surrey
ntb0278,,,field,Worcestershire
ntb0279,,,bat,Middlesex
ntb0280,,,field,Lancashire
ntb0281,,,field,Sussex
ntb0282,,,field,Glamorgan
ntb0283,,,field,Gloucestershire
ntb0284,,,field,Gloucestershire
ntb0285,,,field,Middlesex
ntb0286,,,field,Kent
ntb0287,,,field,Durham
ntb0288,,,field,Warwickshire
ntb0289,,,field,Nottinghamshire
ntb0290,,,field,Lancashire
ntb0291,,,field,Somerset
ntb0292,,,field,Yorkshire
ntb0293,,,field,Somerset
ntb0294,,,field,Durham
ntb0295,,,field,Worcestershire
ntb0296,,,bat,Surrey
ntb0297,,,field,Nottinghamshire
ntb0298,,,bat,Middlesex
ntb0299,,,bat,Hampshire
ntb0300,,,field,Warwickshire
ntb0301,,,field,Essex
ntb0302,,,field,Northamptonshire
ntb0303,,,field,Sussex
ntb0304,,,bat,Kent
ntb0305,,,field,Durham
ntb0306,,,field,Northamptonshire
