key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
ntb0130,,runs,41.0,,,D/L,,Durham
ntb0131,,runs,44.0,,,,,Surrey
ntb0132,,runs,6.0,,,,,Sussex
ntb0133,,wickets,6.0,,,,,Yorkshire
ntb0134,,wickets,7.0,,,,,Leicestershire
ntb0135,,runs,16.0,,,,,Durham
ntb0136,,wickets,5.0,,,,,Kent
ntb0137,,wickets,5.0,,,,,Essex
ntb0138,,runs,18.0,,,,,Warwickshire
ntb0139,,runs,34.0,,,,,Gloucestershire
ntb0140,,runs,115.0,,,,,Middlesex
ntb0141,,wickets,8.0,,,,,Leicestershire
ntb0142,,wickets,6.0,,,,,Worcestershire
ntb0143,,runs,42.0,,,,,Middlesex
ntb0144,,wickets,5.0,,,,,Warwickshire
ntb0145,,runs,23.0,,,,,Kent
ntb0146,,runs,21.0,,,,,Hampshire
ntb0147,,wickets,3.0,,,,,Somerset
ntb0148,,runs,6.0,,,,,Durham
ntb0149,,wickets,5.0,,,,,Derbyshire
ntb0150,,runs,3.0,,,,,Kent
ntb0151,,runs,15.0,,,,,Nottinghamshire
ntb0152,,runs,19.0,,,,,Hampshire
ntb0153,,wickets,4.0,,,,,Lancashire
ntb0154,,wickets,6.0,,,,,Essex
ntb0155,,wickets,8.0,,,,,Somerset
ntb0156,,wickets,6.0,,,,,Leicestershire
ntb0157,,runs,14.0,,,,,Worcestershire
ntb0158,,wickets,9.0,,,,,Gloucestershire
ntb0159,,runs,4.0,,,,,Glamorgan
ntb0160,,runs,5.0,,,,,Durham
ntb0161,,wickets,7.0,,,,,Warwickshire
ntb0162,,runs,11.0,,,,,Nottinghamshire
ntb0163,,wickets,6.0,,,,,Northamptonshire
ntb0164,,runs,18.0,,,,,Essex
ntb0165,,wickets,7.0,,,,,Essex
ntb0166,,,,,,,no result,
ntb0167,,runs,67.0,,,,,Lancashire
ntb0168,,wickets,6.0,,,,,Hampshire
ntb0169,,runs,19.0,,,,,Glamorgan
ntb0170,,runs,3.0,,,,,Worcestershire
ntb0171,,wickets,7.0,,,D/L,,Warwickshire
ntb0172,,runs,2.0,,,D/L,,Glamorgan
ntb0173,,wickets,8.0,,,D/L,,Northamptonshire
ntb0174,,,,,,,no result,
ntb0175,,runs,43.0,,,,,Gloucestershire
ntb0176,,runs,21.0,,,,,Hampshire
ntb0177,,wickets,2.0,,,,,Worcestershire
