key,player_of_match
bpl0218,SP Narine
bpl0219,Rubel Hossain
bpl0220,Tamim Iqbal
bpl0221,MD Shanaka
bpl0222,Imrul Kayes
bpl0223,RR Rossouw
bpl0224,RS Bopara
bpl0225,NLTC Perera
bpl0226,Alok Kapali
bpl0227,Anamul Haque
bpl0228,Mohammad Naim
bpl0229,Mehedi Hasan Rana
bpl0230,Mushfiqur Rahim
bpl0231,Mehedi Hasan Rana
bpl0232,DJ Malan
bpl0233,CAK Walton
bpl0234,Shafiul Islam
bpl0235,L Gregory
bpl0236,ADS Fletcher
bpl0237,AD Russell
bpl0238,Mahedi Hasan
bpl0239,DJ Malan
bpl0239,Afif Hossain
bpl0240,Mahedi Hasan
bpl0241,Shohidul Islam
bpl0242,Imrul Kayes
bpl0243,Mehedi Hasan Miraz
bpl0244,Shoaib Malik
bpl0245,Wahab Riaz
bpl0246,Mustafizur Rahman
bpl0247,L Gregory
bpl0248,DJ Malan
bpl0249,Mujeeb Ur Rahman
bpl0250,RS Bopara
bpl0251,SR Watson
bpl0252,Hasan Mahmud
bpl0253,Afif Hossain
bpl0254,Mehedi Hasan Rana
bpl0255,Imrul Kayes
bpl0256,DJ Malan
bpl0257,Shadab Khan
bpl0258,R Frylinck
bpl0259,Mushfiqur Rahim
bpl0260,L Gregory
bpl0261,Nazmul Hossain Shanto
bpl0262,Liton Das
bpl0263,Mohammad Amir
bpl0264,RR Emrit
bpl0265,AD Russell
bpl0266,AD Russell
bpl0267,Rony Talukdar
bpl0268,Mehedi Hasan Miraz
bpl0269,Nasum Ahmed
bpl0270,Nahidul Islam
bpl0271,BAC Howell
bpl0272,Mahmudullah
bpl0273,Nahidul Islam
bpl0274,Nazmul Islam
bpl0275,Tamim Iqbal
bpl0276,ADS Fletcher
bpl0277,Mrittunjoy Chowdhury
bpl0278,Mehedi Hasan Rana
bpl0279,Shakib Al Hasan
bpl0280,F du Plessis
bpl0281,Shakib Al Hasan
bpl0282,Mahmudullah
bpl0283,Mustafizur Rahman
bpl0284,ADS Fletcher
bpl0285,Soumya Sarkar
bpl0286,Shakib Al Hasan
bpl0287,Shakib Al Hasan
bpl0288,Shamim Hossain
bpl0289,Mahmudul Hasan Joy
bpl0290,Arafat Sunny
bpl0291,Shakib Al Hasan
bpl0292,MM Ali
bpl0293,ADS Fletcher
bpl0294,WG Jacks
bpl0295,Mehedi Hasan Rana
bpl0296,CAK Walton
bpl0297,SP Narine
bpl0298,SP Narine
bpl0299,Rony Talukdar
bpl0300,Rejaur Rahman
bpl0301,Towhid Hridoy
bpl0302,Nasir Hossain
bpl0303,Usman Khan (2)
bpl0304,Towhid Hridoy
bpl0305,Towhid Hridoy
bpl0306,Mehedi Hasan Miraz
bpl0307,Robiul Haque
bpl0308,Iftikhar Ahmed
bpl0309,Afif Hossain
bpl0310,Shakib Al Hasan
bpl0311,Liton Das
bpl0312,Imad Wasim
bpl0313,Liton Das
bpl0314,Wahab Riaz
bpl0315,Iftikhar Ahmed
bpl0316,Khushdil Shah
bpl0317,Iftikhar Ahmed
bpl0318,Mahmudul Hasan Joy
bpl0319,Khushdil Shah
bpl0320,Shoaib Malik
bpl0321,Taskin Ahmed
bpl0322,Nazmul Hossain Shanto
bpl0323,Anamul Haque
bpl0324,Azmatullah Omarzai
bpl0325,Nazmul Hossain Shanto
bpl0326,Mohammad Rizwan
