key,team
bpl0102,Comilla Victorians
bpl0102,Rangpur Riders
bpl0103,Chittagong Vikings
bpl0103,Rajshahi Kings
bpl0104,Comilla Victorians
bpl0104,Rajshahi Kings
bpl0105,Khulna Titans
bpl0105,Dhaka Dynamites
bpl0106,Khulna Titans
bpl0106,Barisal Bulls
bpl0107,Comilla Victorians
bpl0107,Chittagong Vikings
bpl0108,Dhaka Dynamites
bpl0108,Rajshahi Kings
bpl0109,Chittagong Vikings
bpl0109,Barisal Bulls
bpl0110,Khulna Titans
bpl0110,Rangpur Riders
bpl0111,Barisal Bulls
bpl0111,Khulna Titans
bpl0112,Rajshahi Kings
bpl0112,Rangpur Riders
bpl0113,Rajshahi Kings
bpl0113,Khulna Titans
bpl0114,Dhaka Dynamites
bpl0114,Comilla Victorians
bpl0115,Rangpur Riders
bpl0115,Chittagong Vikings
bpl0116,Barisal Bulls
bpl0116,Dhaka Dynamites
bpl0117,Rajshahi Kings
bpl0117,Rangpur Riders
bpl0118,Khulna Titans
bpl0118,Chittagong Vikings
bpl0119,Barisal Bulls
bpl0119,Comilla Victorians
bpl0120,Dhaka Dynamites
bpl0120,Rangpur Riders
bpl0121,Rajshahi Kings
bpl0121,Comilla Victorians
bpl0122,Barisal Bulls
bpl0122,Rajshahi Kings
bpl0123,Chittagong Vikings
bpl0123,Dhaka Dynamites
bpl0124,Chittagong Vikings
bpl0124,Rajshahi Kings
bpl0125,Rangpur Riders
bpl0125,Barisal Bulls
bpl0126,Dhaka Dynamites
bpl0126,Khulna Titans
bpl0127,Comilla Victorians
bpl0127,Rangpur Riders
bpl0128,Dhaka Dynamites
bpl0128,Khulna Titans
bpl0129,Chittagong Vikings
bpl0129,Rajshahi Kings
bpl0130,Khulna Titans
bpl0130,Rajshahi Kings
bpl0131,Dhaka Dynamites
bpl0131,Rajshahi Kings
bpl0132,Rajshahi Kings
bpl0132,Rangpur Riders
bpl0133,Dhaka Dynamites
bpl0133,Sylhet Sixers
bpl0134,Dhaka Dynamites
bpl0134,Khulna Titans
bpl0135,Comilla Victorians
bpl0135,Sylhet Sixers
bpl0136,Sylhet Sixers
bpl0136,Rajshahi Kings
bpl0137,Chittagong Vikings
bpl0137,Comilla Victorians
bpl0138,Sylhet Sixers
bpl0138,Khulna Titans
bpl0139,Chittagong Vikings
bpl0139,Rangpur Riders
bpl0140,Sylhet Sixers
bpl0140,Dhaka Dynamites
bpl0141,Rangpur Riders
bpl0141,Rajshahi Kings
bpl0142,Rajshahi Kings
bpl0142,Comilla Victorians
bpl0143,Khulna Titans
bpl0143,Chittagong Vikings
bpl0144,Chittagong Vikings
bpl0144,Comilla Victorians
bpl0145,Khulna Titans
bpl0145,Dhaka Dynamites
bpl0146,Chittagong Vikings
bpl0146,Khulna Titans
bpl0147,Sylhet Sixers
bpl0147,Rajshahi Kings
bpl0148,Comilla Victorians
bpl0148,Rangpur Riders
bpl0149,Dhaka Dynamites
bpl0149,Rajshahi Kings
bpl0150,Rangpur Riders
bpl0150,Sylhet Sixers
bpl0151,Dhaka Dynamites
bpl0151,Comilla Victorians
bpl0152,Rangpur Riders
bpl0152,Dhaka Dynamites
bpl0153,Rajshahi Kings
bpl0153,Khulna Titans
bpl0154,Chittagong Vikings
bpl0154,Sylhet Sixers
bpl0155,Khulna Titans
bpl0155,Rangpur Riders
bpl0156,Chittagong Vikings
bpl0156,Rangpur Riders
bpl0157,Rajshahi Kings
bpl0157,Comilla Victorians
bpl0158,Khulna Titans
bpl0158,Rajshahi Kings
bpl0159,Chittagong Vikings
bpl0159,Dhaka Dynamites
bpl0160,Khulna Titans
bpl0160,Comilla Victorians
bpl0161,Sylhet Sixers
