key,toss_winner,toss_decision,decision,winner
bpl0159,,,bat,Chittagong Vikings
bpl0160,,,bat,Khulna Titans
bpl0161,,,field,Rangpur Riders
bpl0162,,,field,Dhaka Dynamites
bpl0163,,,bat,Rajshahi Kings
bpl0164,,,bat,Dhaka Dynamites
bpl0165,,,field,Comilla Victorians
bpl0166,,,field,Khulna Titans
bpl0167,,,field,Sylhet Sixers
bpl0168,,,field,Rajshahi Kings
bpl0169,,,bat,Khulna Titans
bpl0170,,,field,Sylhet Sixers
bpl0171,,,bat,Dhaka Dynamites
bpl0172,,,bat,Dhaka Dynamites
bpl0173,,,field,Rangpur Riders
bpl0174,,,field,Comilla Victorians
bpl0175,,,field,Dhaka Dynamites
bpl0176,,,field,Rajshahi Kings
bpl0177,,,field,Chittagong Vikings
bpl0178,,,field,Khulna Titans
bpl0179,,,field,Comilla Victorians
bpl0180,,,field,Rangpur Riders
bpl0181,,,field,Khulna Titans
bpl0182,,,bat,Khulna Titans
bpl0183,,,bat,Sylhet Sixers
bpl0184,,,field,Comilla Victorians
bpl0185,,,field,Rangpur Riders
bpl0186,,,bat,Dhaka Dynamites
bpl0187,,,field,Chittagong Vikings
bpl0188,,,field,Chittagong Vikings
bpl0189,,,field,Comilla Victorians
bpl0190,,,bat,Khulna Titans
bpl0191,,,field,Rangpur Riders
bpl0192,,,bat,Rajshahi Kings
bpl0193,,,field,Comilla Victorians
bpl0194,,,bat,Sylhet Sixers
bpl0195,,,field,Khulna Titans
bpl0196,,,field,Rangpur Riders
bpl0197,,,bat,Dhaka Dynamites
bpl0198,,,field,Comilla Victorians
bpl0199,,,field,Dhaka Dynamites
bpl0200,,,field,Rangpur Riders
bpl0201,,,field,Sylhet Sixers
bpl0202,,,field,Chittagong Vikings
bpl0203,,,field,Chittagong Vikings
bpl0204,,,field,Rajshahi Kings
bpl0205,,,field,Chittagong Vikings
bpl0206,,,bat,Sylhet Sixers
bpl0207,,,bat,Dhaka Dynamites
bpl0208,,,field,Khulna Titans
bpl0209,,,bat,Rajshahi Kings
bpl0210,,,bat,Chittagong Vikings
bpl0211,,,bat,Sylhet Sixers
bpl0212,,,bat,Chittagong Vikings
bpl0213,,,field,Chittagong Vikings
bpl0214,,,field,Dhaka Dynamites
bpl0215,,,bat,Khulna Titans
bpl0216,,,bat,Comilla Victorians
bpl0217,,,bat,Rangpur Riders
bpl0218,,,bat,Chittagong Vikings
bpl0219,,,field,Dhaka Dynamites
bpl0220,,,field,Dhaka Dynamites
bpl0221,,,bat,Cumilla Warriors
bpl0222,,,field,Chattogram Challengers
bpl0223,,,field,Khulna Tigers
bpl0224,,,field,Rajshahi Royals
bpl0225,,,field,Cumilla Warriors
bpl0226,,,field,Rajshahi Royals
bpl0227,,,field,Sylhet Thunder
bpl0228,,,field,Chattogram Challengers
bpl0229,,,field,Chattogram Challengers
bpl0230,,,field,Khulna Tigers
bpl0231,,,field,Dhaka Platoon
bpl0232,,,bat,Rangpur Rangers
bpl0233,,,field,Cumilla Warriors
bpl0234,,,field,Khulna Tigers
bpl0235,,,field,Rangpur Rangers
bpl0236,,,field,Khulna Tigers
bpl0237,,,field,Rajshahi Royals
bpl0238,,,field,Dhaka Platoon
bpl0239,,,field,Rajshahi Royals
bpl0240,,,bat,Sylhet Thunder
bpl0241,,,field,Rangpur Rangers
bpl0242,,,field,Chattogram Challengers
bpl0243,,,field,Khulna Tigers
bpl0244,,,field,Cumilla Warriors
bpl0245,,,field,Rajshahi Royals
bpl0246,,,field,Rangpur Rangers
bpl0247,,,field,Rajshahi Royals
bpl0248,,,field,Cumilla Warriors
bpl0249,,,field,Sylhet Thunder
bpl0250,,,field,Rangpur Rangers
bpl0251,,,field,Sylhet Thunder
bpl0252,,,field,Khulna Tigers
bpl0253,,,bat,Sylhet Thunder
bpl0254,,,field,Chattogram Challengers
bpl0255,,,field,Chattogram Challengers
bpl0256,,,field,Cumilla Warriors
bpl0257,,,field,Rangpur Rangers
bpl0258,,,field,Cumilla Warriors
bpl0259,,,field,Cumilla Warriors
bpl0260,,,field,Dhaka Platoon
bpl0261,,,field,Khulna Tigers
bpl0262,,,field,Rajshahi Royals
bpl0263,,,field,Rajshahi Royals
bpl0264,,,field,Chattogram Challengers
bpl0265,,,field,Rajshahi Royals
bpl0266,,,field,Khulna Tigers
bpl0267,,,field,Khulna Tigers
bpl0268,,,field,Fortune Barishal
bpl0269,,,field,Minister Group Dhaka
bpl0270,,,field,Comilla Victorians
bpl0271,,,field,Khulna Tigers
bpl0272,,,field,Minister Group Dhaka
bpl0273,,,field,Fortune Barishal
bpl0274,,,field,Sylhet Sunrisers
bpl0275,,,field,Minister Group Dhaka
bpl0276,,,field,Khulna Tigers
bpl0277,,,field,Sylhet Sunrisers
bpl0278,,,field,Khulna Tigers
bpl0279,,,bat,Fortune Barishal
bpl0280,,,field,Chattogram Challengers
bpl0281,,,bat,Fortune Barishal
bpl0282,,,field,Comilla Victorians
bpl0283,,,field,Comilla Victorians
bpl0284,,,field,Khulna Tigers
bpl0285,,,field,Sylhet Sunrisers
bpl0286,,,field,Comilla Victorians
bpl0287,,,field,Sylhet Sunrisers
bpl0288,,,field,Minister Group Dhaka
bpl0289,,,field,Comilla Victorians
bpl0290,,,bat,Khulna Tigers
bpl0291,,,bat,Minister Group Dhaka
bpl0292,,,field,Khulna Tigers
bpl0293,,,bat,Comilla Victorians
bpl0294,,,field,Chattogram Challengers
bpl0295,,,field,Comilla Victorians
bpl0296,,,field,Khulna Tigers
bpl0297,,,bat,Chattogram Challengers
bpl0298,,,bat,Comilla Victorians
bpl0299,,,field,Comilla Victorians
bpl0300,,,field,Sylhet Strikers
bpl0301,,,bat,Fortune Barishal
bpl0302,,,field,Dhaka Dominators
bpl0303,,,field,Chattogram Challengers
bpl0304,,,field,Sylhet Strikers
bpl0305,,,field,Dhaka Dominators
bpl0306,,,field,Fortune Barishal
bpl0307,,,field,Rangpur Riders
bpl0308,,,field,Chattogram Challengers
bpl0309,,,bat,Dhaka Dominators
bpl0310,,,field,Comilla Victorians
bpl0311,,,bat,Chattogram Challengers
bpl0312,,,bat,Dhaka Dominators
bpl0313,,,field,Comilla Victorians
bpl0314,,,field,Khulna Tigers
bpl0315,,,field,Rangpur Riders
bpl0316,,,field,Dhaka Dominators
bpl0317,,,field,Dhaka Dominators
bpl0318,,,field,Khulna Tigers
bpl0319,,,field,Dhaka Dominators
bpl0320,,,field,Chattogram Challengers
bpl0321,,,field,Khulna Tigers
bpl0322,,,field,Fortune Barishal
bpl0323,,,field,Fortune Barishal
bpl0324,,,field,Rangpur Riders
bpl0325,,,bat,Chattogram Challengers
bpl0326,,,field,Khulna Tigers
bpl0327,,,field,Khulna Tigers
bpl0328,,,field,Rangpur Riders
bpl0329,,,field,Comilla Victorians
bpl0330,,,bat,Fortune Barishal
bpl0331,,,field,Rangpur Riders
bpl0332,,,field,Khulna Tigers
bpl0333,,,field,Rangpur Riders
bpl0334,,,bat,Chattogram Challengers
bpl0335,,,field,Comilla Victorians
bpl0336,,,bat,Chattogram Challengers
bpl0337,,,bat,Chattogram Challengers
bpl0338,,,bat,Khulna Tigers
bpl0339,,,bat,Fortune Barishal
bpl0340,,,field,Rangpur Riders
bpl0341,,,field,Comilla Victorians
bpl0342,,,field,Rangpur Riders
bpl0343,,,field,Rangpur Riders
bpl0344,,,field,Comilla Victorians
bpl0345,,,field,Chattogram Challengers
bpl0346,,,field,Durdanto Dhaka
bpl0347,,,field,Khulna Tigers
bpl0348,,,field,Fortune Barishal
bpl0349,,,field,Khulna Tigers
bpl0350,,,field,Chattogram Challengers
bpl0351,,,field,Comilla Victorians
bpl0352,,,field,Sylhet Strikers
bpl0353,,,field,Rangpur Riders
bpl0354,,,field,Durdanto Dhaka
bpl0355,,,field,Fortune Barishal
bpl0356,,,bat,Durdanto Dhaka
bpl0357,,,bat,Sylhet Strikers
bpl0358,,,field,Sylhet Strikers
bpl0359,,,bat,Rangpur Riders
bpl0360,,,field,Comilla Victorians
bpl0361,,,field,Durdanto Dhaka
bpl0362,,,field,Sylhet Strikers
bpl0363,,,field,Fortune Barishal
bpl0364,,,field,Fortune Barishal
bpl0365,,,field,Durdanto Dhaka
bpl0366,,,field,Sylhet Strikers
bpl0367,,,bat,Comilla Victorians
bpl0368,,,bat,Durdanto Dhaka
bpl0369,,,bat,Khulna Tigers
bpl0370,,,bat,Fortune Barishal
bpl0371,,,bat,Rangpur Riders
bpl0372,,,bat,Rangpur Riders
bpl0373,,,field,Chattogram Challengers
bpl0374,,,bat,Khulna Tigers
bpl0375,,,bat,Fortune Barishal
bpl0376,,,bat,Rangpur Riders
bpl0377,,,bat,Durdanto Dhaka
bpl0378,,,bat,Chattogram Challengers
bpl0379,,,bat,Fortune Barishal
bpl0380,,,bat,Fortune Barishal
bpl0381,,,bat,Sylhet Strikers
bpl0382,,,field,Comilla Victorians
bpl0383,,,bat,Chattogram Challengers
