key,city,competition,date,gender,match_type,neutral_venue,overs,player_of_match,venue
bpl0041,Dhaka,Bangladesh Premier League,2013-02-07,male,T20,,20,RN ten Doeschate,"Shere Bangla National Stadium, Mirpur"
bpl0042,Dhaka,Bangladesh Premier League,2013-02-08,male,T20,,20,Shahriar Nafees,"Shere Bangla National Stadium, Mirpur"
bpl0043,Dhaka,Bangladesh Premier League,2013-02-09,male,T20,,20,Shakib Al Hasan,"Shere Bangla National Stadium, Mirpur"
bpl0044,Dhaka,Bangladesh Premier League,2013-02-09,male,T20,,20,DP Hyatt,"Shere Bangla National Stadium, Mirpur"
bpl0045,Dhaka,Bangladesh Premier League,2013-02-11,male,T20,,20,KJ O'Brien,"Shere Bangla National Stadium, Mirpur"
bpl0046,Dhaka,Bangladesh Premier League,2013-02-11,male,T20,,20,Mohammad Ashraful,"Shere Bangla National Stadium, Mirpur"
bpl0047,Dhaka,Bangladesh Premier League,2013-02-12,male,T20,,20,BJ Hodge,"Shere Bangla National Stadium, Mirpur"
bpl0048,Dhaka,Bangladesh Premier League,2013-02-12,male,T20,,20,PR Stirling,"Shere Bangla National Stadium, Mirpur"
bpl0049,Dhaka,Bangladesh Premier League,2013-02-13,male,T20,,20,PR Stirling,"Shere Bangla National Stadium, Mirpur"
bpl0050,Dhaka,Bangladesh Premier League,2013-02-13,male,T20,,20,JJ Roy,"Shere Bangla National Stadium, Mirpur"
bpl0051,Dhaka,Bangladesh Premier League,2013-02-14,male,T20,,20,Shakib Al Hasan,"Shere Bangla National Stadium, Mirpur"
bpl0052,Dhaka,Bangladesh Premier League,2013-02-14,male,T20,,20,Hamid Hassan,"Shere Bangla National Stadium, Mirpur"
bpl0053,Dhaka,Bangladesh Premier League,2013-02-15,male,T20,,20,CH Gayle,"Shere Bangla National Stadium, Mirpur"
bpl0054,Dhaka,Bangladesh Premier League,2013-02-18,male,T20,,20,RN ten Doeschate,"Shere Bangla National Stadium, Mirpur"
bpl0055,Dhaka,Bangladesh Premier League,2013-02-19,male,T20,,20,Mosharraf Hossain,"Shere Bangla National Stadium, Mirpur"
bpl0056,Dhaka,Bangladesh Premier League,2015-11-22,male,T20,,20,Abul Hasan,"Shere Bangla National Stadium, Mirpur"
bpl0057,Dhaka,Bangladesh Premier League,2015-11-23,male,T20,,20,KK Cooper,"Shere Bangla National Stadium, Mirpur"
bpl0058,Dhaka,Bangladesh Premier League,2015-11-24,male,T20,,20,Al-Amin Hossain,"Shere Bangla National Stadium, Mirpur"
bpl0059,Dhaka,Bangladesh Premier League,2015-11-24,male,T20,,20,Mashrafe Mortaza,"Shere Bangla National Stadium, Mirpur"
bpl0060,Dhaka,Bangladesh Premier League,2015-11-25,male,T20,,20,KMDN Kulasekara,"Shere Bangla National Stadium, Mirpur"
bpl0061,Dhaka,Bangladesh Premier League,2015-11-25,male,T20,,20,Shakib Al Hasan,"Shere Bangla National Stadium, Mirpur"
bpl0062,Dhaka,Bangladesh Premier League,2015-11-26,male,T20,,20,Shadman Islam,"Shere Bangla National Stadium, Mirpur"
bpl0063,Dhaka,Bangladesh Premier League,2015-11-26,male,T20,,20,Shakib Al Hasan,"Shere Bangla National Stadium, Mirpur"
bpl0064,Dhaka,Bangladesh Premier League,2015-11-27,male,T20,,20,KC Sangakkara,"Shere Bangla National Stadium, Mirpur"
bpl0065,Dhaka,Bangladesh Premier League,2015-11-27,male,T20,,20,MN Samuels,"Shere Bangla National Stadium, Mirpur"
