key,date
bpl0245,2019-12-30
bpl0246,2019-12-30
bpl0247,2019-12-31
bpl0248,2019-12-31
bpl0249,2020-01-02
bpl0250,2020-01-02
bpl0251,2020-01-03
bpl0252,2020-01-03
bpl0253,2020-01-04
bpl0254,2020-01-04
bpl0255,2020-01-07
bpl0256,2020-01-07
bpl0257,2020-01-08
bpl0258,2020-01-08
bpl0259,2020-01-10
bpl0260,2020-01-10
bpl0261,2020-01-11
bpl0262,2020-01-11
bpl0263,2020-01-13
bpl0264,2020-01-13
bpl0265,2020-01-15
bpl0266,2020-01-17
bpl0267,2022-01-21
bpl0268,2022-01-21
bpl0269,2022-01-22
bpl0270,2022-01-22
bpl0271,2022-01-24
bpl0272,2022-01-24
bpl0273,2022-01-25
bpl0274,2022-01-25
bpl0275,2022-01-28
bpl0276,2022-01-28
bpl0277,2022-01-29
bpl0278,2022-01-29
bpl0279,2022-01-31
bpl0280,2022-01-31
bpl0281,2022-02-01
bpl0282,2022-02-01
bpl0283,2022-02-03
bpl0284,2022-02-03
bpl0285,2022-02-07
bpl0286,2022-02-07
bpl0287,2022-02-08
bpl0288,2022-02-08
bpl0289,2022-02-09
bpl0290,2022-02-09
bpl0291,2022-02-11
bpl0292,2022-02-11
bpl0293,2022-02-12
bpl0294,2022-02-12
bpl0295,2022-02-14
bpl0296,2022-02-14
bpl0297,2022-02-16
bpl0298,2022-02-18
bpl0299,2023-01-06
bpl0300,2023-01-06
bpl0301,2023-01-07
bpl0302,2023-01-07
bpl0303,2023-01-09
bpl0304,2023-01-09
bpl0305,2023-01-10
bpl0306,2023-01-10
bpl0307,2023-01-13
bpl0308,2023-01-13
bpl0309,2023-01-14
bpl0310,2023-01-14
bpl0311,2023-01-16
bpl0312,2023-01-16
bpl0313,2023-01-17
bpl0314,2023-01-17
bpl0315,2023-01-19
bpl0316,2023-01-19
bpl0317,2023-01-20
bpl0318,2023-01-20
bpl0319,2023-01-23
bpl0320,2023-01-23
bpl0321,2023-01-24
bpl0322,2023-01-24
bpl0323,2023-01-27
bpl0324,2023-01-27
bpl0325,2023-01-28
bpl0326,2023-01-28
