team_1,team_2,key
New Zealand,Pakistan,t20s00174
South Africa,India,t20s00175
Australia,England,t20s00176
Australia,England,t20s00177
West Indies,Pakistan,t20s00178
West Indies,India,t20s00179
England,Sri Lanka,t20s00180
England,India,t20s00181
Sri Lanka,Australia,t20s00182
Sri Lanka,Australia,t20s00183
England,India,t20s00184
Zimbabwe,Pakistan,t20s00185
Zimbabwe,Pakistan,t20s00186
England,West Indies,t20s00187
England,West Indies,t20s00188
Bangladesh,West Indies,t20s00189
South Africa,Australia,t20s00190
Zimbabwe,New Zealand,t20s00191
South Africa,Australia,t20s00192
Zimbabwe,New Zealand,t20s00193
South Africa,England,t20s00194
India,England,t20s00195
Pakistan,Sri Lanka,t20s00196
Bangladesh,Pakistan,t20s00197
Australia,India,t20s00198
Australia,India,t20s00199
New Zealand,Zimbabwe,t20s00200
New Zealand,Zimbabwe,t20s00201
New Zealand,England,t20s00202
New Zealand,South Africa,t20s00203
New Zealand,England,t20s00204
New Zealand,South Africa,t20s00205
New Zealand,England,t20s00206
New Zealand,South Africa,t20s00207
Kenya,Ireland,t20s00208
Kenya,Ireland,t20s00209
England,Pakistan,t20s00210
Kenya,Ireland,t20s00211
England,Pakistan,t20s00212
England,Pakistan,t20s00213
Canada,Netherlands,t20s00214
Ireland,Kenya,t20s00215
Ireland,Scotland,t20s00216
Canada,Ireland,t20s00217
Ireland,Netherlands,t20s00218
Canada,Scotland,t20s00219
West Indies,Australia,t20s00220
West Indies,Australia,t20s00221
South Africa,India,t20s00222
Sri Lanka,Pakistan,t20s00223
Sri Lanka,Pakistan,t20s00224
England,West Indies,t20s00225
England,India,t20s00226
England,India,t20s00227
New Zealand,West Indies,t20s00228
New Zealand,West Indies,t20s00229
Ireland,Bangladesh,t20s00230
Netherlands,Bangladesh,t20s00231
Netherlands,Bangladesh,t20s00232
Sri Lanka,India,t20s00233
England,Pakistan,t20s00234
England,Pakistan,t20s00235
Australia,Pakistan,t20s00236
Australia,Pakistan,t20s00237
England,South Africa,t20s00238
England,West Indies,t20s00239
England,West Indies,t20s00240
England,South Africa,t20s00241
Australia,Pakistan,t20s00242
India,New Zealand,t20s00243
England,South Africa,t20s00244
England,West Indies,t20s00245
England,West Indies,t20s00246
England,West Indies,t20s00247
Sri Lanka,Zimbabwe,t20s00248
Australia,Ireland,t20s00249
South Africa,Zimbabwe,t20s00250
Bangladesh,New Zealand,t20s00251
Australia,West Indies,t20s00252
Sri Lanka,South Africa,t20s00253
New Zealand,Pakistan,t20s00254
England,India,t20s00255
Ireland,West Indies,t20s00256
Bangladesh,Pakistan,t20s00257
Sri Lanka,South Africa,t20s00258
New Zealand,West Indies,t20s00259
England,West Indies,t20s00260
England,Pakistan,t20s00261
Australia,India,t20s00262
Sri Lanka,New Zealand,t20s00263
New Zealand,South Africa,t20s00264
Sri Lanka,West Indies,t20s00265
Pakistan,South Africa,t20s00266
Australia,India,t20s00267
Australia,Pakistan,t20s00268
England,India,t20s00269
England,New Zealand,t20s00270
Sri Lanka,West Indies,t20s00271
Australia,South Africa,t20s00272
India,Pakistan,t20s00273
South Africa,West Indies,t20s00274
Sri Lanka,New Zealand,t20s00275
India,Pakistan,t20s00276
Australia,England,t20s00277
New Zealand,West Indies,t20s00278
Sri Lanka,England,t20s00279
Australia,Pakistan,t20s00280
India,South Africa,t20s00281
Sri Lanka,India,t20s00282
England,New Zealand,t20s00283
Sri Lanka,Pakistan,t20s00284
Australia,West Indies,t20s00285
Australia,West Indies,t20s00286
Sri Lanka,West Indies,t20s00287
Australia,England,t20s00288
Bangladesh,Sri Lanka,t20s00289
India,Pakistan,t20s00290
Bangladesh,Pakistan,t20s00291
Sri Lanka,New Zealand,t20s00292
India,Pakistan,t20s00293
Bangladesh,West Indies,t20s00294
India,England,t20s00295
South Africa,New Zealand,t20s00296
India,England,t20s00297
South Africa,New Zealand,t20s00298
India,Pakistan,t20s00299
South Africa,New Zealand,t20s00300
India,Pakistan,t20s00301
West Indies,South Africa,t20s00302
West Indies,South Africa,t20s00303
Australia,Sri Lanka,t20s00304
Australia,Sri Lanka,t20s00305
New Zealand,England,t20s00306
New Zealand,England,t20s00307
Australia,West Indies,t20s00308
New Zealand,England,t20s00309
West Indies,Zimbabwe,t20s00310
Sri Lanka,West Indies,t20s00311
South Africa,Pakistan,t20s00312
West Indies,Zimbabwe,t20s00313
Sri Lanka,West Indies,t20s00314
Sri Lanka,West Indies,t20s00315
Canada,Kenya,t20s00316
Canada,Kenya,t20s00317
Sri Lanka,Bangladesh,t20s00318
Kenya,Netherlands,t20s00319
Kenya,Netherlands,t20s00320
Zimbabwe,Bangladesh,t20s00321
Zimbabwe,Bangladesh,t20s00322
England,New Zealand,t20s00323
England,New Zealand,t20s00324
England,Pakistan,t20s00325
England,Pakistan,t20s00326
Ireland,Pakistan,t20s00327
West Indies,Pakistan,t20s00328
West Indies,Pakistan,t20s00329
Ireland,Pakistan,t20s00330
Pakistan,Sri Lanka,t20s00331
Sri Lanka,South Africa,t20s00332
Sri Lanka,South Africa,t20s00333
Sri Lanka,South Africa,t20s00334
Zimbabwe,Pakistan,t20s00335
Zimbabwe,Pakistan,t20s00336
England,Australia,t20s00337
England,Australia,t20s00338
England,Australia,t20s00339
England,Australia,t20s00340
England,Australia,t20s00341
South Africa,Bangladesh,t20s00342
South Africa,Bangladesh,t20s00343
India,Australia,t20s00344
South Africa,Sri Lanka,t20s00345
South Africa,Sri Lanka,t20s00346
South Africa,Sri Lanka,t20s00347
Bangladesh,New Zealand,t20s00348
Pakistan,South Africa,t20s00349
Pakistan,South Africa,t20s00350
Canada,Ireland,t20s00351
Kenya,Scotland,t20s00352
South Africa,Pakistan,t20s00353
Sri Lanka,New Zealand,t20s00354
Netherlands,Scotland,t20s00355
South Africa,Pakistan,t20s00356
Kenya,Netherlands,t20s00357
Canada,Kenya,t20s00358
Netherlands,Scotland,t20s00359
Pakistan,Sri Lanka,t20s00360
Pakistan,Sri Lanka,t20s00361
New Zealand,West Indies,t20s00362
New Zealand,West Indies,t20s00363
Pakistan,South Africa,t20s00364
Ireland,Pakistan,t20s00365
Ireland,South Africa,t20s00366
Pakistan,South Africa,t20s00367
Australia,England,t20s00368
Australia,England,t20s00369
Australia,England,t20s00370
Australia,England,t20s00371
Australia,England,t20s00372
Bangladesh,Sri Lanka,t20s00373
Bangladesh,Sri Lanka,t20s00374
West Indies,Ireland,t20s00375
West Indies,Ireland,t20s00376
West Indies,England,t20s00377
West Indies,England,t20s00378
South Africa,Australia,t20s00379
West Indies,England,t20s00380
South Africa,Australia,t20s00381
Hong Kong,Nepal,t20s00382
Netherlands,United Arab Emirates,t20s00383
Ireland,Zimbabwe,t20s00384
Bangladesh,Nepal,t20s00385
Netherlands,Zimbabwe,t20s00386
Ireland,United Arab Emirates,t20s00387
Bangladesh,Hong Kong,t20s00388
United Arab Emirates,Zimbabwe,t20s00389
Ireland,Netherlands,t20s00390
India,Pakistan,t20s00391
South Africa,Sri Lanka,t20s00392
England,New Zealand,t20s00393
India,West Indies,t20s00394
Australia,New Zealand,t20s00395
Australia,Pakistan,t20s00396
England,West Indies,t20s00397
India,Sri Lanka,t20s00398
New Zealand,South Africa,t20s00399
Netherlands,Sri Lanka,t20s00400
Ireland,New Zealand,t20s00401
Bangladesh,West Indies,t20s00402
Bangladesh,West Indies,t20s00403
England,India,t20s00404
New Zealand,Pakistan,t20s00405
Netherlands,South Africa,t20s00406
England,Sri Lanka,t20s00407
Bangladesh,India,t20s00408
Sri Lanka,West Indies,t20s00409
Australia,West Indies,t20s00410
Australia,Pakistan,t20s00411
Netherlands,New Zealand,t20s00412
England,South Africa,t20s00413
Ireland,South Africa,t20s00414
Bangladesh,India,t20s00415
England,Sri Lanka,t20s00416
Bangladesh,Pakistan,t20s00417
Australia,India,t20s00418
Ireland,Pakistan,t20s00419
New Zealand,South Africa,t20s00420
England,Netherlands,t20s00421
New Zealand,Sri Lanka,t20s00422
Pakistan,West Indies,t20s00423
Bangladesh,Australia,t20s00424
Bangladesh,Sri Lanka,t20s00425
India,West Indies,t20s00426
New Zealand,Sri Lanka,t20s00427
India,Pakistan,t20s00428
Australia,West Indies,t20s00429
Pakistan,Sri Lanka,t20s00430
Bangladesh,Ireland,t20s00431
Sri Lanka,West Indies,t20s00432
England,South Africa,t20s00433
India,South Africa,t20s00434
Australia,England,t20s00435
India,Sri Lanka,t20s00436
England,Sri Lanka,t20s00437
West Indies,New Zealand,t20s00438
West Indies,New Zealand,t20s00439
West Indies,Bangladesh,t20s00440
Australia,Pakistan,t20s00441
Australia,Pakistan,t20s00442
England,South Africa,t20s00443
England,South Africa,t20s00444
Australia,Pakistan,t20s00445
Australia,Pakistan,t20s00446
England,South Africa,t20s00447
England,India,t20s00448
Australia,Pakistan,t20s00449
Sri Lanka,South Africa,t20s00450
Sri Lanka,South Africa,t20s00451
Sri Lanka,South Africa,t20s00452
Australia,West Indies,t20s00453
Australia,South Africa,t20s00454
Australia,South Africa,t20s00455
Australia,West Indies,t20s00456
Australia,South Africa,t20s00457
Hong Kong,Nepal,t20s00458
New Zealand,Pakistan,t20s00459
New Zealand,Pakistan,t20s00460
South Africa,West Indies,t20s00461
South Africa,West Indies,t20s00462
South Africa,West Indies,t20s00463
Pakistan,Sri Lanka,t20s00464
Pakistan,Sri Lanka,t20s00465
Pakistan,South Africa,t20s00466
Pakistan,South Africa,t20s00467
Pakistan,South Africa,t20s00468
Bangladesh,Pakistan,t20s00469
Pakistan,Zimbabwe,t20s00470
Sri Lanka,West Indies,t20s00471
Pakistan,Zimbabwe,t20s00472
Sri Lanka,West Indies,t20s00473
Sri Lanka,West Indies,t20s00474
Ireland,Scotland,t20s00475
England,New Zealand,t20s00476
Netherlands,Nepal,t20s00477
Netherlands,Nepal,t20s00478
Bangladesh,South Africa,t20s00479
Bangladesh,South Africa,t20s00480
Scotland,United Arab Emirates,t20s00481
Scotland,Netherlands,t20s00482
Netherlands,United Arab Emirates,t20s00483
Nepal,Ireland,t20s00484
Hong Kong,Nepal,t20s00485
Ireland,Papua New Guinea,t20s00486
Nepal,Papua New Guinea,t20s00487
Ireland,Hong Kong,t20s00488
Zimbabwe,India,t20s00489
Zimbabwe,India,t20s00490
Hong Kong,Scotland,t20s00491
Ireland,Netherlands,t20s00492
Sri Lanka,Pakistan,t20s00493
Sri Lanka,Pakistan,t20s00494
Zimbabwe,New Zealand,t20s00495
South Africa,New Zealand,t20s00496
South Africa,New Zealand,t20s00497
Ireland,Australia,t20s00498
Ireland,Australia,t20s00499
Ireland,Australia,t20s00500
England,Australia,t20s00501
England,Australia,t20s00502
England,Australia,t20s00503
England,Australia,t20s00504
Zimbabwe,Pakistan,t20s00505
Zimbabwe,Pakistan,t20s00506
Pakistan,Bangladesh,t20s00507
Pakistan,Bangladesh,t20s00508
India,South Africa,t20s00509
India,South Africa,t20s00510
West Indies,Pakistan,t20s00511
Sri Lanka,West Indies,t20s00512
Sri Lanka,West Indies,t20s00513
Bangladesh,Zimbabwe,t20s00514
Bangladesh,Zimbabwe,t20s00515
Hong Kong,Oman,t20s00516
United Arab Emirates,Oman,t20s00517
Hong Kong,Oman,t20s00518
England,Pakistan,t20s00519
Hong Kong,Oman,t20s00520
England,Pakistan,t20s00521
England,Pakistan,t20s00522
Bangladesh,Ireland,t20s00523
New Zealand,Sri Lanka,t20s00524
New Zealand,Sri Lanka,t20s00525
New Zealand,Pakistan,t20s00526
Bangladesh,Zimbabwe,t20s00527
New Zealand,Pakistan,t20s00528
Bangladesh,Zimbabwe,t20s00529
Bangladesh,Zimbabwe,t20s00530
New Zealand,Pakistan,t20s00531
Bangladesh,Zimbabwe,t20s00532
Australia,India,t20s00533
Australia,India,t20s00534
Australia,India,t20s00535
Hong Kong,Scotland,t20s00536
Australia,India,t20s00537
