decision,winner,key,uncontested
field,Australia,t20s00369,
bat,England,t20s00370,
field,Australia,t20s00371,
bat,Australia,t20s00372,
field,Bangladesh,t20s00373,
bat,Bangladesh,t20s00374,
bat,West Indies,t20s00375,
field,Ireland,t20s00376,
bat,West Indies,t20s00377,
bat,England,t20s00378,
field,Australia,t20s00379,
bat,England,t20s00380,
field,Australia,t20s00381,
field,Hong Kong,t20s00382,
field,Ireland,t20s00383,
bat,United Arab Emirates,t20s00384,
field,Bangladesh,t20s00385,
field,Ireland,t20s00386,
bat,Netherlands,t20s00387,
field,Hong Kong,t20s00388,
field,Zimbabwe,t20s00389,
field,Netherlands,t20s00390,
field,India,t20s00391,
bat,Sri Lanka,t20s00392,
field,New Zealand,t20s00393,
field,Australia,t20s00394,
field,Australia,t20s00395,
field,India,t20s00396,
field,Sri Lanka,t20s00397,
field,New Zealand,t20s00398,
field,England,t20s00399,
bat,Sri Lanka,t20s00400,
bat,New Zealand,t20s00401,
field,Bangladesh,t20s00402,
bat,West Indies,t20s00403,
bat,India,t20s00404,
bat,New Zealand,t20s00405,
field,Netherlands,t20s00406,
field,England,t20s00407,
bat,Sri Lanka,t20s00408,
bat,Australia,t20s00409,
field,India,t20s00410,
field,England,t20s00411,
field,New Zealand,t20s00412,
bat,South Africa,t20s00413,
bat,Australia,t20s00414,
bat,Sri Lanka,t20s00415,
bat,Pakistan,t20s00416,
field,Australia,t20s00417,
bat,India,t20s00418,
bat,Pakistan,t20s00419,
bat,New Zealand,t20s00420,
field,England,t20s00421,
field,New Zealand,t20s00422,
bat,Bangladesh,t20s00423,
bat,West Indies,t20s00424,
bat,Bangladesh,t20s00425,
bat,West Indies,t20s00426,
bat,India,t20s00427,
bat,Sri Lanka,t20s00428,
bat,Pakistan,t20s00429,
bat,Bangladesh,t20s00430,
bat,Sri Lanka,t20s00431,
bat,Australia,t20s00432,
field,England,t20s00433,
bat,South Africa,t20s00434,
field,Australia,t20s00435,
field,Sri Lanka,t20s00436,
field,England,t20s00437,
field,New Zealand,t20s00438,
field,New Zealand,t20s00439,
bat,Bangladesh,t20s00440,
bat,Pakistan,t20s00441,
bat,Australia,t20s00442,
field,England,t20s00443,
bat,England,t20s00444,
bat,Pakistan,t20s00445,
bat,Australia,t20s00446,
bat,England,t20s00447,
field,South Africa,t20s00448,
bat,Pakistan,t20s00449,
bat,Sri Lanka,t20s00450,
bat,Sri Lanka,t20s00451,
bat,Sri Lanka,t20s00452,
field,Australia,t20s00453,
bat,Australia,t20s00454,
bat,West Indies,t20s00455,
bat,South Africa,t20s00456,
field,Australia,t20s00457,
field,Hong Kong,t20s00458,
field,Pakistan,t20s00459,
field,Pakistan,t20s00460,
bat,South Africa,t20s00461,
field,West Indies,t20s00462,
field,West Indies,t20s00463,
bat,Pakistan,t20s00464,
bat,Pakistan,t20s00465,
field,Pakistan,t20s00466,
bat,South Africa,t20s00467,
field,South Africa,t20s00468,
bat,Pakistan,t20s00469,
bat,Zimbabwe,t20s00470,
field,Sri Lanka,t20s00471,
bat,Zimbabwe,t20s00472,
bat,Sri Lanka,t20s00473,
field,West Indies,t20s00474,
field,Scotland,t20s00475,
bat,England,t20s00476,
field,Nepal,t20s00477,
bat,Netherlands,t20s00478,
bat,South Africa,t20s00479,
bat,South Africa,t20s00480,
field,Scotland,t20s00481,
bat,Netherlands,t20s00482,
field,Netherlands,t20s00483,
field,Ireland,t20s00484,
bat,Ireland,t20s00485,
field,Hong Kong,t20s00486,
bat,India,t20s00487,
field,Papua New Guinea,t20s00488,
field,Ireland,t20s00489,
bat,Zimbabwe,t20s00490,
field,Scotland,t20s00491,
field,Netherlands,t20s00492,
bat,Pakistan,t20s00493,
bat,Sri Lanka,t20s00494,
field,Zimbabwe,t20s00495,
field,South Africa,t20s00496,
bat,New Zealand,t20s00497,
field,Ireland,t20s00498,
bat,Australia,t20s00499,
bat,Australia,t20s00500,
field,England,t20s00501,
field,England,t20s00502,
field,Australia,t20s00503,
field,England,t20s00504,
bat,Pakistan,t20s00505,
bat,Pakistan,t20s00506,
bat,Pakistan,t20s00507,
bat,Pakistan,t20s00508,
field,South Africa,t20s00509,
field,South Africa,t20s00510,
field,West Indies,t20s00511,
field,West Indies,t20s00512,
bat,West Indies,t20s00513,
field,Bangladesh,t20s00514,
bat,Bangladesh,t20s00515,
field,Oman,t20s00516,
field,United Arab Emirates,t20s00517,
field,Hong Kong,t20s00518,
bat,England,t20s00519,
field,Hong Kong,t20s00520,
bat,England,t20s00521,
bat,England,t20s00522,
bat,Bangladesh,t20s00523,
field,Sri Lanka,t20s00524,
field,New Zealand,t20s00525,
bat,Zimbabwe,t20s00526,
field,New Zealand,t20s00527,
bat,Pakistan,t20s00528,
bat,Bangladesh,t20s00529,
bat,Zimbabwe,t20s00530,
field,Pakistan,t20s00531,
bat,Zimbabwe,t20s00532,
field,Australia,t20s00533,
field,India,t20s00534,
field,Australia,t20s00535,
field,Hong Kong,t20s00536,
field,Hong Kong,t20s00537,
field,India,t20s00538,
bat,Australia,t20s00539,
field,United Arab Emirates,t20s00540,
bat,United Arab Emirates,t20s00541,
field,Papua New Guinea,t20s00542,
bat,Papua New Guinea,t20s00543,
field,Sri Lanka,t20s00544,
field,Sri Lanka,t20s00545,
field,United Arab Emirates,t20s00546,
field,India,t20s00547,
bat,United Arab Emirates,t20s00548,
field,South Africa,t20s00549,
field,South Africa,t20s00550,
bat,Oman,t20s00551,
bat,Hong Kong,t20s00552,
field,South Africa,t20s00553,
field,England,t20s00554,
field,Oman,t20s00555,
field,Bangladesh,t20s00556,
field,United Arab Emirates,t20s00557,
field,United Arab Emirates,t20s00558,
field,India,t20s00559,
bat,Bangladesh,t20s00560,
bat,United Arab Emirates,t20s00561,
field,India,t20s00562,
bat,Pakistan,t20s00563,
bat,United Arab Emirates,t20s00564,
bat,South Africa,t20s00565,
bat,Australia,t20s00566,
field,Pakistan,t20s00567,
field,India,t20s00568,
field,Australia,t20s00569,
field,Hong Kong,t20s00570,
bat,South Africa,t20s00571,
bat,Ireland,t20s00572,
bat,South Africa,t20s00573,
field,Netherlands,t20s00574,
bat,Zimbabwe,t20s00575,
field,Ireland,t20s00576,
bat,Hong Kong,t20s00577,
field,Ireland,t20s00578,
field,Oman,t20s00579,
field,Bangladesh,t20s00580,
bat,Sri Lanka,t20s00581,
bat,New Zealand,t20s00582,
field,Pakistan,t20s00583,
field,West Indies,t20s00584,
bat,Pakistan,t20s00585,
bat,England,t20s00586,
bat,South Africa,t20s00587,
bat,New Zealand,t20s00588,
field,England,t20s00589,
bat,New Zealand,t20s00590,
field,Pakistan,t20s00591,
field,India,t20s00592,
bat,West Indies,t20s00593,
bat,Sri Lanka,t20s00594,
field,West Indies,t20s00595,
bat,Australia,t20s00596,
field,Australia,t20s00597,
field,England,t20s00598,
bat,New Zealand,t20s00599,
field,Bangladesh,t20s00600,
bat,South Africa,t20s00601,
bat,Bangladesh,t20s00602,
bat,West Indies,t20s00603,
bat,Sri Lanka,t20s00604,
bat,Australia,t20s00605,
field,West Indies,t20s00606,
field,Australia,t20s00607,
field,New Zealand,t20s00608,
bat,New Zealand,t20s00609,
field,Sri Lanka,t20s00610,
field,India,t20s00611,
bat,England,t20s00612,
bat,Australia,t20s00613,
bat,Sri Lanka,t20s00614,
field,South Africa,t20s00615,
field,England,t20s00616,
field,England,t20s00617,
field,New Zealand,t20s00618,
field,West Indies,t20s00619,
bat,Australia,t20s00620,
field,West Indies,t20s00621,
field,India,t20s00622,
bat,Zimbabwe,t20s00623,
field,Zimbabwe,t20s00624,
bat,England,t20s00625,
bat,England,t20s00626,
bat,Sri Lanka,t20s00627,
bat,England,t20s00628,
field,India,t20s00629,
field,India,t20s00630,
bat,Hong Kong,t20s00631,
field,Bangladesh,t20s00632,
field,Sri Lanka,t20s00633,
bat,England,t20s00634,
bat,Sri Lanka,t20s00635,
field,Pakistan,t20s00636,
field,West Indies,t20s00637,
field,Australia,t20s00638,
field,Pakistan,t20s00639,
bat,New Zealand,t20s00640,
bat,India,t20s00641,
bat,Bangladesh,t20s00642,
field,Bangladesh,t20s00643,
field,Bangladesh,t20s00644,
bat,Scotland,t20s00645,
bat,Oman,t20s00646,
field,Oman,t20s00647,
field,Netherlands,t20s00648,
bat,Hong Kong,t20s00649,
bat,Ireland,t20s00650,
bat,Oman,t20s00651,
field,Scotland,t20s00652,
field,Sri Lanka,t20s00653,
bat,South Africa,t20s00654,
bat,South Africa,t20s00655,
field,England,t20s00656,
field,England,t20s00657,
field,England,t20s00658,
field,New Zealand,t20s00659,
field,Sri Lanka,t20s00660,
field,New Zealand,t20s00661,
field,Sri Lanka,t20s00662,
field,Australia,t20s00663,
bat,New Zealand,t20s00664,
field,Sri Lanka,t20s00665,
field,Pakistan,t20s00666,
field,West Indies,t20s00667,
bat,Pakistan,t20s00668,
field,Pakistan,t20s00669,
bat,Bangladesh,t20s00670,
bat,Bangladesh,t20s00671,
field,United Arab Emirates,t20s00672,
field,Papua New Guinea,t20s00673,
bat,Papua New Guinea,t20s00674,
bat,South Africa,t20s00675,
field,England,t20s00676,
field,South Africa,t20s00677,
field,West Indies,t20s00678,
field,India,t20s00679,
field,ICC World XI,t20s00680,
bat,Pakistan,t20s00681,
field,ICC World XI,t20s00682,
field,England,t20s00683,
field,India,t20s00684,
field,Australia,t20s00685,
bat,West Indies,t20s00686,
bat,South Africa,t20s00687,
field,Pakistan,t20s00688,
field,Pakistan,t20s00689,
field,Bangladesh,t20s00690,
field,Sri Lanka,t20s00691,
field,New Zealand,t20s00692,
bat,New Zealand,t20s00693,
field,New Zealand,t20s00694,
bat,New Zealand,t20s00695,
bat,New Zealand,t20s00696,
bat,Pakistan,t20s00697,
field,Australia,t20s00698,
bat,England,t20s00699,
bat,Australia,t20s00700,
field,Sri Lanka,t20s00701,
field,Sri Lanka,t20s00702,
field,India,t20s00703,
field,West Indies,t20s00704,
field,West Indies,t20s00705,
bat,New Zealand,t20s00706,
field,New Zealand,t20s00707,
bat,Pakistan,t20s00708,
bat,Pakistan,t20s00709,
field,Australia,t20s00710,
field,Australia,t20s00711,
field,Australia,t20s00712,
field,India,t20s00713,
field,England,t20s00714,
bat,Bangladesh,t20s00715,
field,India,t20s00716,
bat,New Zealand,t20s00717,
field,South Africa,t20s00718,
field,New Zealand,t20s00719,
field,South Africa,t20s00720,
field,Bangladesh,t20s00721,
field,South Africa,t20s00722,
field,India,t20s00723,
bat,New Zealand,t20s00724,
field,South Africa,t20s00725,
field,South Africa,t20s00726,
field,Sri Lanka,t20s00727,
field,India,t20s00728,
field,Bangladesh,t20s00729,
field,India,t20s00730,
field,West Indies,t20s00731,
field,Bangladesh,t20s00732,
field,West Indies,t20s00733,
field,Bangladesh,t20s00734,
field,India,t20s00735,
field,West Indies,t20s00736,
field,Australia,t20s00737,
field,England,t20s00738,
field,New Zealand,t20s00739,
field,England,t20s00740,
field,India,t20s00741,
field,Australia,t20s00742,
field,Pakistan,t20s00743,
bat,England,t20s00744,
bat,Pakistan,t20s00745,
field,England,t20s00746,
field,West Indies,t20s00747,
bat,Pakistan,t20s00748,
bat,West Indies,t20s00749,
field,Bangladesh,t20s00750,
field,Bangladesh,t20s00751,
field,ICC World XI,t20s00752,
bat,Thailand,t20s00753,
bat,India,t20s00754,
field,Malaysia,t20s00755,
field,Bangladesh,t20s00756,
field,Thailand,t20s00757,
bat,India,t20s00758,
bat,Ireland,t20s00759,
field,Sri Lanka,t20s00760,
bat,Malaysia,t20s00761,
field,Bangladesh,t20s00762,
field,Malaysia,t20s00763,
bat,Sri Lanka,t20s00764,
bat,Pakistan,t20s00765,
field,Thailand,t20s00766,
bat,Bangladesh,t20s00767,
field,Bangladesh,t20s00768,
bat,Pakistan,t20s00769,
field,Ireland,t20s00770,
bat,Pakistan,t20s00771,
bat,Ireland,t20s00772,
bat,Ireland,t20s00773,
bat,Scotland,t20s00774,
bat,Netherlands,t20s00775,
bat,England,t20s00776,
bat,Scotland,t20s00777,
field,South Africa,t20s00778,
bat,England,t20s00779,
bat,England,t20s00780,
field,Australia,t20s00781,
field,Ireland,t20s00782,
bat,South Africa,t20s00783,
bat,New Zealand,t20s00784,
field,Bangladesh,t20s00785,
bat,Ireland,t20s00786,
field,Ireland,t20s00787,
field,Zimbabwe,t20s00788,
bat,New Zealand,t20s00789,
field,Ireland,t20s00790,
field,Australia,t20s00791,
field,India,t20s00792,
field,Zimbabwe,t20s00793,
field,Pakistan,t20s00794,
field,Australia,t20s00795,
field,England,t20s00796,
bat,Zimbabwe,t20s00797,
field,Ireland,t20s00798,
field,Scotland,t20s00799,
bat,Netherlands,t20s00800,
field,Bangladesh,t20s00801,
bat,Australia,t20s00802,
field,India,t20s00803,
field,Bangladesh,t20s00804,
field,Ireland,t20s00805,
bat,United Arab Emirates,t20s00806,
bat,Scotland,t20s00807,
field,Ireland,t20s00808,
field,Bangladesh,t20s00809,
field,Netherlands,t20s00810,
field,Papua New Guinea,t20s00811,
bat,Netherlands,t20s00812,
field,Scotland,t20s00813,
bat,United Arab Emirates,t20s00814,
field,Uganda,t20s00815,
field,Ireland,t20s00816,
field,Scotland,t20s00817,
field,United Arab Emirates,t20s00818,
field,Nepal,t20s00819,
field,West Indies,t20s00820,
field,West Indies,t20s00821,
bat,Bangladesh,t20s00822,
bat,South Africa,t20s00823,
field,Lesotho,t20s00824,
field,Namibia,t20s00825,
field,Namibia,t20s00826,
field,Lesotho,t20s00827,
bat,Mozambique,t20s00828,
field,Sierra Leone,t20s00829,
bat,Mozambique,t20s00830,
field,Lesotho,t20s00831,
bat,Sierra Leone,t20s00832,
field,Namibia,t20s00833,
bat,Sierra Leone,t20s00834,
field,Malawi,t20s00835,
field,Namibia,t20s00836,
field,India,t20s00837,
field,India,t20s00838,
field,India,t20s00839,
field,Sri Lanka,t20s00840,
field,West Indies,t20s00841,
field,Australia,t20s00842,
field,Australia,t20s00843,
field,South Africa,t20s00844,
field,Australia,t20s00845,
field,South Africa,t20s00846,
bat,South Africa,t20s00847,
bat,Zimbabwe,t20s00848,
bat,United Arab Emirates,t20s00849,
field,Australia,t20s00850,
bat,Australia,t20s00851,
bat,Pakistan,t20s00852,
field,Australia,t20s00853,
field,Sri Lanka,t20s00854,
bat,Pakistan,t20s00855,
field,Australia,t20s00856,
bat,Pakistan,t20s00857,
bat,New Zealand,t20s00858,
bat,Pakistan,t20s00859,
field,India,t20s00860,
field,West Indies,t20s00861,
field,Bangladesh,t20s00862,
bat,India,t20s00863,
bat,Australia,t20s00864,
field,India,t20s00865,
bat,Ireland,t20s00866,
bat,West Indies,t20s00867,
field,England,t20s00868,
field,South Africa,t20s00869,
bat,Pakistan,t20s00870,
bat,Australia,t20s00871,
field,Bangladesh,t20s00872,
field,South Africa,t20s00873,
field,Ireland,t20s00874,
field,Pakistan,t20s00875,
bat,South Africa,t20s00876,
bat,West Indies,t20s00877,
field,Australia,t20s00878,
bat,India,t20s00879,
bat,Ireland,t20s00880,
field,Bangladesh,t20s00881,
field,West Indies,t20s00882,
field,India,t20s00883,
field,West Indies,t20s00884,
bat,India,t20s00885,
field,India,t20s00886,
bat,England,t20s00887,
bat,Australia,t20s00888,
bat,Bangladesh,t20s00889,
field,West Indies,t20s00890,
field,Bangladesh,t20s00891,
field,Sri Lanka,t20s00892,
bat,West Indies,t20s00893,
field,Nepal,t20s00894,
bat,United Arab Emirates,t20s00895,
bat,Sri Lanka,t20s00896,
bat,Pakistan,t20s00897,
field,Pakistan,t20s00898,
bat,Pakistan,t20s00899,
field,Pakistan,t20s00900,
field,United Arab Emirates,t20s00901,
field,India,t20s00902,
field,Sri Lanka,t20s00903,
field,South Africa,t20s00904,
field,India,t20s00905,
field,New Zealand,t20s00906,
bat,New Zealand,t20s00907,
field,India,t20s00908,
bat,New Zealand,t20s00909,
field,Oman,t20s00910,
field,Netherlands,t20s00911,
field,Netherlands,t20s00912,
field,Scotland,t20s00913,
field,Ireland,t20s00914,
field,Scotland,t20s00915,
field,Thailand,t20s00916,
field,Kuwait,t20s00917,
bat,United Arab Emirates,t20s00918,
bat,Nepal,t20s00919,
field,China,t20s00920,
bat,United Arab Emirates,t20s00921,
bat,United Arab Emirates,t20s00922,
bat,Thailand,t20s00923,
field,China,t20s00924,
bat,Malaysia,t20s00925,
bat,United Arab Emirates,t20s00926,
bat,Thailand,t20s00927,
field,China,t20s00928,
bat,Kuwait,t20s00929,
bat,Hong Kong,t20s00930,
field,Australia,t20s00931,
field,Malaysia,t20s00932,
field,China,t20s00933,
field,Hong Kong,t20s00934,
field,Kuwait,t20s00935,
bat,Thailand,t20s00936,
field,Australia,t20s00937,
field,India,t20s00938,
field,England,t20s00939,
field,England,t20s00940,
field,West Indies,t20s00941,
bat,England,t20s00942,
bat,West Indies,t20s00943,
field,United Arab Emirates,t20s00944,
bat,United Arab Emirates,t20s00945,
field,South Africa,t20s00946,
field,Sri Lanka,t20s00947,
field,Philippines,t20s00948,
bat,Vanuatu,t20s00949,
bat,Vanuatu,t20s00950,
bat,Papua New Guinea,t20s00951,
bat,Sri Lanka,t20s00952,
