winner,by.runs,key,by.wickets,result,method
Essex,34.0,ntb00726,,,
,,ntb00727,,no result,
Lancashire,27.0,ntb00728,,,
,,ntb00729,,no result,
,,ntb00730,,no result,
Northamptonshire,,ntb00731,9.0,,
Glamorgan,15.0,ntb00732,,,
,,ntb00733,,no result,
Nottinghamshire,,ntb00734,6.0,,
,,ntb00735,,tie,
,,ntb00736,,tie,
Yorkshire,99.0,ntb00737,,,
Northamptonshire,9.0,ntb00738,,,
Birmingham Bears,,ntb00739,6.0,,
Sussex,,ntb00740,6.0,,
Gloucestershire,22.0,ntb00741,,,
Leicestershire,30.0,ntb00742,,,
Lancashire,4.0,ntb00743,,,
Nottinghamshire,,ntb00744,6.0,,
Hampshire,,ntb00745,5.0,,
Kent,,ntb00746,5.0,,
Somerset,,ntb00747,8.0,,
Sussex,,ntb00748,3.0,,
Northamptonshire,38.0,ntb00749,,,
Gloucestershire,57.0,ntb00750,,,
Middlesex,11.0,ntb00751,,,
Somerset,16.0,ntb00752,,,
Northamptonshire,,ntb00753,4.0,,
Kent,1.0,ntb00754,,,
Surrey,,ntb00755,9.0,,
Gloucestershire,30.0,ntb00756,,,
Birmingham Bears,4.0,ntb00757,,,
Yorkshire,29.0,ntb00758,,,
Lancashire,,ntb00759,8.0,,
Nottinghamshire,,ntb00760,5.0,,
Surrey,,ntb00761,6.0,,
Kent,29.0,ntb00762,,,
Sussex,13.0,ntb00763,,,
Durham,55.0,ntb00764,,,
Gloucestershire,35.0,ntb00765,,,
Birmingham Bears,13.0,ntb00766,,,
Surrey,,ntb00767,4.0,,
Worcestershire,3.0,ntb00768,,,
Leicestershire,,ntb00769,3.0,,
Nottinghamshire,,ntb00770,6.0,,
Sussex,,ntb00771,8.0,,
Middlesex,19.0,ntb00772,,,
Glamorgan,,ntb00773,7.0,,
Gloucestershire,11.0,ntb00774,,,
Birmingham Bears,,ntb00775,6.0,,
Nottinghamshire,13.0,ntb00776,,,
Durham,,ntb00777,6.0,,
Lancashire,,ntb00778,6.0,,
Surrey,30.0,ntb00779,,,
Essex,12.0,ntb00780,,,
Kent,,ntb00781,8.0,,
Derbyshire,4.0,ntb00782,,,
Gloucestershire,50.0,ntb00783,,,
Worcestershire,8.0,ntb00784,,,
Durham,43.0,ntb00785,,,
Surrey,,ntb00786,4.0,,
Somerset,66.0,ntb00787,,,
Essex,54.0,ntb00788,,,
Middlesex,2.0,ntb00789,,,
Lancashire,7.0,ntb00790,,,
Nottinghamshire,,ntb00791,8.0,,
Kent,,ntb00792,4.0,,
Sussex,,ntb00793,3.0,,
Birmingham Bears,16.0,ntb00794,,,
Somerset,,ntb00795,7.0,,
Glamorgan,17.0,ntb00796,,,
Durham,74.0,ntb00797,,,
Surrey,,ntb00798,9.0,,
Leicestershire,,ntb00799,4.0,,
Gloucestershire,,ntb00800,2.0,,
Nottinghamshire,18.0,ntb00801,,,
Leicestershire,22.0,ntb00802,,,
Sussex,,ntb00803,4.0,,
Glamorgan,,ntb00804,6.0,,
Northamptonshire,,ntb00805,3.0,,
Hampshire,20.0,ntb00806,,,
Surrey,,ntb00807,6.0,,
Yorkshire,,ntb00808,6.0,,
Gloucestershire,,ntb00809,7.0,,
,,ntb00810,,tie,
Surrey,56.0,ntb00811,,,
Lancashire,45.0,ntb00812,,,
Surrey,,ntb00813,6.0,,
Nottinghamshire,,ntb00814,5.0,,
Nottinghamshire,,ntb00815,6.0,,
Essex,,ntb00816,3.0,,
Kent,38.0,ntb00817,,,
Lancashire,,ntb00818,6.0,,
,,ntb00819,,tie,
Yorkshire,,ntb00820,6.0,,
Lancashire,16.0,ntb00821,,,
Surrey,54.0,ntb00822,,,
Gloucestershire,4.0,ntb00823,,,
Derbyshire,23.0,ntb00824,,,
Birmingham Bears,18.0,ntb00825,,,
Surrey,,ntb00826,7.0,,
Worcestershire,32.0,ntb00827,,,
Durham,20.0,ntb00828,,,
Sussex,,ntb00829,5.0,,
Hampshire,13.0,ntb00830,,,
Kent,16.0,ntb00831,,,
Sussex,,ntb00832,9.0,,
Kent,5.0,ntb00833,,,
Worcestershire,,ntb00834,8.0,,
Glamorgan,,ntb00835,7.0,,
Nottinghamshire,14.0,ntb00836,,,
Birmingham Bears,,ntb00837,3.0,,
Durham,,ntb00838,2.0,,
Surrey,,ntb00839,5.0,,
Lancashire,,ntb00840,7.0,,
Yorkshire,18.0,ntb00841,,,
Nottinghamshire,13.0,ntb00842,,,
Middlesex,,ntb00843,3.0,,
Sussex,,ntb00844,7.0,,
Somerset,47.0,ntb00845,,,
Birmingham Bears,55.0,ntb00846,,,
Birmingham Bears,35.0,ntb00847,,,
Yorkshire,94.0,ntb00848,,,
Kent,40.0,ntb00849,,,
Durham,,ntb00850,6.0,,
,,ntb00851,,no result,
Gloucestershire,2.0,ntb00852,,,D/L
Derbyshire,,ntb00853,5.0,,
Glamorgan,21.0,ntb00854,,,
Nottinghamshire,2.0,ntb00855,,,
Leicestershire,34.0,ntb00856,,,
,,ntb00857,,tie,
Yorkshire,39.0,ntb00858,,,
Kent,67.0,ntb00859,,,
Durham,22.0,ntb00860,,,
Essex,,ntb00861,8.0,,
Gloucestershire,,ntb00862,8.0,,
Leicestershire,42.0,ntb00863,,,
Nottinghamshire,,ntb00864,10.0,,
Yorkshire,12.0,ntb00865,,,
Northamptonshire,,ntb00866,9.0,,
Somerset,,ntb00867,7.0,,
Gloucestershire,34.0,ntb00868,,,
Derbyshire,,ntb00869,5.0,,
Essex,,ntb00870,2.0,,
Surrey,,ntb00871,5.0,,
Worcestershire,,ntb00872,8.0,,
Gloucestershire,27.0,ntb00873,,,
Kent,28.0,ntb00874,,,D/L
Somerset,7.0,ntb00875,,,
Northamptonshire,,ntb00876,7.0,,
,,ntb00877,,tie,
Leicestershire,34.0,ntb00878,,,
Nottinghamshire,7.0,ntb00879,,,
Yorkshire,82.0,ntb00880,,,
Durham,34.0,ntb00881,,,
Worcestershire,,ntb00882,7.0,,
Middlesex,,ntb00883,7.0,,
,,ntb00884,,no result,
Somerset,,ntb00885,10.0,,
Glamorgan,1.0,ntb00886,,,
Essex,,ntb00887,6.0,,D/L
Northamptonshire,,ntb00888,5.0,,
Northamptonshire,30.0,ntb00889,,,
Surrey,20.0,ntb00890,,,
Birmingham Bears,,ntb00891,10.0,,
Somerset,,ntb00892,8.0,,
Lancashire,34.0,ntb00893,,,
Middlesex,63.0,ntb00894,,,
Essex,,ntb00895,8.0,,
Nottinghamshire,,ntb00896,6.0,,
Worcestershire,14.0,ntb00897,,,
Somerset,5.0,ntb00898,,,D/L
Sussex,33.0,ntb00899,,,
Yorkshire,9.0,ntb00900,,,
Nottinghamshire,114.0,ntb00901,,,
Kent,11.0,ntb00902,,,
Hampshire,10.0,ntb00903,,,
Leicestershire,,ntb00904,8.0,,D/L
Worcestershire,49.0,ntb00905,,,
Sussex,,ntb00906,6.0,,
Kent,,ntb00907,9.0,,
Nottinghamshire,,ntb00908,10.0,,
Lancashire,,ntb00909,8.0,,
Hampshire,75.0,ntb00910,,,
Derbyshire,,ntb00911,6.0,,
Gloucestershire,10.0,ntb00912,,,
Hampshire,18.0,ntb00913,,,
Leicestershire,,ntb00914,2.0,,
Somerset,74.0,ntb00915,,,
Lancashire,6.0,ntb00916,,,
Birmingham Bears,17.0,ntb00917,,,
Surrey,,ntb00918,7.0,,
Hampshire,,ntb00919,6.0,,
Kent,77.0,ntb00920,,,
Lancashire,,ntb00921,4.0,,
Sussex,,ntb00922,4.0,,
Birmingham Bears,14.0,ntb00923,,,
Middlesex,9.0,ntb00924,,,
Somerset,23.0,ntb00925,,,
Leicestershire,,ntb00926,7.0,,
Nottinghamshire,78.0,ntb00927,,,
Hampshire,,ntb00928,6.0,,
Sussex,,ntb00929,5.0,,
Hampshire,2.0,ntb00930,,,
Somerset,,ntb00931,7.0,,
Kent,21.0,ntb00932,,,
Somerset,,ntb00933,2.0,,
Kent,21.0,ntb00934,,,
Kent,25.0,ntb00935,,,
Somerset,,ntb00936,8.0,,
Yorkshire,,ntb00937,7.0,,
Birmingham Bears,125.0,ntb00938,,,D/L
Middlesex,30.0,ntb00939,,,
Glamorgan,,ntb00940,7.0,,
Durham,54.0,ntb00941,,,
Nottinghamshire,,ntb00942,4.0,,
Birmingham Bears,3.0,ntb00943,,,
Northamptonshire,31.0,ntb00944,,,
Gloucestershire,41.0,ntb00945,,,
,,ntb00946,,tie,
Essex,,ntb00947,4.0,,
Middlesex,10.0,ntb00948,,,
Surrey,,ntb00949,4.0,,
Derbyshire,70.0,ntb00950,,,
Somerset,,ntb00951,6.0,,D/L
Sussex,4.0,ntb00952,,,
Lancashire,12.0,ntb00953,,,
Leicestershire,31.0,ntb00954,,,
Middlesex,,ntb00955,4.0,,
Birmingham Bears,,ntb00956,5.0,,
,,ntb00957,,no result,
Somerset,,ntb00958,4.0,,
Derbyshire,,ntb00959,9.0,,
Surrey,37.0,ntb00960,,,
Essex,,ntb00961,8.0,,
Lancashire,87.0,ntb00962,,,
Northamptonshire,42.0,ntb00963,,,
Sussex,47.0,ntb00964,,,
Durham,48.0,ntb00965,,,
Gloucestershire,,ntb00966,6.0,,
Lancashire,17.0,ntb00967,,,
Leicestershire,5.0,ntb00968,,,
Surrey,72.0,ntb00969,,,
Glamorgan,,ntb00970,6.0,,
Nottinghamshire,,ntb00971,7.0,,
Somerset,,ntb00972,9.0,,
Sussex,,ntb00973,5.0,,D/L
Yorkshire,,ntb00974,6.0,,
Lancashire,,ntb00975,2.0,,
Surrey,32.0,ntb00976,,,
Worcestershire,15.0,ntb00977,,,
Hampshire,22.0,ntb00978,,,
Kent,55.0,ntb00979,,,
Birmingham Bears,1.0,ntb00980,,,
Leicestershire,26.0,ntb00981,,,
Northamptonshire,,ntb00982,4.0,,
,,ntb00983,,no result,
Yorkshire,23.0,ntb00984,,,
Lancashire,,ntb00985,7.0,,
Northamptonshire,,ntb00986,5.0,,
Hampshire,,ntb00987,9.0,,
Gloucestershire,,ntb00988,5.0,,
Essex,,ntb00989,7.0,,
Lancashire,4.0,ntb00990,,,
Surrey,,ntb00991,7.0,,
Birmingham Bears,,ntb00992,6.0,,
Derbyshire,,ntb00993,6.0,,
Northamptonshire,73.0,ntb00994,,,
Somerset,,ntb00995,3.0,,D/L
Hampshire,32.0,ntb00996,,,
Surrey,20.0,ntb00997,,,
Derbyshire,39.0,ntb00998,,,
Nottinghamshire,,ntb00999,5.0,,
Kent,32.0,ntb01000,,,
Essex,61.0,ntb01001,,,
Yorkshire,,ntb01002,10.0,,
Hampshire,9.0,ntb01003,,,
Durham,,ntb01004,2.0,,
Gloucestershire,4.0,ntb01005,,,
Hampshire,54.0,ntb01006,,,
Surrey,,ntb01007,7.0,,
Yorkshire,65.0,ntb01008,,,
Essex,11.0,ntb01009,,,
Somerset,7.0,ntb01010,,,
Northamptonshire,,ntb01011,7.0,,
Birmingham Bears,55.0,ntb01012,,,
Leicestershire,,ntb01013,8.0,,
Derbyshire,,ntb01014,6.0,,D/L
Somerset,,ntb01015,8.0,,
Glamorgan,,ntb01016,4.0,,
Lancashire,,ntb01017,6.0,,
Middlesex,,ntb01018,7.0,,
Surrey,,ntb01019,4.0,,
Leicestershire,51.0,ntb01020,,,
Derbyshire,,ntb01021,7.0,,
Gloucestershire,5.0,ntb01022,,,
Surrey,,ntb01023,3.0,,
Glamorgan,,ntb01024,8.0,,
Derbyshire,,ntb01025,6.0,,
Leicestershire,47.0,ntb01026,,,
Birmingham Bears,,ntb01027,6.0,,
Yorkshire,,ntb01028,5.0,,
,,ntb01029,,no result,
Sussex,17.0,ntb01030,,,
Hampshire,14.0,ntb01031,,,
Nottinghamshire,94.0,ntb01032,,,
Essex,21.0,ntb01033,,,
Essex,43.0,ntb01034,,,
Derbyshire,5.0,ntb01035,,,
Yorkshire,62.0,ntb01036,,,
Nottinghamshire,2.0,ntb01037,,,
Birmingham Bears,144.0,ntb01038,,,
Kent,,ntb01039,6.0,,
Hampshire,9.0,ntb01040,,,
Somerset,16.0,ntb01041,,,
Hampshire,15.0,ntb01042,,,
Birmingham Bears,31.0,ntb01043,,,
Surrey,,ntb01044,4.0,,
Somerset,,ntb01045,2.0,,
Worcestershire,29.0,ntb01046,,,
Essex,28.0,ntb01047,,,
Nottinghamshire,,ntb01048,4.0,,
Leicestershire,1.0,ntb01049,,,
Essex,69.0,ntb01050,,,
Leicestershire,60.0,ntb01051,,,
Somerset,47.0,ntb01052,,,
Hampshire,,ntb01053,5.0,,
Derbyshire,,ntb01054,5.0,,
Lancashire,,ntb01055,2.0,,
Glamorgan,35.0,ntb01056,,,
Gloucestershire,,ntb01057,5.0,,
Nottinghamshire,,ntb01058,5.0,,
Yorkshire,1.0,ntb01059,,,
Hampshire,104.0,ntb01060,,,
Lancashire,,ntb01061,7.0,,
Somerset,191.0,ntb01062,,,
Hampshire,1.0,ntb01063,,,
Lancashire,,ntb01064,6.0,,
Hampshire,37.0,ntb01065,,,
Birmingham Bears,34.0,ntb01066,,,
Lancashire,,ntb01067,4.0,,
Somerset,,ntb01068,8.0,,
Worcestershire,15.0,ntb01069,,,
Kent,,ntb01070,7.0,,
Lancashire,,ntb01071,8.0,,
Surrey,73.0,ntb01072,,,
Worcestershire,,ntb01073,2.0,,
Durham,,ntb01074,10.0,,
Nottinghamshire,,ntb01075,4.0,,
Birmingham Bears,,ntb01076,5.0,,
Hampshire,,ntb01077,8.0,,
Surrey,41.0,ntb01078,,,
Glamorgan,,ntb01079,2.0,,
Somerset,,ntb01080,5.0,,
Lancashire,22.0,ntb01081,,,
Durham,28.0,ntb01082,,,
Somerset,,ntb01083,4.0,,
Sussex,,ntb01084,5.0,,
Worcestershire,33.0,ntb01085,,,
Northamptonshire,,ntb01086,6.0,,
Gloucestershire,2.0,ntb01087,,,
Birmingham Bears,,ntb01088,7.0,,
Nottinghamshire,,ntb01089,5.0,,
Yorkshire,8.0,ntb01090,,,
Somerset,13.0,ntb01091,,,D/L
Essex,,ntb01092,3.0,,
Surrey,,ntb01093,6.0,,
Birmingham Bears,21.0,ntb01094,,,
Glamorgan,29.0,ntb01095,,,
Yorkshire,15.0,ntb01096,,,
Essex,25.0,ntb01097,,,
Derbyshire,2.0,ntb01098,,,
Worcestershire,56.0,ntb01099,,,
Gloucestershire,,ntb01100,2.0,,
Derbyshire,17.0,ntb01101,,,
Durham,,ntb01102,6.0,,
Somerset,,ntb01103,9.0,,
Hampshire,118.0,ntb01104,,,
Glamorgan,,ntb01105,7.0,,
Northamptonshire,,ntb01106,8.0,,
Hampshire,,ntb01107,10.0,,
Nottinghamshire,11.0,ntb01108,,,
Yorkshire,,ntb01109,7.0,,
Gloucestershire,,ntb01110,7.0,,
Nottinghamshire,,ntb01111,5.0,,
Leicestershire,,ntb01112,7.0,,
Glamorgan,32.0,ntb01113,,,
Somerset,11.0,ntb01114,,,
Surrey,,ntb01115,5.0,,
Northamptonshire,,ntb01116,6.0,,
Essex,,ntb01117,5.0,,
Yorkshire,30.0,ntb01118,,,
Durham,,ntb01119,4.0,,
Hampshire,5.0,ntb01120,,,
Lancashire,,ntb01121,4.0,,
Derbyshire,,ntb01122,6.0,,
Hampshire,5.0,ntb01123,,,
Surrey,65.0,ntb01124,,,
Essex,,ntb01125,4.0,,
Sussex,4.0,ntb01126,,,
Nottinghamshire,26.0,ntb01127,,,
Birmingham Bears,30.0,ntb01128,,,
Yorkshire,26.0,ntb01129,,,
Surrey,124.0,ntb01130,,,
Nottinghamshire,,ntb01131,3.0,,
Somerset,80.0,ntb01132,,,
Kent,,ntb01133,6.0,,
Leicestershire,,ntb01134,6.0,,
Essex,51.0,ntb01135,,,
Surrey,28.0,ntb01136,,,
Lancashire,35.0,ntb01137,,,
Essex,,ntb01138,4.0,,
Sussex,6.0,ntb01139,,,
Birmingham Bears,21.0,ntb01140,,,
Kent,13.0,ntb01141,,,
Yorkshire,,ntb01142,8.0,,
,,ntb01143,,tie,
Kent,,ntb01144,7.0,,
Worcestershire,,ntb01145,6.0,,
Glamorgan,32.0,ntb01146,,,
Northamptonshire,78.0,ntb01147,,,
Hampshire,,ntb01148,9.0,,
Lancashire,7.0,ntb01149,,,D/L
Derbyshire,144.0,ntb01150,,,
Essex,22.0,ntb01151,,,D/L
Somerset,,ntb01152,7.0,,
Northamptonshire,78.0,ntb01153,,,
Surrey,81.0,ntb01154,,,
Worcestershire,,ntb01155,7.0,,
Birmingham Bears,,ntb01156,2.0,,
Kent,,ntb01157,6.0,,
Gloucestershire,,ntb01158,8.0,,D/L
Nottinghamshire,22.0,ntb01159,,,
Derbyshire,,ntb01160,6.0,,
Somerset,,ntb01161,8.0,,
Sussex,,ntb01162,7.0,,
Kent,,ntb01163,7.0,,
Birmingham Bears,4.0,ntb01164,,,
Middlesex,,ntb01165,7.0,,
Worcestershire,,ntb01166,5.0,,
Birmingham Bears,53.0,ntb01167,,,
Lancashire,27.0,ntb01168,,,
,,ntb01169,,no result,
Sussex,20.0,ntb01170,,,
Somerset,,ntb01171,4.0,,
Kent,55.0,ntb01172,,,
Hampshire,,ntb01173,4.0,,
Northamptonshire,92.0,ntb01174,,,
Birmingham Bears,,ntb01175,2.0,,
Hampshire,21.0,ntb01176,,,D/L
Somerset,18.0,ntb01177,,,
,,ntb01178,,tie,D/L
Middlesex,,ntb01179,2.0,,
Derbyshire,71.0,ntb01180,,,
Sussex,11.0,ntb01181,,,D/L
Gloucestershire,,ntb01182,5.0,,
Middlesex,49.0,ntb01183,,,
Lancashire,,ntb01184,6.0,,
Somerset,15.0,ntb01185,,,
Essex,,ntb01186,3.0,,
Worcestershire,28.0,ntb01187,,,
Hampshire,,ntb01188,8.0,,
Nottinghamshire,4.0,ntb01189,,,
Birmingham Bears,8.0,ntb01190,,,
Essex,,ntb01191,2.0,,
Surrey,13.0,ntb01192,,,
Somerset,,ntb01193,5.0,,
Hampshire,,ntb01194,5.0,,
Essex,,ntb01195,5.0,,D/L
Somerset,24.0,ntb01196,,,
Somerset,14.0,ntb01197,,,
Northamptonshire,,ntb01198,5.0,,
Yorkshire,,ntb01199,8.0,,
Surrey,,ntb01200,5.0,,
Lancashire,,ntb01201,9.0,,
Gloucestershire,,ntb01202,5.0,,
Leicestershire,,ntb01203,7.0,,
Worcestershire,,ntb01204,5.0,,
Sussex,,ntb01205,3.0,,
Surrey,19.0,ntb01206,,,
Northamptonshire,,ntb01207,8.0,,
Birmingham Bears,,ntb01208,6.0,,
Somerset,,ntb01209,4.0,,
Kent,98.0,ntb01210,,,
Birmingham Bears,22.0,ntb01211,,,
Derbyshire,,ntb01212,4.0,,
Essex,,ntb01213,4.0,,
Glamorgan,25.0,ntb01214,,,
Hampshire,,ntb01215,3.0,,
Yorkshire,29.0,ntb01216,,,
Surrey,57.0,ntb01217,,,
Lancashire,57.0,ntb01218,,,
Glamorgan,,ntb01219,3.0,,
Worcestershire,20.0,ntb01220,,,
Durham,,ntb01221,7.0,,
Sussex,36.0,ntb01222,,,
Northamptonshire,6.0,ntb01223,,,
Lancashire,8.0,ntb01224,,,
Hampshire,,ntb01225,5.0,,
Kent,,ntb01226,4.0,,
Derbyshire,96.0,ntb01227,,,
Essex,,ntb01228,2.0,,
Durham,26.0,ntb01229,,,
Sussex,48.0,ntb01230,,,
Middlesex,,ntb01231,4.0,,
Leicestershire,4.0,ntb01232,,,
Lancashire,,ntb01233,6.0,,
Yorkshire,,ntb01234,9.0,,
Somerset,63.0,ntb01235,,,
Somerset,,ntb01236,9.0,,
Leicestershire,10.0,ntb01237,,,
Essex,16.0,ntb01238,,,D/L
Nottinghamshire,1.0,ntb01239,,,D/L
Birmingham Bears,,ntb01240,4.0,,
,,ntb01241,,tie,
Somerset,14.0,ntb01242,,,D/L
,,ntb01243,,no result,
Derbyshire,24.0,ntb01244,,,D/L
Lancashire,25.0,ntb01245,,,
Sussex,,ntb01246,8.0,,
,,ntb01247,,no result,
Surrey,54.0,ntb01248,,,
Birmingham Bears,,ntb01249,7.0,,
Durham,2.0,ntb01250,,,
Gloucestershire,,ntb01251,9.0,,
Somerset,108.0,ntb01252,,,
Northamptonshire,11.0,ntb01253,,,
Leicestershire,20.0,ntb01254,,,
Gloucestershire,,ntb01255,2.0,,
Surrey,56.0,ntb01256,,,
Sussex,31.0,ntb01257,,,
Birmingham Bears,90.0,ntb01258,,,
Yorkshire,7.0,ntb01259,,,
Essex,,ntb01260,8.0,,
Nottinghamshire,8.0,ntb01261,,,
Birmingham Bears,,ntb01262,5.0,,
Surrey,,ntb01263,9.0,,
,,ntb01264,,tie,
Sussex,7.0,ntb01265,,,
Durham,3.0,ntb01266,,,
Essex,,ntb01267,5.0,,
Gloucestershire,,ntb01268,5.0,,
Durham,22.0,ntb01269,,,
Kent,8.0,ntb01270,,,D/L
,,ntb01271,,no result,
Glamorgan,24.0,ntb01272,,,D/L
Birmingham Bears,4.0,ntb01273,,,
Derbyshire,,ntb01274,4.0,,
Glamorgan,26.0,ntb01275,,,
Lancashire,,ntb01276,2.0,,
Northamptonshire,,ntb01277,5.0,,
Birmingham Bears,,ntb01278,9.0,,
Gloucestershire,,ntb01279,5.0,,
Surrey,5.0,ntb01280,,,D/L
Derbyshire,,ntb01281,7.0,,
Sussex,22.0,ntb01282,,,
Yorkshire,,ntb01283,7.0,,
Middlesex,29.0,ntb01284,,,
Essex,22.0,ntb01285,,,
Worcestershire,16.0,ntb01286,,,
Durham,30.0,ntb01287,,,
Middlesex,,ntb01288,6.0,,
Hampshire,,ntb01289,5.0,,
Sussex,88.0,ntb01290,,,
Leicestershire,,ntb01291,3.0,,
Somerset,,ntb01292,6.0,,
Worcestershire,55.0,ntb01293,,,
Essex,,ntb01294,5.0,,
Yorkshire,,ntb01295,6.0,,
Birmingham Bears,44.0,ntb01296,,,
Leicestershire,,ntb01297,5.0,,
Surrey,13.0,ntb01298,,,
Gloucestershire,121.0,ntb01299,,,
Northamptonshire,,ntb01300,6.0,,
Somerset,,ntb01301,9.0,,
Glamorgan,13.0,ntb01302,,,
Lancashire,,ntb01303,8.0,,
Derbyshire,,ntb01304,5.0,,
Surrey,,ntb01305,5.0,,
Northamptonshire,11.0,ntb01306,,,
Gloucestershire,10.0,ntb01307,,,
Somerset,,ntb01308,6.0,,
Birmingham Bears,72.0,ntb01309,,,
Sussex,,ntb01310,9.0,,
Northamptonshire,,ntb01311,4.0,,
Nottinghamshire,28.0,ntb01312,,,
Hampshire,7.0,ntb01313,,,
Glamorgan,120.0,ntb01314,,,
Durham,,ntb01315,8.0,,
Kent,86.0,ntb01316,,,
Surrey,,ntb01317,5.0,,
Sussex,,ntb01318,8.0,,
Somerset,17.0,ntb01319,,,
Gloucestershire,14.0,ntb01320,,,
Somerset,,ntb01321,6.0,,
Gloucestershire,,ntb01322,8.0,,
Gloucestershire,,ntb01323,8.0,,
