balls_per_over,city,date,gender,match_type,overs,player_of_match,season,team_type,venue,key,missing
6,Nottingham,2014-06-28,male,T20,20,JWA Taylor,2014,club,Trent Bridge,ntb00067,
6,Chester-le-Street,2014-06-29,male,T20,20,JW Hastings,2014,club,Riverside Ground,ntb00068,
6,Leeds,2014-07-01,male,T20,20,AJ Finch,2014,club,Headingley,ntb00069,
6,London,2014-07-02,male,T20,20,JJ Roy,2014,club,Kennington Oval,ntb00070,
6,Leeds,2014-07-02,male,T20,20,P Mustard,2014,club,Headingley,ntb00071,
6,Richmond,2014-07-03,male,T20,20,J Allenby,2014,club,Old Deer Park,ntb00072,
6,Northampton,2014-07-03,male,T20,20,GG White,2014,club,County Ground,ntb00073,
6,Bristol,2014-07-04,male,T20,20,IA Cockbain,2014,club,County Ground,ntb00074,
6,Chelmsford,2014-07-04,male,T20,20,RN ten Doeschate,2014,club,County Ground,ntb00075,
6,Leicester,2014-07-04,male,T20,20,,2014,club,Grace Road,ntb00076,
6,Canterbury,2014-07-04,male,T20,20,WR Smith,2014,club,St Lawrence Ground,ntb00077,
6,Southampton,2014-07-06,male,T20,20,C Kieswetter,2014,club,The Rose Bowl,ntb00078,
6,Worcester,2014-07-06,male,T20,20,JC Buttler,2014,club,"County Ground, New Road",ntb00079,
6,Chesterfield,2014-07-06,male,T20,20,AJ Ireland,2014,club,Queen's Park,ntb00080,
6,Birmingham,2014-07-08,male,T20,20,SJ Mullaney,2014,club,Edgbaston,ntb00081,
6,Southampton,2014-07-11,male,T20,20,PR Stirling,2014,club,The Rose Bowl,ntb00082,
6,Birmingham,2014-07-11,male,T20,20,V Chopra,2014,club,Edgbaston,ntb00083,
6,Leicester,2014-07-11,male,T20,20,SJ Croft,2014,club,Grace Road,ntb00084,
6,Chester-le-Street,2014-07-11,male,T20,20,JM Bairstow,2014,club,Riverside Ground,ntb00085,
6,London,2014-07-11,male,T20,20,JA Rudolph,2014,club,Kennington Oval,ntb00086,
6,Taunton,2014-07-11,male,T20,20,AC Thomas,2014,club,The Cooper Associates County Ground,ntb00087,
6,Hove,2014-07-11,male,T20,20,AJ Blake,2014,club,County Ground,ntb00088,
6,Northampton,2014-07-11,male,T20,20,RE Levi,2014,club,County Ground,ntb00089,
6,Colchester,2014-07-12,male,T20,20,T Westley,2014,club,Castle Park Cricket Ground,ntb00090,
6,Chesterfield,2014-07-13,male,T20,20,AZ Lees,2014,club,Queen's Park,ntb00091,
6,Hove,2014-07-15,male,T20,20,WAT Beer,2014,club,County Ground,ntb00092,
6,London,2014-07-16,male,T20,20,MP Dunn,2014,club,Kennington Oval,ntb00093,
6,Cardiff,2014-07-18,male,T20,20,JD Ryder,2014,club,Sophia Gardens,ntb00094,
6,Northampton,2014-07-18,male,T20,20,C Munro,2014,club,County Ground,ntb00095,
6,Leeds,2014-07-18,male,T20,20,LJ Evans,2014,club,Headingley,ntb00096,
6,Leicester,2014-07-18,male,T20,20,MAG Boyce,2014,club,Grace Road,ntb00097,
6,Cheltenham,2014-07-18,male,T20,20,ZS Ansari,2014,club,College Ground,ntb00098,
6,Canterbury,2014-07-18,male,T20,20,SA Northeast,2014,club,St Lawrence Ground,ntb00099,
6,Southampton,2014-07-18,male,T20,20,LJ Wright,2014,club,The Rose Bowl,ntb00100,
6,Manchester,2014-07-18,male,T20,20,AG Prince,2014,club,Old Trafford,ntb00101,
6,Nottingham,2014-07-20,male,T20,20,SR Patel,2014,club,Trent Bridge,ntb00102,
6,Cheltenham,2014-07-20,male,T20,20,CDJ Dent,2014,club,College Ground,ntb00103,
