decision,winner,key
field,Somerset,ntb00219
field,Surrey,ntb00220
bat,Essex,ntb00221
field,Derbyshire,ntb00222
field,Kent,ntb00223
field,Northamptonshire,ntb00224
field,Gloucestershire,ntb00225
bat,Worcestershire,ntb00226
bat,Lancashire,ntb00227
bat,Surrey,ntb00228
field,Sussex,ntb00229
field,Northamptonshire,ntb00230
field,Warwickshire,ntb00231
bat,Middlesex,ntb00232
field,Durham,ntb00233
bat,Derbyshire,ntb00234
bat,Glamorgan,ntb00235
field,Northamptonshire,ntb00236
bat,Hampshire,ntb00237
bat,Middlesex,ntb00238
field,Gloucestershire,ntb00239
bat,Warwickshire,ntb00240
field,Northamptonshire,ntb00241
field,Worcestershire,ntb00242
field,Lancashire,ntb00243
field,Northamptonshire,ntb00244
bat,Hampshire,ntb00245
field,Northamptonshire,ntb00246
field,Gloucestershire,ntb00247
bat,Somerset,ntb00248
field,Essex,ntb00249
field,Durham,ntb00250
field,Northamptonshire,ntb00251
field,Warwickshire,ntb00252
field,Derbyshire,ntb00253
bat,Surrey,ntb00254
field,Hampshire,ntb00255
field,Northamptonshire,ntb00256
field,Durham,ntb00257
field,Yorkshire,ntb00258
field,Worcestershire,ntb00259
field,Essex,ntb00260
field,Nottinghamshire,ntb00261
field,Somerset,ntb00262
bat,Middlesex,ntb00263
field,Kent,ntb00264
bat,Yorkshire,ntb00265
field,Yorkshire,ntb00266
field,Derbyshire,ntb00267
bat,Worcestershire,ntb00268
field,Gloucestershire,ntb00269
field,Glamorgan,ntb00270
field,Warwickshire,ntb00271
bat,Surrey,ntb00272
field,Somerset,ntb00273
field,Leicestershire,ntb00274
field,Nottinghamshire,ntb00275
field,Hampshire,ntb00276
bat,Surrey,ntb00277
field,Worcestershire,ntb00278
bat,Surrey,ntb00279
field,Sussex,ntb00280
field,Glamorgan,ntb00281
field,Lancashire,ntb00282
bat,Middlesex,ntb00283
field,Gloucestershire,ntb00284
field,Warwickshire,ntb00285
field,Durham,ntb00286
field,Kent,ntb00287
field,Middlesex,ntb00288
field,Gloucestershire,ntb00289
field,Nottinghamshire,ntb00290
field,Lancashire,ntb00291
field,Somerset,ntb00292
field,Yorkshire,ntb00293
field,Somerset,ntb00294
bat,Hampshire,ntb00295
bat,Middlesex,ntb00296
field,Nottinghamshire,ntb00297
bat,Surrey,ntb00298
field,Worcestershire,ntb00299
field,Durham,ntb00300
field,Warwickshire,ntb00301
field,Essex,ntb00302
field,Northamptonshire,ntb00303
field,Sussex,ntb00304
field,Durham,ntb00305
bat,Kent,ntb00306
field,Derbyshire,ntb00307
field,Gloucestershire,ntb00308
field,Kent,ntb00309
field,Lancashire,ntb00310
field,Sussex,ntb00311
field,Northamptonshire,ntb00312
bat,Surrey,ntb00313
field,Sussex,ntb00314
bat,Kent,ntb00315
bat,Yorkshire,ntb00316
field,Leicestershire,ntb00317
bat,Essex,ntb00318
field,Glamorgan,ntb00319
field,Gloucestershire,ntb00320
field,Lancashire,ntb00321
field,Nottinghamshire,ntb00322
field,Somerset,ntb00323
field,Nottinghamshire,ntb00324
field,Durham,ntb00325
field,Derbyshire,ntb00326
bat,Glamorgan,ntb00327
field,Derbyshire,ntb00328
field,Glamorgan,ntb00329
bat,Yorkshire,ntb00330
bat,Surrey,ntb00331
field,Durham,ntb00332
bat,Somerset,ntb00333
bat,Hampshire,ntb00334
field,Lancashire,ntb00335
field,Worcestershire,ntb00336
field,Essex,ntb00337
field,Leicestershire,ntb00338
field,Warwickshire,ntb00339
bat,Yorkshire,ntb00340
bat,Surrey,ntb00341
field,Essex,ntb00342
bat,Essex,ntb00343
field,Durham,ntb00344
bat,Middlesex,ntb00345
bat,Yorkshire,ntb00346
field,Nottinghamshire,ntb00347
field,Glamorgan,ntb00348
field,Surrey,ntb00349
field,Worcestershire,ntb00350
field,Essex,ntb00351
