team_1,team_2,key
Sussex,Surrey,ntb00174
Yorkshire,Northamptonshire,ntb00175
Derbyshire,Leicestershire,ntb00176
Essex,Kent,ntb00177
Lancashire,Worcestershire,ntb00178
Hampshire,Middlesex,ntb00179
Warwickshire,Leicestershire,ntb00180
Essex,Glamorgan,ntb00181
Gloucestershire,Somerset,ntb00182
Hampshire,Sussex,ntb00183
Derbyshire,Worcestershire,ntb00184
Northamptonshire,Lancashire,ntb00185
Kent,Surrey,ntb00186
Yorkshire,Nottinghamshire,ntb00187
Glamorgan,Sussex,ntb00188
Yorkshire,Warwickshire,ntb00189
Durham,Lancashire,ntb00190
Essex,Hampshire,ntb00191
Northamptonshire,Worcestershire,ntb00192
Middlesex,Somerset,ntb00193
Derbyshire,Nottinghamshire,ntb00194
Warwickshire,Lancashire,ntb00195
Gloucestershire,Sussex,ntb00196
Surrey,Glamorgan,ntb00197
Leicestershire,Yorkshire,ntb00198
Northamptonshire,Nottinghamshire,ntb00199
Glamorgan,Somerset,ntb00200
Gloucestershire,Surrey,ntb00201
Middlesex,Sussex,ntb00202
Warwickshire,Derbyshire,ntb00203
Durham,Leicestershire,ntb00204
Glamorgan,Hampshire,ntb00205
Lancashire,Yorkshire,ntb00206
Worcestershire,Nottinghamshire,ntb00207
Somerset,Gloucestershire,ntb00208
Middlesex,Surrey,ntb00209
Sussex,Kent,ntb00210
Warwickshire,Leicestershire,ntb00211
Durham,Worcestershire,ntb00212
Northamptonshire,Derbyshire,ntb00213
Hampshire,Surrey,ntb00214
Kent,Somerset,ntb00215
Lancashire,Leicestershire,ntb00216
Essex,Middlesex,ntb00217
Nottinghamshire,Derbyshire,ntb00218
Glamorgan,Sussex,ntb00219
Worcestershire,Warwickshire,ntb00220
Durham,Yorkshire,ntb00221
Yorkshire,Derbyshire,ntb00222
Gloucestershire,Kent,ntb00223
Leicestershire,Northamptonshire,ntb00224
Hampshire,Gloucestershire,ntb00225
Worcestershire,Yorkshire,ntb00226
Lancashire,Nottinghamshire,ntb00227
Hampshire,Sussex,ntb00228
Glamorgan,Kent,ntb00229
Surrey,Somerset,ntb00230
Nottinghamshire,Durham,ntb00231
Middlesex,Essex,ntb00232
Yorkshire,Northamptonshire,ntb00233
Derbyshire,Worcestershire,ntb00234
Lancashire,Warwickshire,ntb00235
Warwickshire,Northamptonshire,ntb00236
Hampshire,Somerset,ntb00237
Middlesex,Surrey,ntb00238
Glamorgan,Gloucestershire,ntb00239
Warwickshire,Yorkshire,ntb00240
Sussex,Northamptonshire,ntb00241
Hampshire,Worcestershire,ntb00242
Kent,Lancashire,ntb00243
Lancashire,Northamptonshire,ntb00244
Warwickshire,Northamptonshire,ntb00245
Hampshire,Lancashire,ntb00246
Nottinghamshire,Warwickshire,ntb00247
Worcestershire,Durham,ntb00248
Leicestershire,Northamptonshire,ntb00249
Kent,Somerset,ntb00250
Essex,Surrey,ntb00251
Gloucestershire,Sussex,ntb00252
Lancashire,Derbyshire,ntb00253
Surrey,Glamorgan,ntb00254
Warwickshire,Worcestershire,ntb00255
Northamptonshire,Derbyshire,ntb00256
Lancashire,Durham,ntb00257
Yorkshire,Leicestershire,ntb00258
Middlesex,Hampshire,ntb00259
Sussex,Somerset,ntb00260
Glamorgan,Essex,ntb00261
Durham,Nottinghamshire,ntb00262
Middlesex,Gloucestershire,ntb00263
Hampshire,Kent,ntb00264
Worcestershire,Yorkshire,ntb00265
Warwickshire,Durham,ntb00266
Somerset,Essex,ntb00267
Glamorgan,Hampshire,ntb00268
Derbyshire,Leicestershire,ntb00269
Sussex,Surrey,ntb00270
Northamptonshire,Worcestershire,ntb00271
Lancashire,Yorkshire,ntb00272
Kent,Gloucestershire,ntb00273
Leicestershire,Durham,ntb00274
Nottinghamshire,Lancashire,ntb00275
Kent,Hampshire,ntb00276
Surrey,Hampshire,ntb00277
Lancashire,Leicestershire,ntb00278
Sussex,Kent,ntb00279
Gloucestershire,Glamorgan,ntb00280
Worcestershire,Northamptonshire,ntb00281
Essex,Middlesex,ntb00282
Somerset,Surrey,ntb00283
Essex,Gloucestershire,ntb00284
Surrey,Middlesex,ntb00285
Gloucestershire,Somerset,ntb00286
Northamptonshire,Durham,ntb00287
Derbyshire,Warwickshire,ntb00288
Glamorgan,Kent,ntb00289
Worcestershire,Nottinghamshire,ntb00290
Yorkshire,Derbyshire,ntb00291
Somerset,Hampshire,ntb00292
Warwickshire,Lancashire,ntb00293
Middlesex,Somerset,ntb00294
Derbyshire,Nottinghamshire,ntb00295
Glamorgan,Surrey,ntb00296
Lancashire,Worcestershire,ntb00297
Durham,Yorkshire,ntb00298
Leicestershire,Warwickshire,ntb00299
Kent,Middlesex,ntb00300
Essex,Hampshire,ntb00301
Surrey,Essex,ntb00302
Northamptonshire,Leicestershire,ntb00303
Sussex,Gloucestershire,ntb00304
Kent,Sussex,ntb00305
Durham,Worcestershire,ntb00306
Worcestershire,Derbyshire,ntb00307
Somerset,Gloucestershire,ntb00308
Essex,Kent,ntb00309
Yorkshire,Lancashire,ntb00310
Sussex,Middlesex,ntb00311
Warwickshire,Northamptonshire,ntb00312
Gloucestershire,Surrey,ntb00313
Somerset,Kent,ntb00314
Glamorgan,Sussex,ntb00315
Surrey,Somerset,ntb00316
Worcestershire,Lancashire,ntb00317
Northamptonshire,Nottinghamshire,ntb00318
Middlesex,Glamorgan,ntb00319
Hampshire,Essex,ntb00320
Leicestershire,Derbyshire,ntb00321
Yorkshire,Warwickshire,ntb00322
Gloucestershire,Kent,ntb00323
Nottinghamshire,Worcestershire,ntb00324
Derbyshire,Yorkshire,ntb00325
Durham,Leicestershire,ntb00326
Glamorgan,Gloucestershire,ntb00327
Derbyshire,Lancashire,ntb00328
Hampshire,Glamorgan,ntb00329
Worcestershire,Warwickshire,ntb00330
Sussex,Hampshire,ntb00331
Leicestershire,Lancashire,ntb00332
Somerset,Middlesex,ntb00333
Durham,Northamptonshire,ntb00334
Kent,Surrey,ntb00335
Nottinghamshire,Yorkshire,ntb00336
Gloucestershire,Essex,ntb00337
Warwickshire,Leicestershire,ntb00338
Northamptonshire,Warwickshire,ntb00339
Yorkshire,Durham,ntb00340
Middlesex,Surrey,ntb00341
