key_id,decision,winner
t20s0237,field,New Zealand
t20s0238,bat,West Indies
t20s0239,field,Ireland
t20s0240,bat,Netherlands
t20s0241,bat,Bangladesh
t20s0242,field,Sri Lanka
t20s0243,bat,Pakistan
t20s0244,field,Pakistan
t20s0245,bat,England
t20s0246,bat,Pakistan
t20s0247,bat,West Indies
t20s0248,field,South Africa
t20s0249,field,Pakistan
t20s0250,field,West Indies
t20s0251,field,England
t20s0252,field,India
t20s0253,field,South Africa
t20s0254,bat,England
t20s0255,bat,England
t20s0256,field,West Indies
t20s0257,field,Zimbabwe
t20s0258,field,Afghanistan
t20s0259,bat,Ireland
t20s0260,field,South Africa
t20s0261,field,Afghanistan
t20s0262,field,Bangladesh
t20s0263,bat,West Indies
t20s0264,field,Sri Lanka
t20s0265,field,England
t20s0266,bat,Pakistan
t20s0267,field,West Indies
t20s0268,bat,Bangladesh
t20s0269,field,West Indies
t20s0270,field,South Africa
t20s0271,bat,India
t20s0272,field,Pakistan
t20s0273,bat,West Indies
t20s0274,bat,New Zealand
t20s0275,field,West Indies
t20s0276,field,South Africa
t20s0277,bat,India
t20s0278,bat,South Africa
t20s0279,bat,India
t20s0280,bat,Australia
t20s0281,bat,West Indies
t20s0282,bat,New Zealand
t20s0283,bat,Sri Lanka
t20s0284,field,West Indies
t20s0285,bat,Pakistan
t20s0286,field,Australia
t20s0287,bat,Australia
t20s0288,bat,Pakistan
t20s0289,field,England
t20s0290,field,New Zealand
t20s0291,field,South Africa
t20s0292,field,Australia
t20s0293,bat,Sri Lanka
t20s0294,field,England
t20s0295,bat,Sri Lanka
t20s0296,bat,Australia
t20s0297,bat,West Indies
t20s0298,field,England
t20s0299,bat,West Indies
t20s0300,bat,Pakistan
t20s0301,field,Sri Lanka
t20s0302,field,Pakistan
t20s0303,field,Sri Lanka
t20s0304,bat,India
t20s0305,bat,West Indies
t20s0306,field,India
t20s0307,bat,New Zealand
t20s0308,field,England
t20s0309,field,New Zealand
t20s0310,field,Pakistan
t20s0311,bat,South Africa
t20s0312,field,Pakistan
t20s0313,bat,South Africa
t20s0314,field,West Indies
t20s0315,bat,Australia
t20s0316,field,Australia
t20s0317,field,New Zealand
t20s0318,field,England
t20s0319,bat,West Indies
t20s0320,field,England
t20s0321,bat,Zimbabwe
t20s0322,bat,Sri Lanka
t20s0323,bat,West Indies
t20s0324,bat,Afghanistan
t20s0325,bat,Pakistan
t20s0326,bat,Scotland
t20s0327,field,Sri Lanka
t20s0328,bat,West Indies
t20s0329,bat,Kenya
t20s0330,bat,Kenya
t20s0331,field,Bangladesh
