winner,by.runs,key,by.wickets,method,eliminator,result
Royal Challengers Bangalore,,ipl00199,9.0,,,
Delhi Daredevils,29.0,ipl00200,,,,
Rajasthan Royals,,ipl00201,8.0,,,
Mumbai Indians,37.0,ipl00202,,,,
Chennai Super Kings,25.0,ipl00203,,,,
Royal Challengers Bangalore,,ipl00204,3.0,,,
Chennai Super Kings,,ipl00205,8.0,,,
Deccan Chargers,55.0,ipl00206,,,,
Kolkata Knight Riders,17.0,ipl00207,,,,
Royal Challengers Bangalore,26.0,ipl00208,,,,
Rajasthan Royals,,ipl00209,7.0,,,
Kolkata Knight Riders,,ipl00210,8.0,,,
Delhi Daredevils,38.0,ipl00211,,,,
Chennai Super Kings,19.0,ipl00212,,,,
Rajasthan Royals,,ipl00213,6.0,,,
Kochi Tuskers Kerala,,ipl00214,7.0,,,
Mumbai Indians,23.0,ipl00215,,,,
Kolkata Knight Riders,20.0,ipl00216,,,,
Chennai Super Kings,,ipl00217,8.0,,,
Mumbai Indians,21.0,ipl00218,,,,
Kochi Tuskers Kerala,17.0,ipl00219,,,,
Delhi Daredevils,,ipl00220,4.0,,,
Royal Challengers Bangalore,85.0,ipl00221,,,,
Kolkata Knight Riders,10.0,ipl00222,,D/L,,
Mumbai Indians,32.0,ipl00223,,,,
Royal Challengers Bangalore,,ipl00224,9.0,,,
Pune Warriors,,ipl00225,5.0,,,
Chennai Super Kings,63.0,ipl00226,,,,
Pune Warriors,,ipl00227,6.0,,,
Kings XI Punjab,76.0,ipl00228,,,,
Royal Challengers Bangalore,,ipl00229,9.0,,,
Chennai Super Kings,18.0,ipl00230,,,,
Kings XI Punjab,,ipl00231,6.0,,,
Deccan Chargers,10.0,ipl00232,,,,
Royal Challengers Bangalore,,ipl00233,4.0,D/L,,
Kochi Tuskers Kerala,,ipl00234,8.0,,,
Kings XI Punjab,29.0,ipl00235,,,,
Deccan Chargers,,ipl00236,6.0,,,
Kings XI Punjab,111.0,ipl00237,,,,
Chennai Super Kings,11.0,ipl00238,,,,
Kolkata Knight Riders,,ipl00239,7.0,,,
Rajasthan Royals,,ipl00240,10.0,,,
Deccan Chargers,82.0,ipl00241,,,,
,,ipl00242,,,,no result
Mumbai Indians,,ipl00243,5.0,,,
Royal Challengers Bangalore,,ipl00244,8.0,,,
Chennai Super Kings,,ipl00245,6.0,,,
Mumbai Indians,,ipl00246,4.0,,,
Royal Challengers Bangalore,43.0,ipl00247,,,,
Chennai Super Kings,58.0,ipl00248,,,,
Mumbai Indians,,ipl00249,8.0,,,
Delhi Daredevils,,ipl00250,8.0,,,
Rajasthan Royals,31.0,ipl00251,,,,
Pune Warriors,28.0,ipl00252,,,,
Chennai Super Kings,74.0,ipl00253,,,,
Royal Challengers Bangalore,20.0,ipl00254,,,,
Pune Warriors,22.0,ipl00255,,,,
Rajasthan Royals,22.0,ipl00256,,,,
Mumbai Indians,,ipl00257,5.0,,,
Delhi Daredevils,,ipl00258,8.0,,,
Kolkata Knight Riders,42.0,ipl00259,,,,
Mumbai Indians,27.0,ipl00260,,,,
Chennai Super Kings,,ipl00261,5.0,,,
Kings XI Punjab,,ipl00262,7.0,,,
Kolkata Knight Riders,,ipl00263,5.0,,,
Pune Warriors,,ipl00264,7.0,,,
Kings XI Punjab,2.0,ipl00265,,,,
Rajasthan Royals,59.0,ipl00266,,,,
Delhi Daredevils,,ipl00267,7.0,,,
Rajasthan Royals,,ipl00268,5.0,,,
Royal Challengers Bangalore,,ipl00269,6.0,,,
Kolkata Knight Riders,,ipl00270,8.0,,,
Delhi Daredevils,,ipl00271,5.0,,,
Chennai Super Kings,13.0,ipl00272,,,,
Royal Challengers Bangalore,,ipl00273,5.0,,,
Pune Warriors,20.0,ipl00274,,,,
Chennai Super Kings,,ipl00275,7.0,,,
Kings XI Punjab,,ipl00276,6.0,,,
Kolkata Knight Riders,,ipl00277,5.0,,,
Royal Challengers Bangalore,46.0,ipl00278,,,,
Delhi Daredevils,,ipl00279,8.0,,,
Mumbai Indians,,ipl00280,4.0,,,
Deccan Chargers,18.0,ipl00281,,,,
Delhi Daredevils,37.0,ipl00282,,,,
Kings XI Punjab,7.0,ipl00283,,,,
Kolkata Knight Riders,47.0,ipl00284,,,,
Delhi Daredevils,1.0,ipl00285,,,,
Mumbai Indians,,ipl00286,5.0,,,
Kolkata Knight Riders,,ipl00287,5.0,,,
Deccan Chargers,13.0,ipl00288,,,,
Delhi Daredevils,,ipl00289,6.0,,,
Kings XI Punjab,,ipl00290,4.0,,,
Mumbai Indians,1.0,ipl00291,,,,
Chennai Super Kings,10.0,ipl00292,,,,
Kolkata Knight Riders,7.0,ipl00293,,,,
Rajasthan Royals,43.0,ipl00294,,,,
Mumbai Indians,,ipl00295,2.0,,,
Royal Challengers Bangalore,,ipl00296,5.0,,,
Kolkata Knight Riders,,ipl00297,6.0,,,
Rajasthan Royals,,ipl00298,7.0,,,
Kings XI Punjab,25.0,ipl00299,,,,
Royal Challengers Bangalore,,ipl00300,9.0,,,
Delhi Daredevils,,ipl00301,9.0,,,
Chennai Super Kings,,ipl00302,4.0,,,
Royal Challengers Bangalore,35.0,ipl00303,,,,
Mumbai Indians,27.0,ipl00304,,,,
Chennai Super Kings,,ipl00305,9.0,,,
Rajasthan Royals,45.0,ipl00306,,,,
Kings XI Punjab,,ipl00307,4.0,,,
Mumbai Indians,,ipl00308,5.0,,,
Chennai Super Kings,,ipl00309,5.0,,,
Delhi Daredevils,,ipl00310,5.0,,,
Kolkata Knight Riders,32.0,ipl00311,,,,
Kings XI Punjab,,ipl00312,6.0,,,
Royal Challengers Bangalore,21.0,ipl00313,,,,
Deccan Chargers,,ipl00314,5.0,,,
Delhi Daredevils,,ipl00315,6.0,,,
Kolkata Knight Riders,34.0,ipl00316,,,,
Deccan Chargers,9.0,ipl00317,,,,
Mumbai Indians,,ipl00318,10.0,,,
Kolkata Knight Riders,18.0,ipl00319,,,,
Chennai Super Kings,38.0,ipl00320,,,,
Chennai Super Kings,86.0,ipl00321,,,,
Kolkata Knight Riders,,ipl00322,5.0,,,
Kolkata Knight Riders,,ipl00323,6.0,,,
Royal Challengers Bangalore,2.0,ipl00324,,,,
Sunrisers Hyderabad,22.0,ipl00325,,,,
Rajasthan Royals,5.0,ipl00326,,,,
Mumbai Indians,9.0,ipl00327,,,,
Kings XI Punjab,,ipl00328,8.0,,,
,,ipl00329,,,Sunrisers Hyderabad,tie
Rajasthan Royals,19.0,ipl00330,,,,
Mumbai Indians,44.0,ipl00331,,,,
Royal Challengers Bangalore,,ipl00332,7.0,,,
Chennai Super Kings,,ipl00333,10.0,,,
Royal Challengers Bangalore,,ipl00334,8.0,,,
Pune Warriors,,ipl00335,7.0,,,
Sunrisers Hyderabad,,ipl00336,3.0,,,
Mumbai Indians,41.0,ipl00337,,,,
Chennai Super Kings,,ipl00338,4.0,,,
Rajasthan Royals,,ipl00339,6.0,,,
Kolkata Knight Riders,48.0,ipl00340,,,,
Pune Warriors,24.0,ipl00341,,,,
Kings XI Punjab,4.0,ipl00342,,,,
,,ipl00343,,,Royal Challengers Bangalore,tie
Sunrisers Hyderabad,11.0,ipl00344,,,,
Rajasthan Royals,87.0,ipl00345,,,,
Chennai Super Kings,86.0,ipl00346,,,,
Sunrisers Hyderabad,,ipl00347,5.0,,,
Chennai Super Kings,,ipl00348,4.0,,,
Royal Challengers Bangalore,,ipl00349,7.0,,,
Delhi Daredevils,,ipl00350,9.0,,,
Kings XI Punjab,,ipl00351,7.0,,,
Chennai Super Kings,,ipl00352,5.0,,,
Royal Challengers Bangalore,130.0,ipl00353,,,,
Kings XI Punjab,,ipl00354,5.0,,,
Mumbai Indians,,ipl00355,5.0,,,
Chennai Super Kings,,ipl00356,5.0,,,
Kolkata Knight Riders,,ipl00357,6.0,,,
Mumbai Indians,58.0,ipl00358,,,,
Rajasthan Royals,,ipl00359,8.0,,,
Chennai Super Kings,14.0,ipl00360,,,,
Delhi Daredevils,15.0,ipl00361,,,,
Rajasthan Royals,,ipl00362,4.0,,,
Mumbai Indians,4.0,ipl00363,,,,
Chennai Super Kings,37.0,ipl00364,,,,
Sunrisers Hyderabad,,ipl00365,7.0,,,
Delhi Daredevils,,ipl00366,7.0,,,
Chennai Super Kings,15.0,ipl00367,,,,
Royal Challengers Bangalore,17.0,ipl00368,,,,
Kolkata Knight Riders,,ipl00369,8.0,,,
Sunrisers Hyderabad,,ipl00370,6.0,,,
Mumbai Indians,60.0,ipl00371,,,,
Rajasthan Royals,,ipl00372,5.0,,,
Kings XI Punjab,,ipl00373,6.0,,,
Rajasthan Royals,,ipl00374,9.0,,,
Mumbai Indians,65.0,ipl00375,,,,
Chennai Super Kings,77.0,ipl00376,,,,
Rajasthan Royals,,ipl00377,8.0,,,
Kolkata Knight Riders,46.0,ipl00378,,,,
Royal Challengers Bangalore,4.0,ipl00379,,,,
Mumbai Indians,,ipl00380,5.0,,,
Sunrisers Hyderabad,30.0,ipl00381,,,,
Rajasthan Royals,,ipl00382,5.0,,,
Kolkata Knight Riders,,ipl00383,5.0,,,
Mumbai Indians,,ipl00384,7.0,,,
Chennai Super Kings,33.0,ipl00385,,,,
Kings XI Punjab,,ipl00386,7.0,,,
Pune Warriors,7.0,ipl00387,,,,
Mumbai Indians,14.0,ipl00388,,,,
Kings XI Punjab,7.0,ipl00389,,,,
Sunrisers Hyderabad,23.0,ipl00390,,,,
Kings XI Punjab,50.0,ipl00391,,,,
Royal Challengers Bangalore,24.0,ipl00392,,,,
Sunrisers Hyderabad,,ipl00393,5.0,,,
Pune Warriors,38.0,ipl00394,,,,
Chennai Super Kings,48.0,ipl00395,,,,
Rajasthan Royals,,ipl00396,4.0,,,
Mumbai Indians,,ipl00397,4.0,,,
Mumbai Indians,23.0,ipl00398,,,,
Kolkata Knight Riders,41.0,ipl00399,,,,
Royal Challengers Bangalore,,ipl00400,8.0,,,
Kings XI Punjab,,ipl00401,6.0,,,
Rajasthan Royals,,ipl00402,4.0,,,
Royal Challengers Bangalore,,ipl00403,7.0,,,
Delhi Daredevils,,ipl00404,4.0,,,
Kings XI Punjab,,ipl00405,7.0,,,
Chennai Super Kings,93.0,ipl00406,,,,
Kings XI Punjab,72.0,ipl00407,,,,
Chennai Super Kings,7.0,ipl00408,,,,
Kolkata Knight Riders,2.0,ipl00409,,,,
Chennai Super Kings,,ipl00410,7.0,,,
Sunrisers Hyderabad,4.0,ipl00411,,,,
Rajasthan Royals,,ipl00412,6.0,,,
Kings XI Punjab,23.0,ipl00413,,,,
Delhi Daredevils,,ipl00414,6.0,,,
Chennai Super Kings,,ipl00415,5.0,,,
Kings XI Punjab,,ipl00416,5.0,,,
,,ipl00417,,,Rajasthan Royals,tie
Sunrisers Hyderabad,15.0,ipl00418,,,,
Chennai Super Kings,34.0,ipl00419,,,,
Mumbai Indians,,ipl00420,5.0,,,
Rajasthan Royals,,ipl00421,7.0,,,
Royal Challengers Bangalore,,ipl00422,4.0,,,
Rajasthan Royals,10.0,ipl00423,,,,
Chennai Super Kings,,ipl00424,8.0,,,
Mumbai Indians,19.0,ipl00425,,,,
Kings XI Punjab,44.0,ipl00426,,,,
Kolkata Knight Riders,,ipl00427,8.0,,,
Sunrisers Hyderabad,32.0,ipl00428,,,,
Kings XI Punjab,32.0,ipl00429,,,,
Sunrisers Hyderabad,,ipl00430,8.0,D/L,,
Chennai Super Kings,,ipl00431,4.0,,,
Kolkata Knight Riders,,ipl00432,9.0,,,
Rajasthan Royals,,ipl00433,5.0,,,
Mumbai Indians,,ipl00434,7.0,,,
Chennai Super Kings,,ipl00435,5.0,,,
Royal Challengers Bangalore,16.0,ipl00436,,,,
Kings XI Punjab,,ipl00437,6.0,,,
Kolkata Knight Riders,,ipl00438,6.0,,,
Rajasthan Royals,62.0,ipl00439,,,,
Royal Challengers Bangalore,,ipl00440,5.0,,,
Kolkata Knight Riders,,ipl00441,7.0,,,
Mumbai Indians,25.0,ipl00442,,,,
Kings XI Punjab,,ipl00443,4.0,,,
Sunrisers Hyderabad,,ipl00444,7.0,,,
Kolkata Knight Riders,,ipl00445,8.0,,,
Mumbai Indians,,ipl00446,7.0,,,
Kolkata Knight Riders,30.0,ipl00447,,,,
Sunrisers Hyderabad,,ipl00448,6.0,,,
Mumbai Indians,15.0,ipl00449,,,,
Kings XI Punjab,16.0,ipl00450,,,,
Chennai Super Kings,,ipl00451,8.0,,,
Kolkata Knight Riders,,ipl00452,4.0,,,
Kings XI Punjab,,ipl00453,7.0,,,
Mumbai Indians,,ipl00454,5.0,,,
Kolkata Knight Riders,28.0,ipl00455,,,,
Chennai Super Kings,,ipl00456,7.0,,,
Kings XI Punjab,24.0,ipl00457,,,,
Kolkata Knight Riders,,ipl00458,3.0,,,
Kolkata Knight Riders,,ipl00459,7.0,,,
Chennai Super Kings,1.0,ipl00460,,,,
Rajasthan Royals,26.0,ipl00461,,,,
Chennai Super Kings,45.0,ipl00462,,,,
Royal Challengers Bangalore,,ipl00463,3.0,,,
Kings XI Punjab,18.0,ipl00464,,,,
Rajasthan Royals,,ipl00465,3.0,,,
Sunrisers Hyderabad,,ipl00466,8.0,,,
Rajasthan Royals,,ipl00467,7.0,,,
Delhi Daredevils,,ipl00468,5.0,,,
Rajasthan Royals,,ipl00469,6.0,,,
Chennai Super Kings,,ipl00470,6.0,,,
Delhi Daredevils,4.0,ipl00471,,,,
Kolkata Knight Riders,,ipl00472,4.0,,,
Rajasthan Royals,,ipl00473,8.0,,,
Mumbai Indians,18.0,ipl00474,,,,
Kolkata Knight Riders,,ipl00475,6.0,,,
,,ipl00476,,,Kings XI Punjab,tie
Sunrisers Hyderabad,16.0,ipl00477,,D/L,,
Chennai Super Kings,27.0,ipl00478,,,,
Delhi Daredevils,37.0,ipl00479,,,,
Royal Challengers Bangalore,,ipl00480,9.0,,,
Mumbai Indians,20.0,ipl00481,,,,
Chennai Super Kings,97.0,ipl00482,,,,
Royal Challengers Bangalore,,ipl00483,10.0,,,
Sunrisers Hyderabad,20.0,ipl00484,,,,
Chennai Super Kings,2.0,ipl00485,,,,
,,ipl00486,,,,no result
Kolkata Knight Riders,,ipl00487,7.0,,,
Delhi Daredevils,,ipl00488,9.0,,,
Mumbai Indians,8.0,ipl00489,,,,
Royal Challengers Bangalore,,ipl00490,7.0,,,
Sunrisers Hyderabad,22.0,ipl00491,,,,
Mumbai Indians,23.0,ipl00492,,,,
Rajasthan Royals,14.0,ipl00493,,,,
Chennai Super Kings,24.0,ipl00494,,,,
Kolkata Knight Riders,35.0,ipl00495,,,,
Mumbai Indians,,ipl00496,5.0,,,
Royal Challengers Bangalore,138.0,ipl00497,,,,
Kolkata Knight Riders,13.0,ipl00498,,,,
Sunrisers Hyderabad,7.0,ipl00499,,,,
Mumbai Indians,,ipl00500,6.0,,,
Kolkata Knight Riders,,ipl00501,1.0,,,
Sunrisers Hyderabad,6.0,ipl00502,,,,
Chennai Super Kings,12.0,ipl00503,,,,
Royal Challengers Bangalore,39.0,ipl00504,,,,
Sunrisers Hyderabad,5.0,ipl00505,,,,
Delhi Daredevils,,ipl00506,6.0,,,
Kings XI Punjab,22.0,ipl00507,,,,
Mumbai Indians,5.0,ipl00508,,,,
Royal Challengers Bangalore,,ipl00509,6.0,D/L,,
Chennai Super Kings,,ipl00510,7.0,,,
Rajasthan Royals,9.0,ipl00511,,,,
,,ipl00512,,,,no result
Mumbai Indians,,ipl00513,9.0,,,
Mumbai Indians,25.0,ipl00514,,,,
Royal Challengers Bangalore,71.0,ipl00515,,,,
Chennai Super Kings,,ipl00516,3.0,,,
Mumbai Indians,41.0,ipl00517,,,,
Rising Pune Supergiants,,ipl00518,9.0,,,
Kolkata Knight Riders,,ipl00519,9.0,,,
Gujarat Lions,,ipl00520,5.0,,,
Royal Challengers Bangalore,45.0,ipl00521,,,,
Mumbai Indians,,ipl00522,6.0,,,
Gujarat Lions,,ipl00523,7.0,,,
Delhi Daredevils,,ipl00524,8.0,,,
Gujarat Lions,,ipl00525,3.0,,,
Kolkata Knight Riders,,ipl00526,8.0,,,
Kings XI Punjab,,ipl00527,6.0,,,
Delhi Daredevils,,ipl00528,7.0,,,
Sunrisers Hyderabad,,ipl00529,7.0,,,
Kolkata Knight Riders,,ipl00530,6.0,,,
Mumbai Indians,,ipl00531,6.0,,,
Sunrisers Hyderabad,,ipl00532,10.0,,,
Royal Challengers Bangalore,13.0,ipl00533,,,,
Delhi Daredevils,10.0,ipl00534,,,,
Sunrisers Hyderabad,,ipl00535,5.0,,,
Kolkata Knight Riders,,ipl00536,2.0,,,
Gujarat Lions,,ipl00537,6.0,,,
Mumbai Indians,25.0,ipl00538,,,,
Rising Pune Supergiants,34.0,ipl00539,,D/L,,
Gujarat Lions,1.0,ipl00540,,,,
Mumbai Indians,,ipl00541,6.0,,,
Gujarat Lions,,ipl00542,3.0,,,
Delhi Daredevils,27.0,ipl00543,,,,
Sunrisers Hyderabad,15.0,ipl00544,,,,
Kings XI Punjab,23.0,ipl00545,,,,
Mumbai Indians,,ipl00546,8.0,,,
Kolkata Knight Riders,,ipl00547,5.0,,,
Delhi Daredevils,,ipl00548,8.0,,,
Kolkata Knight Riders,7.0,ipl00549,,,,
Rising Pune Supergiants,,ipl00550,7.0,,,
Sunrisers Hyderabad,,ipl00551,5.0,,,
Kings XI Punjab,9.0,ipl00552,,,,
Royal Challengers Bangalore,,ipl00553,7.0,,,
Sunrisers Hyderabad,85.0,ipl00554,,,,
Gujarat Lions,,ipl00555,5.0,,,
Royal Challengers Bangalore,1.0,ipl00556,,,,
Sunrisers Hyderabad,4.0,ipl00557,,,,
Mumbai Indians,,ipl00558,6.0,,,
Delhi Daredevils,,ipl00559,7.0,,,
Kings XI Punjab,,ipl00560,7.0,,,
Royal Challengers Bangalore,144.0,ipl00561,,,,
Kolkata Knight Riders,,ipl00562,8.0,D/L,,
Mumbai Indians,80.0,ipl00563,,,,
Sunrisers Hyderabad,,ipl00564,7.0,,,
Royal Challengers Bangalore,,ipl00565,9.0,,,
Rising Pune Supergiants,19.0,ipl00566,,D/L,,
