team_1,team_2,key
Comilla Victorians,Rangpur Riders,bpl00126
Dhaka Dynamites,Khulna Titans,bpl00127
Chittagong Vikings,Rajshahi Kings,bpl00128
Dhaka Dynamites,Khulna Titans,bpl00129
Khulna Titans,Rajshahi Kings,bpl00130
Dhaka Dynamites,Rajshahi Kings,bpl00131
Rajshahi Kings,Rangpur Riders,bpl00132
Dhaka Dynamites,Sylhet Sixers,bpl00133
Comilla Victorians,Sylhet Sixers,bpl00134
Dhaka Dynamites,Khulna Titans,bpl00135
Chittagong Vikings,Comilla Victorians,bpl00136
Sylhet Sixers,Rajshahi Kings,bpl00137
Chittagong Vikings,Rangpur Riders,bpl00138
Sylhet Sixers,Khulna Titans,bpl00139
Rangpur Riders,Rajshahi Kings,bpl00140
Sylhet Sixers,Dhaka Dynamites,bpl00141
Khulna Titans,Chittagong Vikings,bpl00142
Rajshahi Kings,Comilla Victorians,bpl00143
Chittagong Vikings,Comilla Victorians,bpl00144
Khulna Titans,Dhaka Dynamites,bpl00145
Chittagong Vikings,Khulna Titans,bpl00146
Sylhet Sixers,Rajshahi Kings,bpl00147
Dhaka Dynamites,Rajshahi Kings,bpl00148
Comilla Victorians,Rangpur Riders,bpl00149
Dhaka Dynamites,Comilla Victorians,bpl00150
Rangpur Riders,Sylhet Sixers,bpl00151
Rajshahi Kings,Khulna Titans,bpl00152
Rangpur Riders,Dhaka Dynamites,bpl00153
Khulna Titans,Rangpur Riders,bpl00154
Chittagong Vikings,Sylhet Sixers,bpl00155
Chittagong Vikings,Rangpur Riders,bpl00156
Rajshahi Kings,Comilla Victorians,bpl00157
Chittagong Vikings,Dhaka Dynamites,bpl00158
Khulna Titans,Rajshahi Kings,bpl00159
Sylhet Sixers,Rangpur Riders,bpl00160
Khulna Titans,Comilla Victorians,bpl00161
Rajshahi Kings,Chittagong Vikings,bpl00162
Comilla Victorians,Dhaka Dynamites,bpl00163
Rangpur Riders,Comilla Victorians,bpl00164
Dhaka Dynamites,Rajshahi Kings,bpl00165
Chittagong Vikings,Sylhet Sixers,bpl00166
Rangpur Riders,Khulna Titans,bpl00167
Khulna Titans,Comilla Victorians,bpl00168
Chittagong Vikings,Rajshahi Kings,bpl00169
Comilla Victorians,Sylhet Sixers,bpl00170
Dhaka Dynamites,Rangpur Riders,bpl00171
Dhaka Dynamites,Comilla Victorians,bpl00172
Khulna Titans,Rangpur Riders,bpl00173
Rangpur Riders,Comilla Victorians,bpl00174
Rangpur Riders,Dhaka Dynamites,bpl00175
Rangpur Riders,Chittagong Vikings,bpl00176
