decision,winner,key
field,Chittagong Vikings,bpl00177
field,Comilla Victorians,bpl00178
field,Khulna Titans,bpl00179
field,Khulna Titans,bpl00180
field,Rangpur Riders,bpl00181
bat,Sylhet Sixers,bpl00182
bat,Khulna Titans,bpl00183
field,Rangpur Riders,bpl00184
field,Comilla Victorians,bpl00185
field,Chittagong Vikings,bpl00186
bat,Dhaka Dynamites,bpl00187
field,Chittagong Vikings,bpl00188
field,Comilla Victorians,bpl00189
bat,Khulna Titans,bpl00190
bat,Rajshahi Kings,bpl00191
field,Rangpur Riders,bpl00192
bat,Sylhet Sixers,bpl00193
field,Comilla Victorians,bpl00194
field,Rangpur Riders,bpl00195
field,Khulna Titans,bpl00196
field,Comilla Victorians,bpl00197
bat,Dhaka Dynamites,bpl00198
field,Rangpur Riders,bpl00199
field,Dhaka Dynamites,bpl00200
field,Chittagong Vikings,bpl00201
field,Sylhet Sixers,bpl00202
field,Rajshahi Kings,bpl00203
field,Chittagong Vikings,bpl00204
bat,Sylhet Sixers,bpl00205
field,Chittagong Vikings,bpl00206
field,Khulna Titans,bpl00207
bat,Dhaka Dynamites,bpl00208
bat,Chittagong Vikings,bpl00209
bat,Rajshahi Kings,bpl00210
bat,Chittagong Vikings,bpl00211
bat,Sylhet Sixers,bpl00212
field,Dhaka Dynamites,bpl00213
field,Chittagong Vikings,bpl00214
bat,Comilla Victorians,bpl00215
bat,Khulna Titans,bpl00216
bat,Rangpur Riders,bpl00217
bat,Chittagong Vikings,bpl00218
field,Dhaka Dynamites,bpl00219
field,Dhaka Dynamites,bpl00220
field,Chattogram Challengers,bpl00221
bat,Cumilla Warriors,bpl00222
field,Rajshahi Royals,bpl00223
field,Khulna Tigers,bpl00224
field,Rajshahi Royals,bpl00225
field,Cumilla Warriors,bpl00226
field,Sylhet Thunder,bpl00227
field,Chattogram Challengers,bpl00228
field,Khulna Tigers,bpl00229
field,Chattogram Challengers,bpl00230
bat,Rangpur Rangers,bpl00231
field,Dhaka Platoon,bpl00232
field,Khulna Tigers,bpl00233
field,Cumilla Warriors,bpl00234
field,Khulna Tigers,bpl00235
field,Rangpur Rangers,bpl00236
field,Dhaka Platoon,bpl00237
field,Rajshahi Royals,bpl00238
field,Rajshahi Royals,bpl00239
bat,Sylhet Thunder,bpl00240
field,Rangpur Rangers,bpl00241
field,Chattogram Challengers,bpl00242
field,Cumilla Warriors,bpl00243
field,Khulna Tigers,bpl00244
field,Rangpur Rangers,bpl00245
field,Rajshahi Royals,bpl00246
field,Cumilla Warriors,bpl00247
field,Rajshahi Royals,bpl00248
field,Rangpur Rangers,bpl00249
field,Sylhet Thunder,bpl00250
field,Sylhet Thunder,bpl00251
field,Khulna Tigers,bpl00252
field,Chattogram Challengers,bpl00253
bat,Sylhet Thunder,bpl00254
field,Cumilla Warriors,bpl00255
field,Chattogram Challengers,bpl00256
field,Cumilla Warriors,bpl00257
field,Rangpur Rangers,bpl00258
field,Dhaka Platoon,bpl00259
field,Cumilla Warriors,bpl00260
field,Rajshahi Royals,bpl00261
field,Khulna Tigers,bpl00262
field,Chattogram Challengers,bpl00263
field,Rajshahi Royals,bpl00264
field,Rajshahi Royals,bpl00265
field,Khulna Tigers,bpl00266
field,Khulna Tigers,bpl00267
field,Fortune Barishal,bpl00268
field,Comilla Victorians,bpl00269
field,Minister Group Dhaka,bpl00270
field,Minister Group Dhaka,bpl00271
field,Khulna Tigers,bpl00272
field,Sylhet Sunrisers,bpl00273
field,Fortune Barishal,bpl00274
field,Khulna Tigers,bpl00275
field,Minister Group Dhaka,bpl00276
field,Sylhet Sunrisers,bpl00277
field,Khulna Tigers,bpl00278
field,Chattogram Challengers,bpl00279
bat,Fortune Barishal,bpl00280
field,Comilla Victorians,bpl00281
bat,Fortune Barishal,bpl00282
field,Khulna Tigers,bpl00283
field,Comilla Victorians,bpl00284
field,Comilla Victorians,bpl00285
field,Sylhet Sunrisers,bpl00286
field,Minister Group Dhaka,bpl00287
field,Sylhet Sunrisers,bpl00288
field,Comilla Victorians,bpl00289
bat,Khulna Tigers,bpl00290
bat,Minister Group Dhaka,bpl00291
field,Khulna Tigers,bpl00292
field,Chattogram Challengers,bpl00293
bat,Comilla Victorians,bpl00294
field,Khulna Tigers,bpl00295
field,Comilla Victorians,bpl00296
bat,Chattogram Challengers,bpl00297
bat,Comilla Victorians,bpl00298
field,Sylhet Strikers,bpl00299
field,Comilla Victorians,bpl00300
bat,Fortune Barishal,bpl00301
field,Dhaka Dominators,bpl00302
field,Sylhet Strikers,bpl00303
field,Chattogram Challengers,bpl00304
field,Fortune Barishal,bpl00305
field,Dhaka Dominators,bpl00306
field,Chattogram Challengers,bpl00307
field,Rangpur Riders,bpl00308
field,Comilla Victorians,bpl00309
bat,Dhaka Dominators,bpl00310
bat,Dhaka Dominators,bpl00311
bat,Chattogram Challengers,bpl00312
field,Khulna Tigers,bpl00313
field,Comilla Victorians,bpl00314
field,Rangpur Riders,bpl00315
field,Dhaka Dominators,bpl00316
field,Dhaka Dominators,bpl00317
field,Khulna Tigers,bpl00318
field,Chattogram Challengers,bpl00319
field,Dhaka Dominators,bpl00320
field,Fortune Barishal,bpl00321
field,Khulna Tigers,bpl00322
field,Rangpur Riders,bpl00323
field,Fortune Barishal,bpl00324
field,Khulna Tigers,bpl00325
bat,Chattogram Challengers,bpl00326
field,Khulna Tigers,bpl00327
field,Rangpur Riders,bpl00328
bat,Fortune Barishal,bpl00329
field,Comilla Victorians,bpl00330
field,Khulna Tigers,bpl00331
field,Rangpur Riders,bpl00332
bat,Chattogram Challengers,bpl00333
field,Rangpur Riders,bpl00334
bat,Chattogram Challengers,bpl00335
field,Comilla Victorians,bpl00336
bat,Khulna Tigers,bpl00337
bat,Chattogram Challengers,bpl00338
