name,match_number,key,stage
Bangladesh Premier League,2.0,bpl00133,nan
Bangladesh Premier League,3.0,bpl00134,nan
Bangladesh Premier League,4.0,bpl00135,nan
Bangladesh Premier League,5.0,bpl00136,nan
Bangladesh Premier League,6.0,bpl00137,nan
Bangladesh Premier League,8.0,bpl00138,nan
Bangladesh Premier League,7.0,bpl00139,nan
Bangladesh Premier League,9.0,bpl00140,nan
Bangladesh Premier League,10.0,bpl00141,nan
Bangladesh Premier League,11.0,bpl00142,nan
Bangladesh Premier League,12.0,bpl00143,nan
Bangladesh Premier League,13.0,bpl00144,nan
Bangladesh Premier League,14.0,bpl00145,nan
Bangladesh Premier League,17.0,bpl00146,nan
Bangladesh Premier League,18.0,bpl00147,nan
Bangladesh Premier League,19.0,bpl00148,nan
Bangladesh Premier League,20.0,bpl00149,nan
Bangladesh Premier League,21.0,bpl00150,nan
Bangladesh Premier League,22.0,bpl00151,nan
Bangladesh Premier League,24.0,bpl00152,nan
Bangladesh Premier League,23.0,bpl00153,nan
Bangladesh Premier League,25.0,bpl00154,nan
Bangladesh Premier League,26.0,bpl00155,nan
Bangladesh Premier League,27.0,bpl00156,nan
Bangladesh Premier League,28.0,bpl00157,nan
Bangladesh Premier League,29.0,bpl00158,nan
Bangladesh Premier League,30.0,bpl00159,nan
Bangladesh Premier League,31.0,bpl00160,nan
Bangladesh Premier League,32.0,bpl00161,nan
Bangladesh Premier League,33.0,bpl00162,nan
Bangladesh Premier League,34.0,bpl00163,nan
Bangladesh Premier League,36.0,bpl00164,nan
Bangladesh Premier League,35.0,bpl00165,nan
Bangladesh Premier League,37.0,bpl00166,nan
Bangladesh Premier League,38.0,bpl00167,nan
Bangladesh Premier League,39.0,bpl00168,nan
Bangladesh Premier League,40.0,bpl00169,nan
Bangladesh Premier League,41.0,bpl00170,nan
Bangladesh Premier League,42.0,bpl00171,nan
Bangladesh Premier League,,bpl00172,Eliminator
Bangladesh Premier League,,bpl00173,Qualifier 1
Bangladesh Premier League,,bpl00174,Qualifier 2
Bangladesh Premier League,,bpl00175,Final
Bangladesh Premier League,1.0,bpl00176,nan
Bangladesh Premier League,2.0,bpl00177,nan
Bangladesh Premier League,4.0,bpl00178,nan
Bangladesh Premier League,3.0,bpl00179,nan
Bangladesh Premier League,6.0,bpl00180,nan
Bangladesh Premier League,5.0,bpl00181,nan
Bangladesh Premier League,7.0,bpl00182,nan
Bangladesh Premier League,8.0,bpl00183,nan
Bangladesh Premier League,9.0,bpl00184,nan
Bangladesh Premier League,10.0,bpl00185,nan
Bangladesh Premier League,11.0,bpl00186,nan
Bangladesh Premier League,12.0,bpl00187,nan
Bangladesh Premier League,14.0,bpl00188,nan
Bangladesh Premier League,15.0,bpl00189,nan
Bangladesh Premier League,16.0,bpl00190,nan
Bangladesh Premier League,18.0,bpl00191,nan
Bangladesh Premier League,17.0,bpl00192,nan
Bangladesh Premier League,19.0,bpl00193,nan
Bangladesh Premier League,20.0,bpl00194,nan
Bangladesh Premier League,21.0,bpl00195,nan
Bangladesh Premier League,22.0,bpl00196,nan
Bangladesh Premier League,23.0,bpl00197,nan
Bangladesh Premier League,24.0,bpl00198,nan
Bangladesh Premier League,25.0,bpl00199,nan
Bangladesh Premier League,26.0,bpl00200,nan
Bangladesh Premier League,27.0,bpl00201,nan
Bangladesh Premier League,28.0,bpl00202,nan
Bangladesh Premier League,29.0,bpl00203,nan
Bangladesh Premier League,30.0,bpl00204,nan
Bangladesh Premier League,32.0,bpl00205,nan
Bangladesh Premier League,31.0,bpl00206,nan
Bangladesh Premier League,33.0,bpl00207,nan
Bangladesh Premier League,34.0,bpl00208,nan
Bangladesh Premier League,35.0,bpl00209,nan
Bangladesh Premier League,36.0,bpl00210,nan
Bangladesh Premier League,37.0,bpl00211,nan
Bangladesh Premier League,38.0,bpl00212,nan
Bangladesh Premier League,39.0,bpl00213,nan
Bangladesh Premier League,40.0,bpl00214,nan
Bangladesh Premier League,41.0,bpl00215,nan
Bangladesh Premier League,42.0,bpl00216,nan
Bangladesh Premier League,,bpl00217,Eliminator
Bangladesh Premier League,,bpl00218,Qualifier 1
Bangladesh Premier League,,bpl00219,Qualifier 2
Bangladesh Premier League,,bpl00220,Final
Bangladesh Premier League,2.0,bpl00221,nan
Bangladesh Premier League,1.0,bpl00222,nan
Bangladesh Premier League,4.0,bpl00223,nan
Bangladesh Premier League,3.0,bpl00224,nan
Bangladesh Premier League,6.0,bpl00225,nan
Bangladesh Premier League,5.0,bpl00226,nan
Bangladesh Premier League,7.0,bpl00227,nan
Bangladesh Premier League,8.0,bpl00228,nan
Bangladesh Premier League,9.0,bpl00229,nan
Bangladesh Premier League,10.0,bpl00230,nan
Bangladesh Premier League,11.0,bpl00231,nan
Bangladesh Premier League,12.0,bpl00232,nan
Bangladesh Premier League,13.0,bpl00233,nan
Bangladesh Premier League,14.0,bpl00234,nan
Bangladesh Premier League,16.0,bpl00235,nan
Bangladesh Premier League,15.0,bpl00236,nan
Bangladesh Premier League,17.0,bpl00237,nan
Bangladesh Premier League,18.0,bpl00238,nan
