batter,bowler,non_striker,runs_batter,runs_extras,runs_total,over,delivery_no,batting_team,inning_no,wickets_kind,wickets_player_out,review_by,review_umpire,review_batter,review_decision,bowling_team,key,review_umpires_call,replacements_role,review_type,extras_type
JJ Roy,D Jansen,JC Buttler,0,1,1,6,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,wides
JJ Roy,D Jansen,JC Buttler,0,0,0,6,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,D Jansen,JC Buttler,0,0,0,6,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JJ Roy,D Jansen,JC Buttler,0,0,0,6,6,Paarl Royals,1,caught,JJ Roy,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,DJ Vilas,1,0,1,7,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,Rashid Khan,JC Buttler,1,0,1,7,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,DJ Vilas,2,0,2,7,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,DJ Vilas,0,0,0,7,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,Rashid Khan,DJ Vilas,1,0,1,7,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,Rashid Khan,JC Buttler,0,0,0,7,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,D Jansen,DJ Vilas,0,0,0,8,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,D Jansen,DJ Vilas,1,0,1,8,2,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,D Jansen,JC Buttler,4,0,4,8,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,D Jansen,JC Buttler,0,0,0,8,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,D Jansen,JC Buttler,1,0,1,8,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,D Jansen,DJ Vilas,0,0,0,8,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,OP Stone,JC Buttler,0,0,0,9,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DJ Vilas,OP Stone,JC Buttler,0,0,0,9,2,Paarl Royals,1,bowled,DJ Vilas,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,0,0,0,9,3,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,1,0,1,9,4,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,OP Stone,DA Miller,1,0,1,9,5,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
DA Miller,OP Stone,JC Buttler,0,0,0,9,6,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
JC Buttler,SM Curran,DA Miller,1,0,1,10,1,Paarl Royals,1,,,,,,,MI Cape Town,sat00001,,,,
